period,nature,paying_passengers,rpk
2016-01,DOMÉSTICA,8890869.0,9206008065.0
2016-02,DOMÉSTICA,7094399.0,7119064177.0
2016-03,DOMÉSTICA,7177671.0,7063233776.0
2016-04,DOMÉSTICA,6827305.0,6645907500.0
2016-05,DOMÉSTICA,6942581.0,6854040023.0
2016-06,DOMÉSTICA,6790906.0,6832899781.0
2016-07,DOMÉSTICA,8080590.0,8340985211.0
2016-08,DOMÉSTICA,7346122.0,7231771091.0
2016-09,DOMÉSTICA,7052559.0,7034302904.0
2016-10,DOMÉSTICA,7256242.0,7230793023.0
2016-11,DOMÉSTICA,7208748.0,7197840680.0
2016-12,DOMÉSTICA,7935360.0,8136413791.0
2017-01,DOMÉSTICA,8529555.0,9041812496.0
2017-02,DOMÉSTICA,6612064.0,6749274827.0
2017-03,DOMÉSTICA,7438491.0,7447651366.0
2017-04,DOMÉSTICA,6900072.0,6831350545.0
2017-05,DOMÉSTICA,7096051.0,7004297831.0
2017-06,DOMÉSTICA,6916757.0,6941274112.0
2017-07,DOMÉSTICA,8310633.0,8645534850.0
2017-08,DOMÉSTICA,7547482.0,7622439041.0
2017-09,DOMÉSTICA,7522367.0,7488209091.0
2017-10,DOMÉSTICA,7822933.0,7797316145.0
2017-11,DOMÉSTICA,7562676.0,7602979835.0
2017-12,DOMÉSTICA,8325078.0,8685436841.0
2018-01,DOMÉSTICA,8709154.0,9298408954.0
2018-02,DOMÉSTICA,6871054.0,7133124992.0
2018-03,DOMÉSTICA,7483130.0,7592998735.0
2018-04,DOMÉSTICA,7290568.0,7259592513.0
2018-05,DOMÉSTICA,7298372.0,7271897164.0
2018-06,DOMÉSTICA,7161965.0,7288410998.0
2018-07,DOMÉSTICA,8858869.0,9278767954.0
2018-08,DOMÉSTICA,7868733.0,7955208068.0
2018-09,DOMÉSTICA,7614645.0,7687885148.0
2018-10,DOMÉSTICA,7993240.0,8047103519.0
2018-11,DOMÉSTICA,7871212.0,8016421584.0
2018-12,DOMÉSTICA,8594190.0,9040644126.0
2019-01,DOMÉSTICA,8930620.0,9608445257.0
2019-02,DOMÉSTICA,7410407.0,7605167160.0
2019-03,DOMÉSTICA,7741175.0,7848550447.0
2019-04,DOMÉSTICA,7335486.0,7315886265.0
2019-05,DOMÉSTICA,7096041.0,6993779277.0
2019-06,DOMÉSTICA,6954254.0,6941057672.0
2019-07,DOMÉSTICA,8551561.0,8840931265.0
2019-08,DOMÉSTICA,7886535.0,7903575349.0
2019-09,DOMÉSTICA,7810678.0,7812044499.0
2019-10,DOMÉSTICA,8379608.0,8326422180.0
2019-11,DOMÉSTICA,8088006.0,8121415367.0
2019-12,DOMÉSTICA,8874888.0,9123972604.0
2020-01,DOMÉSTICA,9304778.0,9858110604.0
2020-02,DOMÉSTICA,7670970.0,7941144229.0
2020-03,DOMÉSTICA,5034294.0,5291865558.0
2020-04,DOMÉSTICA,399812.0,507066064.0
2020-05,DOMÉSTICA,540249.0,635111322.0
2020-06,DOMÉSTICA,888972.0,1043472414.0
2020-07,DOMÉSTICA,1618225.0,1868170808.0
2020-08,DOMÉSTICA,2206897.0,2577727065.0
2020-09,DOMÉSTICA,3058922.0,3503346729.0
2020-10,DOMÉSTICA,4138024.0,4644638556.0
2020-11,DOMÉSTICA,4413051.0,4889969362.0
2020-12,DOMÉSTICA,5232835.0,5973693580.0
2021-01,DOMÉSTICA,6092256.0,7109313741.0
2021-02,DOMÉSTICA,4325286.0,4865656204.0
2021-03,DOMÉSTICA,3221035.0,3573076350.0
2021-04,DOMÉSTICA,2641863.0,2846247926.0
2021-05,DOMÉSTICA,3633871.0,3977782569.0
2021-06,DOMÉSTICA,4223968.0,4739568911.0
2021-07,DOMÉSTICA,5879413.0,6763682757.0
2021-08,DOMÉSTICA,5554577.0,6197591564.0
2021-09,DOMÉSTICA,5938183.0,6498082233.0
2021-10,DOMÉSTICA,6471645.0,7051034025.0
2021-11,DOMÉSTICA,6843913.0,7444171837.0
2021-12,DOMÉSTICA,7754987.0,8609256774.0
2022-01,DOMÉSTICA,7496486.0,8748485067.0
2022-02,DOMÉSTICA,5572365.0,6313399284.0
2022-03,DOMÉSTICA,6439588.0,7100905306.0
2022-04,DOMÉSTICA,6146222.0,6597020666.0
2022-05,DOMÉSTICA,6389454.0,6819859359.0
2022-06,DOMÉSTICA,6040691.0,6456273742.0
2022-07,DOMÉSTICA,7653953.0,8444053714.0
2022-08,DOMÉSTICA,7292750.0,7796748850.0
2022-09,DOMÉSTICA,6954803.0,7384126106.0
2022-10,DOMÉSTICA,7196205.0,7647216228.0
2022-11,DOMÉSTICA,7374857.0,7735084147.0
2022-12,DOMÉSTICA,7700508.0,8326827953.0
2023-01,DOMÉSTICA,8322809.0,9336743932.0
2023-02,DOMÉSTICA,6588585.0,7070662008.0
2023-03,DOMÉSTICA,7429801.0,7729334946.0
2023-04,DOMÉSTICA,6968189.0,7108900773.0
2023-05,DOMÉSTICA,7355642.0,7505213688.0
2023-06,DOMÉSTICA,7221458.0,7461970206.0
2023-07,DOMÉSTICA,8441028.0,8826977720.0
2023-08,DOMÉSTICA,8229152.0,8410768373.0
2023-09,DOMÉSTICA,7583611.0,7762585929.0
2023-10,DOMÉSTICA,7758851.0,8005708531.0
2023-11,DOMÉSTICA,7590613.0,7916180882.0
2023-12,DOMÉSTICA,7981797.0,8632655508.0
2024-01,DOMÉSTICA,8176056.0,9200582182.0
2024-02,DOMÉSTICA,6779432.0,7341803696.0
2024-03,DOMÉSTICA,7482090.0,7837964817.0
2024-04,DOMÉSTICA,7236571.0,7498544449.0
2024-05,DOMÉSTICA,7228911.0,7530042209.0
2024-06,DOMÉSTICA,7402220.0,7855815611.0
2024-07,DOMÉSTICA,8541944.0,9323830460.0
2024-08,DOMÉSTICA,8059894.0,8641862615.0
2024-09,DOMÉSTICA,7922310.0,8448295391.0
2024-10,DOMÉSTICA,8276704.0,8912385066.0
2024-11,DOMÉSTICA,8044297.0,8682721360.0
2024-12,DOMÉSTICA,8376993.0,9286798701.0
2025-01,DOMÉSTICA,8612364.0,9839808534.0
2025-02,DOMÉSTICA,7259228.0,7877654967.0
2025-03,DOMÉSTICA,7922693.0,8583654276.0
2025-04,DOMÉSTICA,7928869.0,8503943075.0
2025-05,DOMÉSTICA,8171750.0,8825496701.0
2025-06,DOMÉSTICA,8228965.0,8993921969.0
2025-07,DOMÉSTICA,9046654.0,10089948844.0
2025-08,DOMÉSTICA,8754767.0,9596786720.0
2025-09,DOMÉSTICA,8528501.0,9294428968.0
2025-10,DOMÉSTICA,9026194.0,9780349702.0
2025-11,DOMÉSTICA,8732245.0,9558206218.0
2025-12,DOMÉSTICA,9204293.0,10328928639.0
2026-01,DOMÉSTICA,9396946.0,10888232068.0
2026-02,DOMÉSTICA,7826733.0,8892848996.0
2026-03,DOMÉSTICA,8529927.0,9325879766.0
2026-04,DOMÉSTICA,8019084.0,8709937628.0
2026-05,DOMÉSTICA,8320487.0,9042201268.0
2026-06,DOMÉSTICA,8127270.0,9026679376.0
2026-07,DOMÉSTICA,9199448.0,10445343403.0
