series,period,value,basis
foreign_nights,2011-01,2055690.0,old
foreign_nights,2011-02,2222020.0,old
foreign_nights,2011-03,1126930.0,old
foreign_nights,2011-04,525010.0,old
foreign_nights,2011-05,833180.0,old
foreign_nights,2011-06,1173480.0,old
foreign_nights,2011-07,1678360.0,old
foreign_nights,2011-08,1627960.0,old
foreign_nights,2011-09,1561440.0,old
foreign_nights,2011-10,1974080.0,old
foreign_nights,2011-11,1810530.0,old
foreign_nights,2011-12,1827030.0,old
foreign_nights,2012-01,2014720.0,old
foreign_nights,2012-02,1724120.0,old
foreign_nights,2012-03,1962890.0,old
foreign_nights,2012-04,2683110.0,old
foreign_nights,2012-05,2131400.0,old
foreign_nights,2012-06,2121600.0,old
foreign_nights,2012-07,2618650.0,old
foreign_nights,2012-08,2456220.0,old
foreign_nights,2012-09,1939240.0,old
foreign_nights,2012-10,2313430.0,old
foreign_nights,2012-11,2156990.0,old
foreign_nights,2012-12,2191970.0,old
foreign_nights,2013-01,1893680.0,old
foreign_nights,2013-02,2277210.0,old
foreign_nights,2013-03,2523340.0,old
foreign_nights,2013-04,3206830.0,old
foreign_nights,2013-05,2787970.0,old
foreign_nights,2013-06,2872920.0,old
foreign_nights,2013-07,3353950.0,old
foreign_nights,2013-08,3112040.0,old
foreign_nights,2013-09,2712390.0,old
foreign_nights,2013-10,3171850.0,old
foreign_nights,2013-11,2844170.0,old
foreign_nights,2013-12,2739370.0,old
foreign_nights,2014-01,2854690.0,old
foreign_nights,2014-02,3079550.0,old
foreign_nights,2014-03,3250640.0,old
foreign_nights,2014-04,4517780.0,old
foreign_nights,2014-05,3708930.0,old
foreign_nights,2014-06,3517010.0,old
foreign_nights,2014-07,4305400.0,old
foreign_nights,2014-08,3782860.0,old
foreign_nights,2014-09,3397180.0,old
foreign_nights,2014-10,4373100.0,old
foreign_nights,2014-11,3915190.0,old
foreign_nights,2014-12,4122270.0,old
foreign_nights,2015-01,3961550.0,old
foreign_nights,2015-02,4861860.0,old
foreign_nights,2015-03,5015270.0,old
foreign_nights,2015-04,6355900.0,old
foreign_nights,2015-05,5579560.0,old
foreign_nights,2015-06,5347670.0,old
foreign_nights,2015-07,6411430.0,old
foreign_nights,2015-08,6039140.0,old
foreign_nights,2015-09,4992140.0,old
foreign_nights,2015-10,6083640.0,old
foreign_nights,2015-11,5332270.0,old
foreign_nights,2015-12,5634170.0,old
foreign_nights,2016-01,5561520.0,old
foreign_nights,2016-02,5970690.0,old
foreign_nights,2016-03,5800370.0,old
foreign_nights,2016-04,6780650.0,old
foreign_nights,2016-05,5540060.0,old
foreign_nights,2016-06,5625890.0,old
foreign_nights,2016-07,6716110.0,old
foreign_nights,2016-08,5726940.0,old
foreign_nights,2016-09,5048700.0,old
foreign_nights,2016-10,5948130.0,old
foreign_nights,2016-11,5134040.0,old
foreign_nights,2016-12,5535840.0,old
foreign_nights,2017-01,6358750.0,old
foreign_nights,2017-02,5967440.0,old
foreign_nights,2017-03,6071640.0,old
foreign_nights,2017-04,7876330.0,old
foreign_nights,2017-05,6506440.0,old
foreign_nights,2017-06,6261000.0,old
foreign_nights,2017-07,7503830.0,old
foreign_nights,2017-08,6728430.0,old
foreign_nights,2017-09,5938880.0,old
foreign_nights,2017-10,7436030.0,old
foreign_nights,2017-11,6359810.0,old
foreign_nights,2017-12,6681990.0,old
foreign_nights,2018-01,6792680.0,old
foreign_nights,2018-02,7338660.0,old
foreign_nights,2018-03,7339200.0,old
foreign_nights,2018-04,8878900.0,old
foreign_nights,2018-05,7809530.0,old
foreign_nights,2018-06,7818990.0,old
foreign_nights,2018-07,9113960.0,old
foreign_nights,2018-08,8456930.0,old
foreign_nights,2018-09,6804510.0,old
foreign_nights,2018-10,8244600.0,old
foreign_nights,2018-11,7609070.0,old
foreign_nights,2018-12,8068220.0,old
foreign_nights,2019-01,9208780.0,old
foreign_nights,2019-02,9276270.0,old
foreign_nights,2019-03,9515070.0,old
foreign_nights,2019-04,11284480.0,old
foreign_nights,2019-05,9727570.0,old
foreign_nights,2019-06,9586990.0,old
foreign_nights,2019-07,10801410.0,old
foreign_nights,2019-08,9486460.0,old
foreign_nights,2019-09,8260400.0,old
foreign_nights,2019-10,10262020.0,old
foreign_nights,2019-11,9064070.0,old
