series,vector,period,value
canadians_returning_from_other_overnight,1296956633,2014-11,743950.0
canadians_returning_from_other_overnight,1296956633,2014-12,843632.0
canadians_returning_from_other_overnight,1296956633,2015-01,1217158.0
canadians_returning_from_other_overnight,1296956633,2015-02,1028536.0
canadians_returning_from_other_overnight,1296956633,2015-03,1315328.0
canadians_returning_from_other_overnight,1296956633,2015-04,1096752.0
canadians_returning_from_other_overnight,1296956633,2015-05,910866.0
canadians_returning_from_other_overnight,1296956633,2015-06,732182.0
canadians_returning_from_other_overnight,1296956633,2015-07,851722.0
canadians_returning_from_other_overnight,1296956633,2015-08,1100156.0
canadians_returning_from_other_overnight,1296956633,2015-09,799072.0
canadians_returning_from_other_overnight,1296956633,2015-10,806505.0
canadians_returning_from_other_overnight,1296956633,2015-11,803293.0
canadians_returning_from_other_overnight,1296956633,2015-12,904723.0
canadians_returning_from_other_overnight,1296956633,2016-01,1333740.0
canadians_returning_from_other_overnight,1296956633,2016-02,1116405.0
canadians_returning_from_other_overnight,1296956633,2016-03,1328361.0
canadians_returning_from_other_overnight,1296956633,2016-04,1140176.0
canadians_returning_from_other_overnight,1296956633,2016-05,929982.0
canadians_returning_from_other_overnight,1296956633,2016-06,712976.0
canadians_returning_from_other_overnight,1296956633,2016-07,867488.0
canadians_returning_from_other_overnight,1296956633,2016-08,1080332.0
canadians_returning_from_other_overnight,1296956633,2016-09,875623.0
canadians_returning_from_other_overnight,1296956633,2016-10,844616.0
canadians_returning_from_other_overnight,1296956633,2016-11,809040.0
canadians_returning_from_other_overnight,1296956633,2016-12,951494.0
canadians_returning_from_other_overnight,1296956633,2017-01,1360836.0
canadians_returning_from_other_overnight,1296956633,2017-02,1163494.0
canadians_returning_from_other_overnight,1296956633,2017-03,1414398.0
canadians_returning_from_other_overnight,1296956633,2017-04,1195748.0
canadians_returning_from_other_overnight,1296956633,2017-05,951933.0
canadians_returning_from_other_overnight,1296956633,2017-06,796986.0
canadians_returning_from_other_overnight,1296956633,2017-07,875761.0
canadians_returning_from_other_overnight,1296956633,2017-08,1082928.0
canadians_returning_from_other_overnight,1296956633,2017-09,879533.0
canadians_returning_from_other_overnight,1296956633,2017-10,801129.0
