series,vector,period,value,days
liia_air_intl_visitors_and_returning_overnight,1324883970,2018-01,1459648.0,31
liia_air_intl_visitors_and_returning_overnight,1324883970,2018-02,1351696.0,28
liia_air_intl_visitors_and_returning_overnight,1324883970,2018-03,1676463.0,31
liia_air_intl_visitors_and_returning_overnight,1324883970,2018-04,1537349.0,30
liia_air_intl_visitors_and_returning_overnight,1324883970,2018-05,1455007.0,31
liia_air_intl_visitors_and_returning_overnight,1324883970,2018-06,1520891.0,30
liia_air_intl_visitors_and_returning_overnight,1324883970,2018-07,1774128.0,31
liia_air_intl_visitors_and_returning_overnight,1324883970,2018-08,1865466.0,31
liia_air_intl_visitors_and_returning_overnight,1324883970,2018-09,1532244.0,30
liia_air_intl_visitors_and_returning_overnight,1324883970,2018-10,1347496.0,31
liia_air_intl_visitors_and_returning_overnight,1324883970,2018-11,1212027.0,30
liia_air_intl_visitors_and_returning_overnight,1324883970,2018-12,1440323.0,31
liia_air_intl_visitors_and_returning_overnight,1324883970,2019-01,1608722.0,31
liia_air_intl_visitors_and_returning_overnight,1324883970,2019-02,1493583.0,28
liia_air_intl_visitors_and_returning_overnight,1324883970,2019-03,1804198.0,31
liia_air_intl_visitors_and_returning_overnight,1324883970,2019-04,1648792.0,30
liia_air_intl_visitors_and_returning_overnight,1324883970,2019-05,1605936.0,31
liia_air_intl_visitors_and_returning_overnight,1324883970,2019-06,1796824.0,30
liia_air_intl_visitors_and_returning_overnight,1324883970,2019-07,1988591.0,31
liia_air_intl_visitors_and_returning_overnight,1324883970,2019-08,2155711.0,31
liia_air_intl_visitors_and_returning_overnight,1324883970,2019-09,1774086.0,30
liia_air_intl_visitors_and_returning_overnight,1324883970,2019-10,1533854.0,31
liia_air_intl_visitors_and_returning_overnight,1324883970,2019-11,1437455.0,30
liia_air_intl_visitors_and_returning_overnight,1324883970,2019-12,1712461.0,31
liia_air_intl_visitors_and_returning_overnight,1324883970,2020-01,1867973.0,31
liia_air_intl_visitors_and_returning_overnight,1324883970,2020-02,1730366.0,29
liia_air_intl_visitors_and_returning_overnight,1324883970,2020-03,1262331.0,31
liia_air_intl_visitors_and_returning_overnight,1324883970,2020-04,30654.0,30
liia_air_intl_visitors_and_returning_overnight,1324883970,2020-05,32212.0,31
liia_air_intl_visitors_and_returning_overnight,1324883970,2020-06,49416.0,30
liia_air_intl_visitors_and_returning_overnight,1324883970,2020-07,73604.0,31
liia_air_intl_visitors_and_returning_overnight,1324883970,2020-08,109504.0,31
liia_air_intl_visitors_and_returning_overnight,1324883970,2020-09,89051.0,30
liia_air_intl_visitors_and_returning_overnight,1324883970,2020-10,76698.0,31
liia_air_intl_visitors_and_returning_overnight,1324883970,2020-11,85104.0,30
liia_air_intl_visitors_and_returning_overnight,1324883970,2020-12,126053.0,31
liia_air_intl_visitors_and_returning_overnight,1324883970,2021-01,161788.0,31
liia_air_intl_visitors_and_returning_overnight,1324883970,2021-02,72868.0,28
liia_air_intl_visitors_and_returning_overnight,1324883970,2021-03,46201.0,31
liia_air_intl_visitors_and_returning_overnight,1324883970,2021-04,58530.0,30
liia_air_intl_visitors_and_returning_overnight,1324883970,2021-05,59862.0,31
liia_air_intl_visitors_and_returning_overnight,1324883970,2021-06,83493.0,30
liia_air_intl_visitors_and_returning_overnight,1324883970,2021-07,290526.0,31
liia_air_intl_visitors_and_returning_overnight,1324883970,2021-08,617212.0,31
liia_air_intl_visitors_and_returning_overnight,1324883970,2021-09,671554.0,30
liia_air_intl_visitors_and_returning_overnight,1324883970,2021-10,739608.0,31
liia_air_intl_visitors_and_returning_overnight,1324883970,2021-11,817236.0,30
liia_air_intl_visitors_and_returning_overnight,1324883970,2021-12,1090289.0,31
liia_air_intl_visitors_and_returning_overnight,1324883970,2022-01,756627.0,31
liia_air_intl_visitors_and_returning_overnight,1324883970,2022-02,737506.0,28
liia_air_intl_visitors_and_returning_overnight,1324883970,2022-03,1334935.0,31
liia_air_intl_visitors_and_returning_overnight,1324883970,2022-04,1508692.0,30
liia_air_intl_visitors_and_returning_overnight,1324883970,2022-05,1592934.0,31
liia_air_intl_visitors_and_returning_overnight,1324883970,2022-06,1716455.0,30
liia_air_intl_visitors_and_returning_overnight,1324883970,2022-07,2091286.0,31
liia_air_intl_visitors_and_returning_overnight,1324883970,2022-08,2128567.0,31
liia_air_intl_visitors_and_returning_overnight,1324883970,2022-09,1830988.0,30
liia_air_intl_visitors_and_returning_overnight,1324883970,2022-10,1743832.0,31
liia_air_intl_visitors_and_returning_overnight,1324883970,2022-11,1671091.0,30
liia_air_intl_visitors_and_returning_overnight,1324883970,2022-12,1907292.0,31
liia_air_intl_visitors_and_returning_overnight,1324883970,2023-01,2088156.0,31
liia_air_intl_visitors_and_returning_overnight,1324883970,2023-02,1966647.0,28
liia_air_intl_visitors_and_returning_overnight,1324883970,2023-03,2481847.0,31
liia_air_intl_visitors_and_returning_overnight,1324883970,2023-04,2282992.0,30
liia_air_intl_visitors_and_returning_overnight,1324883970,2023-05,2225103.0,31
liia_air_intl_visitors_and_returning_overnight,1324883970,2023-06,2269728.0,30
liia_air_intl_visitors_and_returning_overnight,1324883970,2023-07,2571132.0,31
liia_air_intl_visitors_and_returning_overnight,1324883970,2023-08,2577879.0,31
liia_air_intl_visitors_and_returning_overnight,1324883970,2023-09,2236336.0,30
liia_air_intl_visitors_and_returning_overnight,1324883970,2023-10,2132363.0,31
liia_air_intl_visitors_and_returning_overnight,1324883970,2023-11,1917625.0,30
liia_air_intl_visitors_and_returning_overnight,1324883970,2023-12,2268698.0,31
liia_air_intl_visitors_and_returning_overnight,1324883970,2024-01,2350024.0,31
liia_air_intl_visitors_and_returning_overnight,1324883970,2024-02,2310604.0,29
liia_air_intl_visitors_and_returning_overnight,1324883970,2024-03,2726118.0,31
liia_air_intl_visitors_and_returning_overnight,1324883970,2024-04,2480887.0,30
liia_air_intl_visitors_and_returning_overnight,1324883970,2024-05,2503366.0,31
liia_air_intl_visitors_and_returning_overnight,1324883970,2024-06,2490571.0,30
liia_air_intl_visitors_and_returning_overnight,1324883970,2024-07,2816062.0,31
liia_air_intl_visitors_and_returning_overnight,1324883970,2024-08,2841184.0,31
liia_air_intl_visitors_and_returning_overnight,1324883970,2024-09,2380754.0,30
liia_air_intl_visitors_and_returning_overnight,1324883970,2024-10,2201105.0,31
liia_air_intl_visitors_and_returning_overnight,1324883970,2024-11,2022873.0,30
liia_air_intl_visitors_and_returning_overnight,1324883970,2024-12,2348434.0,31
liia_air_intl_visitors_and_returning_overnight,1324883970,2025-01,2317959.0,31
liia_air_intl_visitors_and_returning_overnight,1324883970,2025-02,2213588.0,28
liia_air_intl_visitors_and_returning_overnight,1324883970,2025-03,2695565.0,31
liia_air_intl_visitors_and_returning_overnight,1324883970,2025-04,2443727.0,30
liia_air_intl_visitors_and_returning_overnight,1324883970,2025-05,2432818.0,31
liia_air_intl_visitors_and_returning_overnight,1324883970,2025-06,2459657.0,30
liia_air_intl_visitors_and_returning_overnight,1324883970,2025-07,2801997.0,31
liia_air_intl_visitors_and_returning_overnight,1324883970,2025-08,2799536.0,31
liia_air_intl_visitors_and_returning_overnight,1324883970,2025-09,2314498.0,30
liia_air_intl_visitors_and_returning_overnight,1324883970,2025-10,2163912.0,31
liia_air_intl_visitors_and_returning_overnight,1324883970,2025-11,1999367.0,30
liia_air_intl_visitors_and_returning_overnight,1324883970,2025-12,2339696.0,31
liia_air_intl_visitors_and_returning_overnight,1324883970,2026-01,2361739.0,31
liia_air_intl_visitors_and_returning_overnight,1324883970,2026-02,2242314.0,28
liia_air_intl_visitors_and_returning_overnight,1324883970,2026-03,2706935.0,31
liia_air_intl_visitors_and_returning_overnight,1324883970,2026-04,2489004.0,30
liia_air_intl_visitors_and_returning_overnight,1324883970,2026-05,2474677.0,31
liia_air_intl_visitors_and_returning_overnight,1324883970,2026-06,2473770.0,30
liia_air_intl_visitors_and_returning_overnight,1324883970,2026-07,2867700.0,31
liia_air_intl_visitors_and_returning_overnight,1324883970,2026-08,2878824.0,31
liia_air_intl_visitors_and_returning_total,1324882188,2018-01,1468401.0,31
liia_air_intl_visitors_and_returning_total,1324882188,2018-02,1360397.0,28
liia_air_intl_visitors_and_returning_total,1324882188,2018-03,1689671.0,31
liia_air_intl_visitors_and_returning_total,1324882188,2018-04,1560766.0,30
liia_air_intl_visitors_and_returning_total,1324882188,2018-05,1490802.0,31
liia_air_intl_visitors_and_returning_total,1324882188,2018-06,1580877.0,30
liia_air_intl_visitors_and_returning_total,1324882188,2018-07,1822334.0,31
liia_air_intl_visitors_and_returning_total,1324882188,2018-08,1908975.0,31
liia_air_intl_visitors_and_returning_total,1324882188,2018-09,1565170.0,30
liia_air_intl_visitors_and_returning_total,1324882188,2018-10,1365978.0,31
liia_air_intl_visitors_and_returning_total,1324882188,2018-11,1226918.0,30
liia_air_intl_visitors_and_returning_total,1324882188,2018-12,1456698.0,31
liia_air_intl_visitors_and_returning_total,1324882188,2019-01,1619876.0,31
liia_air_intl_visitors_and_returning_total,1324882188,2019-02,1505147.0,28
liia_air_intl_visitors_and_returning_total,1324882188,2019-03,1820526.0,31
liia_air_intl_visitors_and_returning_total,1324882188,2019-04,1666637.0,30
liia_air_intl_visitors_and_returning_total,1324882188,2019-05,1619633.0,31
liia_air_intl_visitors_and_returning_total,1324882188,2019-06,1821108.0,30
liia_air_intl_visitors_and_returning_total,1324882188,2019-07,2011746.0,31
liia_air_intl_visitors_and_returning_total,1324882188,2019-08,2172629.0,31
liia_air_intl_visitors_and_returning_total,1324882188,2019-09,1789768.0,30
liia_air_intl_visitors_and_returning_total,1324882188,2019-10,1548267.0,31
liia_air_intl_visitors_and_returning_total,1324882188,2019-11,1451736.0,30
liia_air_intl_visitors_and_returning_total,1324882188,2019-12,1727498.0,31
liia_air_intl_visitors_and_returning_total,1324882188,2020-01,1880260.0,31
liia_air_intl_visitors_and_returning_total,1324882188,2020-02,1741006.0,29
liia_air_intl_visitors_and_returning_total,1324882188,2020-03,1268993.0,31
liia_air_intl_visitors_and_returning_total,1324882188,2020-04,30830.0,30
liia_air_intl_visitors_and_returning_total,1324882188,2020-05,32379.0,31
liia_air_intl_visitors_and_returning_total,1324882188,2020-06,49761.0,30
liia_air_intl_visitors_and_returning_total,1324882188,2020-07,74107.0,31
liia_air_intl_visitors_and_returning_total,1324882188,2020-08,110074.0,31
liia_air_intl_visitors_and_returning_total,1324882188,2020-09,89470.0,30
liia_air_intl_visitors_and_returning_total,1324882188,2020-10,77247.0,31
liia_air_intl_visitors_and_returning_total,1324882188,2020-11,85853.0,30
liia_air_intl_visitors_and_returning_total,1324882188,2020-12,126617.0,31
liia_air_intl_visitors_and_returning_total,1324882188,2021-01,162242.0,31
liia_air_intl_visitors_and_returning_total,1324882188,2021-02,73109.0,28
liia_air_intl_visitors_and_returning_total,1324882188,2021-03,46384.0,31
liia_air_intl_visitors_and_returning_total,1324882188,2021-04,58793.0,30
liia_air_intl_visitors_and_returning_total,1324882188,2021-05,60227.0,31
liia_air_intl_visitors_and_returning_total,1324882188,2021-06,84211.0,30
liia_air_intl_visitors_and_returning_total,1324882188,2021-07,292047.0,31
liia_air_intl_visitors_and_returning_total,1324882188,2021-08,620159.0,31
liia_air_intl_visitors_and_returning_total,1324882188,2021-09,674372.0,30
liia_air_intl_visitors_and_returning_total,1324882188,2021-10,743286.0,31
liia_air_intl_visitors_and_returning_total,1324882188,2021-11,820889.0,30
liia_air_intl_visitors_and_returning_total,1324882188,2021-12,1095079.0,31
liia_air_intl_visitors_and_returning_total,1324882188,2022-01,767109.0,31
liia_air_intl_visitors_and_returning_total,1324882188,2022-02,746213.0,28
liia_air_intl_visitors_and_returning_total,1324882188,2022-03,1347975.0,31
