market,table,hotel_pct,condo_pct,timeshare_pct,rental_home_pct,friends_relatives_pct,bnb_pct,hostel_pct,avg_length_of_stay_days,first_time_pct,vacation_pct,honeymoon_pct,mci_pct,vfr_pct
US West,15,53.2,15.3,9.9,11.8,12.2,,,8.40,18.1,81.1,2.0,3.2,11.5
US East,17,59.7,11.9,8.2,11.6,12.8,,,9.65,39.6,75.5,3.2,5.7,12.6
Japan,22,76.3,14.7,10.0,,1.8,,,6.19,27.5,75.3,11.3,7.4,2.6
Canada,24,54.8,22.5,9.5,10.5,6.5,,,10.96,35.2,89.9,1.8,3.9,5.0
United Kingdom,27,71.7,9.7,2.8,10.0,9.0,,,9.96,64.1,77.6,4.9,6.2,8.6
Germany,28,62.9,8.9,1.1,15.9,9.2,4.4,7.0,14.22,70.0,81.4,6.6,4.6,8.7
Australia,30,88.7,5.9,2.4,3.5,3.2,,,8.67,45.0,89.6,2.5,1.8,3.4
New Zealand,31,75.5,9.9,4.9,5.6,6.9,,,9.20,44.0,84.3,1.6,3.1,8.7
Korea,33,86.2,7.8,,8.8,3.5,,,8.34,68.3,69.7,23.4,3.8,2.2
China,34,85.8,10.0,1.1,5.4,3.6,,,8.08,72.3,80.9,5.5,6.4,3.5
Latin America,35,62.0,8.1,1.1,13.5,11.8,,,10.57,68.5,,,,
