ym,flight,party_size,visitors,source,acc_plan_to_stay_in_hotel,acc_hotel_only,acc_plan_to_stay_in_condo,acc_condo_only,acc_plan_to_stay_in_timeshare,acc_timeshare_only,acc_cruise_ship,acc_friends_relatives,acc_bed_breakfast,acc_other,acc_rental_house,acc_hostel,acc_camp_site_beach,acc_private_room_in_private_home,acc_shared_room_space_in_private_home,provenance
2013-01,domestic,1.8379714404238017,432635.9734883061,annual-2013-highlights.xls,236154.94563803906,196102.0774044617,89494.24835322704,69422.37444965863,46455.845255150474,34767.06259429686,8790.96699980425,53233.48422675422,6325.52848054035,9046.751103805851,,,,,,annual_highlights_final
2013-02,domestic,1.8875833257042385,423156.48586197407,annual-2013-highlights.xls,230135.46119342532,190229.4229225153,86415.57987725303,66736.03139905799,43780.32002420659,33185.26625072419,7585.273129026936,55457.61108737809,6408.428916236489,7265.810969133232,,,,,,annual_highlights_final
2013-03,domestic,2.109341873033136,500356.12756206765,annual-2013-highlights.xls,270112.66607949033,227641.28457812214,105642.28280406819,83614.52649342062,58359.361354347806,45105.254753859066,4882.730055810968,57626.37221798036,5926.480224652166,7958.618986041887,,,,,,annual_highlights_final
2013-04,domestic,1.9287194279531537,439467.96156862524,annual-2013-highlights.xls,242704.25127592878,206142.32392773227,89937.38236568398,72416.79394024273,49814.84464724523,39208.60799338044,9445.486080555063,47877.39852145713,5211.867438695597,7156.176989556245,,,,,,annual_highlights_final
2013-05,domestic,1.925025829596367,448866.74577280245,annual-2013-highlights.xls,242737.07554078285,203115.24559764535,86489.49771824347,69087.13193925902,55721.6612906968,43845.6320678475,11142.271052298238,55733.03707511466,5028.463719109026,7651.604491990648,,,,,,annual_highlights_final
2013-06,domestic,2.3250323537508906,511578.6587306507,annual-2013-highlights.xls,271752.2588894369,221920.8937425903,110750.76602847745,85438.32998793399,70613.40502906896,53845.95002130935,9055.885722878398,53863.99925262967,4678.886502808136,9035.139612429602,,,,,,annual_highlights_final
2013-07,domestic,2.338280581255678,533155.6815014811,annual-2013-highlights.xls,291680.39309772145,237832.92089339544,112308.03860797241,84929.76876376313,66247.20509834123,49832.37239744828,9135.361816093113,59750.07487864982,5508.748497260989,9051.263283458336,,,,,,annual_highlights_final
2013-08,domestic,2.19657253279831,492011.6595254515,annual-2013-highlights.xls,278790.0889550013,233935.0468987116,95487.10483886878,73995.22093573972,59985.81576986319,46431.90012170018,9348.361427861431,51583.48801520102,5627.164800548011,8132.981194743303,,,,,,annual_highlights_final
2013-09,domestic,1.8304842034392086,367389.476261765,annual-2013-highlights.xls,207710.39267790847,176681.3525150009,68793.02896266634,54054.15223898969,50719.11982591302,40221.53785986024,7482.823576364707,36025.45653132914,4524.460621287216,6421.237714100772,,,,,,annual_highlights_final
2013-10,domestic,1.854318696151564,394453.6744668792,annual-2013-highlights.xls,212732.31260012905,177954.3818688514,82689.01706897635,66062.40246441518,51628.644332720505,40765.33972941456,8465.653779022483,42617.45284025201,4916.578905754443,6334.632552457449,,,,,,annual_highlights_final
