market,airbnb_property_key,airbnb_name,airbnb_city,airbnb_address,airbnb_listing_ids,registry_source_id,registry_id,registry_name,registry_address,registered_physical_rooms,method,name_token_corroborated,registry_candidate_count,accepted_roomcount_link,status
new-york-city,STAYPINEAPPLE AN ARTFUL HOTEL MIDTOWN|337 W 36TH ST NEW YORK NY 10018 UNITED STATES,"Staypineapple, an Artful Hotel, Midtown",New York City,"337 West 36th Street, New York, NY, 10018, United States",1450861897608662430,HRE-NYC-LICENSE,2127861-DCWP,NY Dream LLC,337 W 36TH ST,,exact street/postcode premises candidate; legal entity may differ from hotel,False,1,False,premises or alias candidate only
new-york-city,MILLENNIUM PREMIER HOTEL NEW YORK TIMES SQUARE|133 W 44TH ST NEW YORK NY 10036 UNITED STATES,Millennium Premier Hotel New York Times Square,New York City,"133 West 44th Street, New York, NY, 10036, United States",1544385234815642440,HRE-NYC-LICENSE,2129197-DCWP,"Highgate Hotels, L.P.",133 W 44TH ST,,exact street/postcode premises candidate; legal entity may differ from hotel,False,1,False,premises or alias candidate only
new-york-city,HOTEL BOUTIQUE AT GRAND CENTRAL|128 E 45TH ST NEW YORK NY 10017 UNITED STATES,Hotel Boutique at Grand Central,New York City,"128 East 45th Street, New York, NY, 10017, United States",1132597476572513202,HRE-NYC-LICENSE,2128672-DCWP,"Club Quarters Management Company, L.L.C.",128 E 45TH ST,,exact street/postcode premises candidate; legal entity may differ from hotel,False,1,False,premises or alias candidate only
new-york-city,THE GREGORIAN HOTEL|42 W 35TH ST NEW YORK NY 10001 UNITED STATES,The Gregorian Hotel,New York City,"42 West 35th Street, New York, NY, 10001, United States",1556609719359538789,HRE-NYC-LICENSE,2129189-DCWP,"Highgate Hotels, L.P.",42 W 35TH ST,,exact street/postcode premises candidate; legal entity may differ from hotel,False,1,False,premises or alias candidate only
new-york-city,PARAMOUNT TIMES SQUARE A GENERATOR HOTEL|235 W 46TH ST NEW YORK NY 10036 UNITED STATES,Paramount Times Square – A Generator Hotel,New York City,"235 West 46th Street, New York, NY, 10036, United States",1138217312170457224,HRE-NYC-LICENSE,2129161-DCWP,Becker-Paramount Fee LLC,235 W 46TH ST,,exact street/postcode premises candidate; legal entity may differ from hotel,True,1,False,premises or alias candidate only
new-york-city,MERCHANT LES|139 ORCHARD ST NEW YORK NY 10002 UNITED STATES,Merchant LES,New York City,"139 Orchard Street, New York, NY, 10002, United States",1607818499136262390,HRE-NYC-LICENSE,2128782-DCWP,The Merchant powered by Sonder,139 ORCHARD ST,,exact street/postcode premises candidate; legal entity may differ from hotel,True,1,False,premises or alias candidate only
new-york-city,SMYTH TRIBECA|85 W BROADWAY NEW YORK NY 10007 UNITED STATES,Smyth Tribeca,New York City,"85 West Broadway, New York, NY, 10007, United States",1517566301851660503|1517566511154539655,HRE-NYC-LICENSE,2129185-DCWP,"Highgate Hotels, L.P.",85 W BROADWAY,,exact street/postcode premises candidate; legal entity may differ from hotel,False,2,False,premises or alias candidate only
new-york-city,SMYTH TRIBECA|85 W BROADWAY NEW YORK NY 10007 UNITED STATES,Smyth Tribeca,New York City,"85 West Broadway, New York, NY, 10007, United States",1517566301851660503|1517566511154539655,HRE-NYC-LICENSE,2130483-DCWP,85 W Broadway Propco LLC,85 W BROADWAY,,exact street/postcode premises candidate; legal entity may differ from hotel,False,2,False,premises or alias candidate only
new-york-city,MILLENNIUM HOTEL BROADWAY TIMES SQUARE|145 W 44TH ST NEW YORK NY 10036 UNITED STATES,Millennium Hotel Broadway Times Square,New York City,"145 West 44th Street, New York, NY, 10036, United States",1544240785619626206,HRE-NYC-LICENSE,2129158-DCWP,"Highgate Hotels, L.P.",145 W 44TH ST,,exact street/postcode premises candidate; legal entity may differ from hotel,False,1,False,premises or alias candidate only
new-york-city,ROYALTON PARK AVENUE|420 PARK AVE S NEW YORK NY 10016 UNITED STATES,Royalton Park Avenue,New York City,"420 Park Avenue South, New York, NY, 10016, United States",1544312392844615828,HRE-NYC-LICENSE,2129186-DCWP,"Highgate Hotels, L.P.",420 PARK AVE S,,exact street/postcode premises candidate; legal entity may differ from hotel,False,1,False,premises or alias candidate only
