market,market_label,country,capacity_metric,capacity_value,capacity_unit,capacity_qualifier,observation_period,source_geography,status,source_id,source_url,property_records_obtained,property_record_definition,current_verified_independent_rooms,airbnb_pages_observed_in_existing_capture,airbnb_property_clusters_observed_in_existing_capture,actual_airbnb_hotel_nights,actual_airbnb_hotel_revenue_usd,booking_data_status,geography_match_to_listing_polygon,limitations,overlap_status,raw_path
austin,Austin,United States,Recorded capacity of active hotel/motel/B&B licenses,29080,licensed rooms/units,See source scope and limitations; not necessarily a census,2026-09-07T11:02:35+00:00,City of Austin operating-license records; not metro. All source City fields say AUSTIN; boundary not independently polygon-checked.,calculated,H13-AUS-REG,https://data.austintexas.gov/Public-Safety/Hotel-Motel-and-B-B-Licenses/av8n-pmdr,216,"active operating-license rows, not deduplicated physical hotels",,0,0,,,not obtained; missing rather than zero,not certified; keep source boundaries explicit,Includes motel/B&B/hostel/HOA categories; all-hotel city/metro completeness and independence unverified.,New hotel-license frame; separate from Jessie STR licenses; earlier Visit Austin headline not added.,data/raw/hotel_13_market_extension/austin/licenses.csv
barcelona,Barcelona,Spain,hotel and hotel-apartment census rooms,40166,rooms,See source scope and limitations; not necessarily a census,2024-09,Barcelona municipality,observed,HOTEL-BCN,https://tdbnews.barcelonaturisme.com/wp-content/uploads/2024/10/2409_Oferta-hotelera.pdf,0,No named operating-property frame obtained; see alternate aggregate or pipeline evidence.,,0,0,,,not obtained; missing rather than zero,not certified; keep source boundaries explicit,Provisional monthly census includes hotels and hotel-apartments; 447 establishments and 78353 beds are separate units. | No independent/boutique or Airbnb filter. | Official city property-registry landing failed and API fallback returned HTTP500; no city-wide named property frame obtained. | September 2024 is the observation date; not September 2026 stock.,"Existing HOTEL-BCN source reused; seven category and ten district rows newly extracted from the same report, not independent evidence.",data/raw/hotel_13_market_extension/europe_sydney/barcelona_capacity_metadata.json
chicago,Chicago,United States,current_hotel_activity_account_site_pairs,214,licensed account-site pairs,See source scope and limitations; not necessarily a census,Snapshot2026-09-07; source updated2026-09-06,City of Chicago licensed business addresses,calculated,H13-CHI-LICENSES,https://data.cityofchicago.org/resource/uupf-x98q.json?$where=upper(business_activity)%20like%20%27%25HOTEL%25%27%20OR%20upper(license_description)%20like%20%27%25HOTEL%25%27&$limit=50000,215,current-term hotel license rows; not215 physical hotels,,0,0,,,not obtained; missing rather than zero,not certified; keep source boundaries explicit,"Hotel business activity676 means seven or more sleeping rooms; room capacity is not a dataset field. | 226 returned active-view rows include11 future-start license terms. Current-term filter yields215 license numbers,214 account-site pairs,209 exact addresses. These units are not interchangeable. | An account-site can combine multiple brands; separate accounts can share addresses. No physical-property census or operational availability is inferred. | No verified ownership/brand independence or boutique flag; no Airbnb matching, allocation or booking inference. | The historical Hotel license code1370 returned1402 terms ending by2015 and was excluded from current supply; modern hotel records use Regulated Business License activity676.",not found in other accessible research source/memo files by exact-URL scan; independent discovery claim limited to this repository,data/raw/hotel_13_market_extension/us_west_chicago/chicago_current_hotel_activities.json
london,London,United Kingdom,Serviced accommodation inventory,174384,serviced rooms,See source scope and limitations; not necessarily a census,Q1 2025,"Greater London: 32 London boroughs plus City of London, 33 areas total",observed,HOTEL-13-LON-GLA-2026,https://www.london.gov.uk/sites/default/files/2026-07/Visitor%20Accommodation%20in%20London%20-%202026%20report.pdf,0,33 borough aggregates at two periods; no named-property records,,12,12,,,not obtained; missing rather than zero,not certified; keep source boundaries explicit,"Includes B&Bs, guest houses, apart-hotels and hostels; July 2026 publication is not a 2026 observation.","Refinement of existing HOTEL-LON source, same GLA/CoStar Q1 2025 serviced-room lineage. Not independent corroboration or new 2026 inventory growth.",data/raw/hotel_13_market_extension/london/gla_2026_report.pdf
los-angeles,Los Angeles,United States,sum_reported_total_rooms_in_directory_subset,35501,reported profile rooms,sum for 172 of 173 directory profiles; not citywide,Undated profile/directory facts retrieved2026-09-07,City of Los Angeles Tourism Marketing District:50+room lodging subset,calculated,H13-LA-TMD-DIRECTORY,https://www.discoverlosangeles.com/tmd,173,distinct TMD directory hotel profile URLs,,0,0,,,not obtained; missing rather than zero,not certified; keep source boundaries explicit,"Official TMD directory subset, not all City of Los Angeles hotels; July2024 district plan applies to public-occupancy lodging with50+rooms in city boundaries. Smaller boutique hotels are structurally omitted. | 173 distinct directory URLs;172 explicit Total Rooms fields; Bonnie Lee Inn missing. Rooms are undated profile facts retrieved2026-09-07, not audited current operating capacity. | 35,501 is the arithmetic sum of reported profile fields. Three shared-address brand pairs are retained; physical room overlap has not been independently reconciled. | Postal address place names differ from municipal jurisdiction. City membership follows the TMD directory/plan, not a naive Los Angeles postal-name filter. | No verified independent/boutique classification, Airbnb eligibility, contracted allocation, availability or booking inference.",not found in other accessible research source/memo files by exact-URL scan; independent discovery claim limited to this repository,data/raw/hotel_13_market_extension/us_west_chicago/la_tmd.html
mexico-city,Mexico City,Mexico,Reported hotel-room capacity,62279,rooms,See source scope and limitations; not necessarily a census,2025-09-30,Ciudad de México,observed,H13-MEX-SECTUR-2025,https://www.congresocdmx.gob.mx/media/documentos/b5c1ff207166ed571562c1cc60deeb9dcc220e83.pdf,0,"No property-level rows obtained. 850 hotels is a reported aggregate, not 850 downloaded property records.",,0,0,,,not obtained; missing rather than zero,not certified; keep source boundaries explicit,"No source identifies boutique eligibility, chain/franchise affiliation or independent-room totals. | Supply and licenses do not measure Airbnb listings, activated inventory, room allocation, bookings or incremental hotel demand. | 850 is an agency aggregate, not 850 downloaded property records. | Same stock appears in category, borough and headline tables; do not sum those populations. | Source discloses catalog refresh; historical count increases include previously uncounted hotels. Earlier years not directly comparable. | Direct CDMX open-data registry and Secretariat files timed out. Congress-hosted PDF was downloaded; no property-level room registry obtained. | Replaces inherited 66,000 search-snippet capacity. Other unverified official-index statements 62,280/62,729 conflict; not averaged or used as additional stock.",No document hash-token match in frozen team URL inventory. Upgrade to inherited HOTEL-MEX search-only lead from same public tourism source family; do not add both stock counts.,data/raw/hotel_13_market_extension/south_mexico/mexico_tourism_congress_2025.pdf
nashville,Nashville,United States,Reported hotel-room capacity,42156,rooms,See source scope and limitations; not necessarily a census,page updated 2025-09-19; precise stock date unspecified,Davidson County (Nashville metropolitan government); not 14-county MSA,observed,H13-BNA-CVB-2025,https://www.visitmusiccity.com/about/statistics,0,No property-level operating hotel registry obtained. Capacity is an agency aggregate.,,0,0,,,not obtained; missing rather than zero,not certified; keep source boundaries explicit,"No source identifies boutique eligibility, chain/franchise affiliation or independent-room totals. | Supply and licenses do not measure Airbnb listings, activated inventory, room allocation, bookings or incremental hotel demand. | Reused undated-stock county number on September 2025 page; no complete hotel operating registry downloaded. Inspection portal returned 403.","Reused inherited HOTEL-BNA capacity observation, not new independent evidence.",data/raw/hotel_13_market_extension/south_mexico/nashville_statistics_web_reader.txt
new-orleans,New Orleans,United States,Reported hotel/motel licenses,220,licenses,See source scope and limitations; not necessarily a census,2025-03,City of New Orleans,observed,H13-MSY-CPC-2025,https://nola.gov/nola/media/City-Planning/Major%20Projects/Inclusionary%20Housing%20Study/10-29-2025-ALL-TransientLodgingStudyReport.pdf,262,"Historical 2024 business records under hotel/motel category, NOT unique hotels; separate source H13-MSY-REVENUE-2024. 243 distinct exact address strings. No room field.",,0,0,,,not obtained; missing rather than zero,not certified; keep source boundaries explicit,"No source identifies boutique eligibility, chain/franchise affiliation or independent-room totals. | Supply and licenses do not measure Airbnb listings, activated inventory, room allocation, bookings or incremental hotel demand. | Room anchor is rounded, partial-area and not matched to citywide business rows. | Downloaded CSV has 391 lodging business rows, of which 262 hotel/motel rows map to 243 exact addresses; duplicates include operator changes, dual brands and bar/garage registrations. No unique physical-hotel total inferred. | CSV last rows update July 16, 2024. Monthly refresh label does not make it current; no rooms field. | Newer March 2025 study uses another city administrative system; differences cannot establish exits or supply change.",No report filename match in frozen visible team URL inventory. Different city administrative system from Revenue CSV; not additive hotels.,data/raw/hotel_13_market_extension/south_mexico/nola_transient_lodging_study.pdf
new-york-city,New York City,United States,Active/Ready-for-Renewal candidate licenses,785,license records,See source scope and limitations; not necessarily a census,Source updated 2026-08-20; status filter 2026-09-07,NYC hotel operating-license records; five boroughs,calculated,HRE-NYC-LICENSE,https://data.cityofnewyork.us/Business/Issued-Licenses/w7w3-xahh,785,785 candidate licenses / 761 address clusters; not 785 proven physical hotels,,55,54,,,not obtained; missing rather than zero,not certified; keep source boundaries explicit,No room-count field; active/renewal status is not evidence of Airbnb operation or booking production.,Reused earlier hotel rollout registry; historical CoStar independence anchor kept separately.,data/raw/hotel_rollout_economics/nyc_query_1.json
paris,Paris,France,Classified-hotel registered capacity,85815,rooms,See source scope and limitations; not necessarily a census,Classification export retrieved 2026-09-07,"Paris municipality, postcodes 75001–75020 and 75116",calculated,HRE-FR-CLASSIFIED,https://www.data.gouv.fr/datasets/hebergements-touristiques-classes-en-france,1589,classified-hotel name/address identities,,34,33,,,not obtained; missing rather than zero,not certified; keep source boundaries explicit,Classified hotels only; chain affiliation and operating/Airbnb status unverified; unclassified stock excluded.,Reused Paris subset of France; France national total excluded from selected market panel.,data/raw/hotel_rollout_economics/france_classified_accommodation.csv
