license_nbr,business_name,dba_trade_name,business_unique_id,license_status,license_creation_date,lic_expir_dd,address_borough,address_city,address_zip,bin,bbl,latitude,longitude,street_address,address_cluster,current_status_candidate,source_id,rooms,independent_status,airbnb_membership
2128062-DCWP,"32 PEARL, LLC",,BA-1728819-2025,Active,2025-04-28T00:00:00.000,2028-09-30T00:00:00.000,Manhattan,NEW YORK,10004,1078968,1000080039,40.70323447736656,-74.01242122340969,32 PEARL ST,32 PEARL ST|10004,True,HRE-NYC-LICENSE,,unverified,unverified
2129237-DCWP,1020 Hotel Corp,,BA-1733808-2025,Active,2025-06-06T00:00:00.000,2028-09-30T00:00:00.000,Manhattan,NEW YORK,10018,1015987,1008400001,40.75183004970237,-73.9847689311658,69 W 38TH ST,69 W 38TH ST|10018,True,HRE-NYC-LICENSE,,unverified,unverified
2127799-DCWP,BOSTON HOTEL LLC,,BA-1727592-2025,Active,2025-04-16T00:00:00.000,2028-09-30T00:00:00.000,Bronx,BRONX,10469,2095085,2047330006,40.874774,-73.851696,3362 BOSTON RD,3362 BOSTON RD|10469,True,HRE-NYC-LICENSE,,unverified,unverified
2129766-DCWP,WHITESTONE HOSPITALITY LLC,,BA-1737958-2025,Active,2025-07-03T00:00:00.000,2028-09-30T00:00:00.000,Bronx,BRONX,10473,2129091,2037000026,40.827513,-73.845503,2338 BRUCKNER BLVD,2338 BRUCKNER BLVD|10473,True,HRE-NYC-LICENSE,,unverified,unverified
2132418-DCWP,TSQ HOTEL LLC,,BA-1755969-2025,Active,2025-12-08T00:00:00.000,2028-09-30T00:00:00.000,Manhattan,NEW YORK,10036,1090197,1010760051,40.764196,-73.994545,538 W 48TH ST,538 W 48TH ST|10036,True,HRE-NYC-LICENSE,,unverified,unverified
2129659-DCWP,Manhattan Hotel Management LLC,,BA-1737209-2025,Active,2025-06-27T00:00:00.000,2028-09-30T00:00:00.000,Manhattan,NEW YORK,10002,1089446,1002740024,40.712433,-73.992732,154 MADISON ST,154 MADISON ST|10002,True,HRE-NYC-LICENSE,,unverified,unverified
2128186-DCWP,HOTEL BLISS,,BA-1729396-2025,Active,2025-05-02T00:00:00.000,2028-09-30T00:00:00.000,Brooklyn,BROOKLYN,11208,3097756,3043630001,40.66426540388246,-73.877385004567,2330 LINDEN BLVD,2330 LINDEN BLVD|11208,True,HRE-NYC-LICENSE,,unverified,unverified
2131576-DCWP,SOHO HOTEL OWNER,,BA-1739543-2025,Active,2025-10-15T00:00:00.000,2028-09-30T00:00:00.000,Manhattan,NEW YORK,10013,1002687,1002090019,40.71924,-73.999964,11 HOWARD ST,11 HOWARD ST|10013,True,HRE-NYC-LICENSE,,unverified,unverified
2128150-DCWP,"MH MANAGEMENT 70 PINE, LLC",,BA-1729279-2025,Surrendered,2025-05-01T00:00:00.000,2026-09-30T00:00:00.000,Manhattan,NEW YORK,10005,1001007,1000417504,40.706315,-74.007895,70 PINE ST,70 PINE ST|10005,False,HRE-NYC-LICENSE,,unverified,unverified
2128265-DCWP,"Real Hospitality Group, LLC",,BA-1729871-2025,Surrendered,2025-05-06T00:00:00.000,2026-09-30T00:00:00.000,Manhattan,NEW YORK,10001,1090747,1008300073,40.746223016279785,-73.98905404178254,44 W 29TH ST,44 W 29TH ST|10001,False,HRE-NYC-LICENSE,,unverified,unverified
2128266-DCWP,"Real Hospitality Group, LLC",,BA-1729875-2025,Surrendered,2025-05-06T00:00:00.000,2026-09-30T00:00:00.000,Manhattan,NEW YORK,10002,1088499,1004160058,40.72104261346878,-73.98874792459361,163 ORCHARD ST,163 ORCHARD ST|10002,False,HRE-NYC-LICENSE,,unverified,unverified
2128267-DCWP,"Real Hospitality Group, LLC",,BA-1729880-2025,Surrendered,2025-05-06T00:00:00.000,2026-09-30T00:00:00.000,Manhattan,NEW YORK,10002,1005368,1004110041,40.720361858381516,-73.98819969133658,136 LUDLOW ST,136 LUDLOW ST|10002,False,HRE-NYC-LICENSE,,unverified,unverified
2128268-DCWP,"Real Hospitality Group, LLC",,BA-1729882-2025,Surrendered,2025-05-06T00:00:00.000,2026-09-30T00:00:00.000,Manhattan,NEW YORK,10001,1089382,1007320070,40.75510278755908,-73.99875474481222,446 10TH AVE,446 10TH AVE|10001,False,HRE-NYC-LICENSE,,unverified,unverified
2128398-DCWP,"Real Hospitality Group, LLC",,BA-1730305-2025,Surrendered,2025-05-12T00:00:00.000,2026-09-30T00:00:00.000,Manhattan,NEW YORK,10001,1080594,1008030049,40.746349464285494,-73.99127353208694,116 W 28TH ST,116 W 28TH ST|10001,False,HRE-NYC-LICENSE,,unverified,unverified
2128503-DCWP,"Real Hospitality Group, LLC",,BA-1729882-2025,Surrendered,2025-05-15T00:00:00.000,2026-09-30T00:00:00.000,Manhattan,NEW YORK,10001,1089382,1007320070,40.75510278755908,-73.99875474481222,446 10TH AVE,446 10TH AVE|10001,False,HRE-NYC-LICENSE,,unverified,unverified
2128505-DCWP,"Real Hospitality Group, LLC",,BA-1729875-2025,Surrendered,2025-05-15T00:00:00.000,2026-09-30T00:00:00.000,Manhattan,NEW YORK,10002,1088499,1004160058,40.72104261346878,-73.98874792459361,163 ORCHARD ST,163 ORCHARD ST|10002,False,HRE-NYC-LICENSE,,unverified,unverified
2128506-DCWP,"Real Hospitality Group, LLC",,BA-1729880-2025,Surrendered,2025-05-15T00:00:00.000,2026-09-30T00:00:00.000,Manhattan,NEW YORK,10002,1005368,1004110041,40.720361858381516,-73.98819969133658,136 LUDLOW ST,136 LUDLOW ST|10002,False,HRE-NYC-LICENSE,,unverified,unverified
2128552-DCWP,White Pearl Hospitality LLC,,BA-1730104-2025,Failed to Renew,2025-05-16T00:00:00.000,2025-06-16T00:00:00.000,Manhattan,NEW YORK,10005,1085950,1000317501,40.70548558541851,-74.0078735326104,75 WALL ST,75 WALL ST|10005,False,HRE-NYC-LICENSE,,unverified,unverified
2128668-DCWP,Sonder Court Square,,BA-1731429-2025,Voided,2025-05-19T00:00:00.000,2026-09-30T00:00:00.000,Queens,LONG ISLAND CITY,11101,4000708,4000850005,40.745755,-73.94465,4506 PEARSON ST,4506 PEARSON ST|11101,False,HRE-NYC-LICENSE,,unverified,unverified
2128788-DCWP,Hersha Hospitality Management L.P.,,BA-1731509-2025,Surrendered,2025-05-21T00:00:00.000,2026-09-30T00:00:00.000,Manhattan,NEW YORK,10019,1089437,1010260012,40.764264,-73.982997,237 W 54TH ST,237 W 54TH ST|10019,False,HRE-NYC-LICENSE,,unverified,unverified
