month,north_america,europe,asia_pacific,latin_america,middle_east,africa,world_total,basis
2024-01,6.0,10.0,31.8,9.9,16.2,18.1,,total_market
2024-02,8.9,14.8,37.8,13.0,19.7,22.5,21.5,total_market
2024-03,6.3,10.6,24.2,10.9,10.5,10.0,13.8,total_market
2024-04,4.2,9.3,17.4,8.0,14.1,15.7,11.0,total_market
2024-05,8.1,11.7,27.0,15.9,9.7,14.1,10.7,international_only_regional
2024-06,5.4,8.1,12.5,9.1,9.9,16.2,9.1,total_market
2024-07,4.9,7.2,12.0,7.5,6.1,6.6,8.0,total_market
2024-08,4.8,7.8,13.4,6.5,5.0,9.6,8.6,total_market
2024-09,1.1,6.7,12.4,7.2,4.7,12.2,7.1,total_market
2024-10,0.3,7.9,12.7,7.0,2.5,9.3,7.1,total_market
2024-11,3.1,9.4,19.9,11.4,8.7,12.4,8.1,international_only_regional
2024-12,6.0,7.3,11.8,6.4,7.6,12.2,8.6,total_market
2025-01,3.4,7.4,16.1,7.9,9.6,15.0,10.0,total_market
2025-02,-3.2,4.3,4.2,4.6,3.3,6.8,2.6,total_market
2025-03,-1.1,4.4,6.3,6.2,-0.7,4.1,3.3,total_market
2025-04,1.6,8.3,10.6,10.9,11.3,14.2,8.0,total_market
2025-05,-0.5,3.4,9.4,8.5,6.2,7.5,5.0,total_market
2025-06,0.1,2.2,5.0,7.9,-0.2,0.8,2.6,total_market
2025-07,1.9,2.9,5.5,7.2,5.4,3.9,4.0,total_market
2025-08,0.5,4.2,6.1,7.5,8.4,8.9,4.6,total_market
2025-09,-0.1,2.9,5.3,5.4,6.2,6.1,3.6,total_market
2025-10,2.5,6.7,8.1,6.1,10.5,8.8,6.6,total_market
2025-11,0.1,6.1,7.8,3.9,9.5,12.6,5.7,total_market
2025-12,-0.1,7.6,6.3,6.8,9.6,12.8,5.6,total_market
2026-01,0.8,6.0,1.4,8.3,7.4,17.9,3.8,total_market
2026-02,2.8,4.9,9.1,9.2,0.8,11.9,6.1,total_market
2026-03,2.3,7.5,11.5,8.4,-58.6,20.6,2.1,total_market
2026-04,-0.3,0.8,1.7,5.0,-46.6,2.8,-3.4,total_market
2026-05,-0.8,2.7,-1.4,6.1,-28.4,6.6,-2.2,total_market
2026-06,-1.1,0.8,-2.0,1.5,-13.9,3.8,-1.7,total_market
2026-07,-1.2,2.1,1.0,6.1,-10.0,5.2,0.2,total_market
