city,dump_date,host_id,listings,entire_home,reviews_ltm,share_of_city
austin,2026-08-25,434308464,164,164,474,0.0148
austin,2026-08-25,464404919,107,107,1306,0.0097
austin,2026-08-25,501999514,84,5,195,0.0076
austin,2026-08-25,263502162,78,78,145,0.007
austin,2026-08-25,518041117,60,0,3,0.0054
austin,2026-08-25,107434423,59,59,10,0.0053
austin,2026-08-25,35817561,52,52,1062,0.0047
austin,2026-08-25,456475914,49,49,279,0.0044
austin,2026-08-25,501999278,48,0,23,0.0043
austin,2026-08-25,114422088,46,46,1034,0.0042
austin,2026-08-25,753795000,45,0,0,0.0041
austin,2026-08-25,118565935,45,45,257,0.0041
austin,2026-08-25,573164444,42,42,296,0.0038
austin,2026-08-25,7040341,42,42,528,0.0038
austin,2026-08-25,674385855,41,41,163,0.0037
austin,2026-08-25,8167447,39,0,28,0.0035
austin,2026-08-25,447606169,36,36,209,0.0032
austin,2026-08-25,713327562,36,0,13,0.0032
austin,2026-08-25,30225950,35,35,439,0.0032
austin,2026-08-25,358619880,35,35,50,0.0032
austin,2026-08-25,39191637,34,34,632,0.0031
austin,2026-08-25,246235981,34,33,869,0.0031
austin,2026-08-25,5834228,34,16,798,0.0031
austin,2026-08-25,18253226,34,34,397,0.0031
austin,2026-08-25,461521204,32,32,638,0.0029
barcelona,2026-08-23,346367515,600,600,158,0.037
barcelona,2026-08-23,1447144,520,520,163,0.032
barcelona,2026-08-23,21726991,397,396,6,0.0245
barcelona,2026-08-23,32037490,289,284,8115,0.0178
barcelona,2026-08-23,550521861,269,36,24,0.0166
barcelona,2026-08-23,4459553,248,248,4833,0.0153
barcelona,2026-08-23,221480824,246,35,147,0.0152
barcelona,2026-08-23,299462,145,145,3101,0.0089
barcelona,2026-08-23,36607755,136,0,0,0.0084
barcelona,2026-08-23,158023606,120,120,3032,0.0074
barcelona,2026-08-23,9400556,115,115,2876,0.0071
barcelona,2026-08-23,265193861,100,95,333,0.0062
barcelona,2026-08-23,3556337,90,90,3302,0.0055
barcelona,2026-08-23,449485386,90,0,0,0.0055
barcelona,2026-08-23,518888520,81,7,73,0.005
barcelona,2026-08-23,1503151,72,0,6,0.0044
barcelona,2026-08-23,33278356,71,67,2334,0.0044
barcelona,2026-08-23,1391607,69,69,210,0.0043
barcelona,2026-08-23,438136382,56,56,12,0.0035
barcelona,2026-08-23,39789054,54,12,18,0.0033
barcelona,2026-08-23,250042982,53,53,49,0.0033
barcelona,2026-08-23,47171261,53,53,460,0.0033
barcelona,2026-08-23,370718107,51,51,1174,0.0031
barcelona,2026-08-23,5614931,44,44,529,0.0027
barcelona,2026-08-23,10547296,44,44,613,0.0027
chicago,2026-08-27,107434423,415,415,27,0.0473
chicago,2026-08-27,446820235,124,124,0,0.0141
chicago,2026-08-27,248760412,99,99,1568,0.0113
chicago,2026-08-27,395498979,79,79,1908,0.009
chicago,2026-08-27,391945218,73,73,29,0.0083
chicago,2026-08-27,177188450,59,59,216,0.0067
chicago,2026-08-27,457438194,58,1,132,0.0066
chicago,2026-08-27,464407683,51,51,959,0.0058
chicago,2026-08-27,5615582,48,0,17,0.0055
chicago,2026-08-27,111062630,48,48,1393,0.0055
chicago,2026-08-27,396270947,45,45,28,0.0051
chicago,2026-08-27,371036931,44,9,255,0.005
chicago,2026-08-27,235678953,39,39,943,0.0044
chicago,2026-08-27,98193524,38,38,990,0.0043
chicago,2026-08-27,518917937,37,35,567,0.0042
chicago,2026-08-27,154245517,34,34,696,0.0039
chicago,2026-08-27,501999514,34,1,116,0.0039
chicago,2026-08-27,1118796,33,33,737,0.0038
chicago,2026-08-27,62022982,32,30,416,0.0036
