market,country,start,complete,rows,team_partial_scope,count_below_half_max,negative_evidence_excluded,city_scrape,previous_scrape,team_historical_count_verified,team_current_hash_verified,source_url,sha256
albany,United States,2025-09-06,2025-09-06,465,,False,False,425,40,False,False,https://data.insideairbnb.com/united-states/ny/albany/2025-09-06/data/listings.csv.gz,0688d9c490f7c199277ce07d18ffed123dfa88c53894d013b2434b1bc5c1d228
albany,United States,2025-12-11,2025-12-11,482,,False,False,426,56,False,False,https://data.insideairbnb.com/united-states/ny/albany/2025-12-11/data/listings.csv.gz,84d6db13722c0ab5ddafc37a49d623d293112f580052fcbe87e4dcfe40eb999c
albany,United States,2026-03-17,2026-03-17,470,,False,False,444,26,False,False,https://data.insideairbnb.com/united-states/ny/albany/2026-03-17/data/listings.csv.gz,f3751f5d5607c56f89a23c737493d39adcecba365718f0a664932f502ecc4ccd
albany,United States,2026-06-16,2026-06-22,490,,False,False,456,34,False,False,https://data.insideairbnb.com/united-states/ny/albany/2026-06-16/data/listings.csv.gz,a39438e7dc72e9ace8742f3479f80342db36ac07d437116f368173d75144d901
amsterdam,The Netherlands,2025-09-11,2025-09-11,10480,,False,False,5932,4548,False,False,https://data.insideairbnb.com/the-netherlands/north-holland/amsterdam/2025-09-11/data/listings.csv.gz,84574484ee5750890f8c17cd586521461bece6005adcfb6feae9a0a61e337696
amsterdam,The Netherlands,2025-12-12,2025-12-13,10835,,False,False,6660,4175,False,False,https://data.insideairbnb.com/the-netherlands/north-holland/amsterdam/2025-12-12/data/listings.csv.gz,77a69068a7ded42bbb6a5a856e5ef9ffe807b31a5aabe92a9172838938326aa0
amsterdam,The Netherlands,2026-03-19,2026-03-20,6503,,False,False,4856,1647,False,False,https://data.insideairbnb.com/the-netherlands/north-holland/amsterdam/2026-03-19/data/listings.csv.gz,fad074e51a3434226d4399c6e8b6369ba002aac89c01372a17b9f533698b8fe7
amsterdam,The Netherlands,2026-06-15,2026-06-24,10369,,False,False,5864,4505,False,True,https://data.insideairbnb.com/the-netherlands/north-holland/amsterdam/2026-06-15/data/listings.csv.gz,e67b01d8b46e04f8ea85cd401dc6deeadef3b482fccf39e0388020d63c394062
antwerp,Belgium,2025-09-28,2025-09-28,2515,,False,False,2148,367,False,False,https://data.insideairbnb.com/belgium/vlg/antwerp/2025-09-28/data/listings.csv.gz,fafc23e296b564665bc1ecf31127cec2ea49157e8de677cdc075ab068356c9a6
antwerp,Belgium,2025-12-29,2026-01-05,2467,,False,False,2038,429,False,False,https://data.insideairbnb.com/belgium/vlg/antwerp/2025-12-29/data/listings.csv.gz,3860d25b8c0ea196c994b729393c5fc39e75a33ebca84b75e7d778e3253639c2
antwerp,Belgium,2026-03-30,2026-03-31,1848,,False,False,1848,0,False,False,https://data.insideairbnb.com/belgium/vlg/antwerp/2026-03-30/data/listings.csv.gz,aaa72cd6f859b3f120cf645818ea28aaec15293fa0a537bf2a484fa5fdd55588
antwerp,Belgium,2026-06-29,2026-07-03,2535,,False,False,2092,443,False,False,https://data.insideairbnb.com/belgium/vlg/antwerp/2026-06-29/data/listings.csv.gz,4d117cae542afdd3070df4829622cf4ef9f817b718b3b252032c1bde2fde7c9c
asheville,United States,2025-09-22,2025-09-22,2852,,False,False,2546,306,False,False,https://data.insideairbnb.com/united-states/nc/asheville/2025-09-22/data/listings.csv.gz,659bb544c4e535b8c144e2ccf56e09873b8da792d86eb3143b5c4b6b51c04113
asheville,United States,2025-12-26,2026-01-05,2892,,False,False,2574,318,False,False,https://data.insideairbnb.com/united-states/nc/asheville/2025-12-26/data/listings.csv.gz,49dca1a9b772907efe051208e64b4943698fc6b3dddf485b1646f0e74e7f754c
asheville,United States,2026-03-27,2026-03-27,2166,,False,False,2166,0,False,False,https://data.insideairbnb.com/united-states/nc/asheville/2026-03-27/data/listings.csv.gz,498bfec71982e95b4c80beb740ca053b642709bd974d2f6ddf22f9f6fe9ad053
asheville,United States,2026-06-25,2026-07-03,2865,,False,False,2581,284,False,True,https://data.insideairbnb.com/united-states/nc/asheville/2026-06-25/data/listings.csv.gz,b50fb547cc32757867e55b435a36a9c77faa03100b28cfaf0f195252a1865ee5
athens,Greece,2025-09-26,2025-09-27,15584,,False,False,14530,1054,False,False,https://data.insideairbnb.com/greece/attica/athens/2025-09-26/data/listings.csv.gz,7f54ea5165442073c6d2639aa64536435e0aace6533215e8305d7c90aadf2352
athens,Greece,2025-12-28,2026-01-05,14842,,False,False,13693,1149,False,False,https://data.insideairbnb.com/greece/attica/athens/2025-12-28/data/listings.csv.gz,a3059ad8eb3cd9747c80d2bd7b3509830ec69544b06e57d4d77d8150ae78130d
athens,Greece,2026-03-30,2026-04-07,13304,,False,False,13304,0,False,False,https://data.insideairbnb.com/greece/attica/athens/2026-03-30/data/listings.csv.gz,0f9111ee2f05f67d9ac94dae142d714dc4eb18e9254d08c4950208f9e94d8ead
athens,Greece,2026-06-28,2026-06-30,14337,,False,False,14337,0,False,False,https://data.insideairbnb.com/greece/attica/athens/2026-06-28/data/listings.csv.gz,86430d93072767f0496de370854afd987b1f8fec02c86788a06de6c01802cc92
austin,United States,2025-09-16,2025-09-17,10533,True,False,True,10533,0,True,False,https://data.insideairbnb.com/united-states/tx/austin/2025-09-16/data/listings.csv.gz,f3f243214fd5d3c209c36b9fbde54cd11e0a23591a813d1beff130ac781b090f
austin,United States,2025-12-22,2026-01-05,11251,True,False,True,10662,589,True,False,https://data.insideairbnb.com/united-states/tx/austin/2025-12-22/data/listings.csv.gz,9d4ae6d1136a1ffd111614ee437d1edf0117d0128840f748f4d0dbc42ba620c3
austin,United States,2026-03-25,2026-03-28,8170,True,False,True,8170,0,True,False,https://data.insideairbnb.com/united-states/tx/austin/2026-03-25/data/listings.csv.gz,8640ebe69f81ed869b6f4cdd5dbfe772a4a97ee463cfaef9b06515a0ff4539d2
austin,United States,2026-06-22,2026-07-02,11295,False,False,False,10186,1109,True,True,https://data.insideairbnb.com/united-states/tx/austin/2026-06-22/data/listings.csv.gz,5e2b0267729ea2f6c61c06e58621abae4a88ff852594ad9ccf1dec0a0d4f4c05
bangkok,Thailand,2025-09-26,2025-09-28,28806,,False,False,23277,5529,False,False,https://data.insideairbnb.com/thailand/central-thailand/bangkok/2025-09-26/data/listings.csv.gz,66ca269c9819b900db621334a0b62a4cd678fb85a243eb09e2d88b16744bebf5
bangkok,Thailand,2025-12-28,2026-01-05,29888,,False,False,23512,6376,False,False,https://data.insideairbnb.com/thailand/central-thailand/bangkok/2025-12-28/data/listings.csv.gz,1d8481fa381fdf330be7252a698d1a6bd83d77795788b75552b0abbbf4b82232
bangkok,Thailand,2026-03-30,2026-04-02,16444,,False,False,16444,0,False,False,https://data.insideairbnb.com/thailand/central-thailand/bangkok/2026-03-30/data/listings.csv.gz,3f7ceef47a2d094dbc5eb0b4ce1ee4331253fc75b67584574c7cdbfbacd84c93
bangkok,Thailand,2026-06-29,2026-07-02,31069,,False,False,28808,2261,False,True,https://data.insideairbnb.com/thailand/central-thailand/bangkok/2026-06-29/data/listings.csv.gz,b17b99f9c421c566cc26a1c89a0b3d16b4c7f3dc74e659141900ccbac316b20e
barcelona,Spain,2025-09-14,2025-09-15,19410,False,False,False,15304,4106,True,False,https://data.insideairbnb.com/spain/catalonia/barcelona/2025-09-14/data/listings.csv.gz,f6e61e1d11e301b5d7fbf0888db7037a04fb22df0b44182c04e41075d38abb83
barcelona,Spain,2025-12-14,2025-12-15,18177,False,False,False,14623,3554,True,False,https://data.insideairbnb.com/spain/catalonia/barcelona/2025-12-14/data/listings.csv.gz,b6b498811bad0f154ccb35ae159dc0140bb047bcc59736cd3ad3cc2319a1f2a8
barcelona,Spain,2026-03-21,2026-03-22,16107,False,False,False,7251,8856,True,False,https://data.insideairbnb.com/spain/catalonia/barcelona/2026-03-21/data/listings.csv.gz,7b603588d37874d39be0f692dd33c211f87a61b5d8ae2fab75bdf5078979af12
barcelona,Spain,2026-06-24,2026-07-03,15293,False,False,False,13035,2258,True,True,https://data.insideairbnb.com/spain/catalonia/barcelona/2026-06-24/data/listings.csv.gz,aefc9848413a265973255a3ba6e43b650b645f9ee558a2474912e9c9d06a77fa
barossa-valley,Australia,2025-09-27,2025-09-27,353,,False,False,318,35,False,False,https://data.insideairbnb.com/australia/sa/barossa-valley/2025-09-27/data/listings.csv.gz,3c95cc8bbe9777fd772eb7d2e3d666cd76ec9a79431fda58706057038b746525
barossa-valley,Australia,2025-12-28,2026-01-05,362,,False,False,310,52,False,False,https://data.insideairbnb.com/australia/sa/barossa-valley/2025-12-28/data/listings.csv.gz,6468d0540babc87fd0b3ee8509dee9d288ef876bcba68b604c0b2d6ee870929b
barossa-valley,Australia,2026-03-30,2026-03-30,323,,False,False,323,0,False,False,https://data.insideairbnb.com/australia/sa/barossa-valley/2026-03-30/data/listings.csv.gz,d852767c244519a86312f265926d9f2da575e02b2977be1493e612b8cf5a6e6b
barossa-valley,Australia,2026-06-29,2026-07-02,360,,False,False,323,37,False,False,https://data.insideairbnb.com/australia/sa/barossa-valley/2026-06-29/data/listings.csv.gz,0e5157a5d98865a2d9a9f090523e5b3802b6ac82e706ea18cebfb4af3a3e245c
barwon-south-west-vic,Australia,2025-09-28,2025-09-28,7280,,False,False,6309,971,False,False,https://data.insideairbnb.com/australia/vic/barwon-south-west-vic/2025-09-28/data/listings.csv.gz,3405566014de7c74aba8f09cd92d3764ccd25eee2501eabead7898f618fbcdf5
barwon-south-west-vic,Australia,2025-12-29,2026-01-05,7429,,False,False,6375,1054,False,False,https://data.insideairbnb.com/australia/vic/barwon-south-west-vic/2025-12-29/data/listings.csv.gz,87af4a35f4a73f9c8e27e87f32fb7065afa7eea9a69195fe1d0b0fccfd8398c5
barwon-south-west-vic,Australia,2026-03-30,2026-04-02,5844,,False,False,5844,0,False,False,https://data.insideairbnb.com/australia/vic/barwon-south-west-vic/2026-03-30/data/listings.csv.gz,95c7605a3325751f29442a7f038519b26ced3b32f16ff6e90717eef34a578000
barwon-south-west-vic,Australia,2026-06-29,2026-07-02,7095,,False,False,5985,1110,False,False,https://data.insideairbnb.com/australia/vic/barwon-south-west-vic/2026-06-29/data/listings.csv.gz,65386892520542d01e0ea2ca0f971e5602f3e9b4ac8a59c87b5ebdd8af0dd90b
belize,Belize,2025-09-28,2025-09-28,3581,,False,False,3106,475,False,False,https://data.insideairbnb.com/belize/bz/belize/2025-09-28/data/listings.csv.gz,2013d1eb57f09100321556f4816ddb95da5753933de731bbb24e69f8ac4d8b3c
belize,Belize,2025-12-29,2026-01-05,3630,,False,False,3004,626,False,False,https://data.insideairbnb.com/belize/bz/belize/2025-12-29/data/listings.csv.gz,8988f51dc21df3141a79c055008af39b16f8d7ebb117723c8197d48fc6815f4c
belize,Belize,2026-03-30,2026-04-02,3074,,False,False,3074,0,False,False,https://data.insideairbnb.com/belize/bz/belize/2026-03-30/data/listings.csv.gz,006673203351195b22eb16bdf9eeb8aef2b116f37926acc81697b84086d9d5c2
belize,Belize,2026-06-29,2026-07-03,3608,,False,False,3490,118,False,False,https://data.insideairbnb.com/belize/bz/belize/2026-06-29/data/listings.csv.gz,45961755435aaec2f98885a0a4b5811a91faeb7dbd5f5a7ef626265ced5e2247
bergamo,Italy,2025-09-29,2025-09-30,3835,,False,False,3532,303,False,False,https://data.insideairbnb.com/italy/lombardia/bergamo/2025-09-29/data/listings.csv.gz,25102d14f505571cf798c3a4138812068d5efdc0c19396fcc9719191c1a895c2
bergamo,Italy,2025-12-31,2026-01-05,3524,,False,False,3524,0,False,False,https://data.insideairbnb.com/italy/lombardia/bergamo/2025-12-31/data/listings.csv.gz,77358e794ba16d5836ffb71bdc4d28c35bb2bcfd87f90affa0376cf8fa913857
bergamo,Italy,2026-03-31,2026-04-02,3356,,False,False,3356,0,False,False,https://data.insideairbnb.com/italy/lombardia/bergamo/2026-03-31/data/listings.csv.gz,43cd75d3cc46936a27f442565c6bca2177d81ecd729b35e0dc22e9911111c220
bergamo,Italy,2026-06-30,2026-07-03,4237,,False,False,3904,333,False,True,https://data.insideairbnb.com/italy/lombardia/bergamo/2026-06-30/data/listings.csv.gz,41b1e20333ee80f6718c7b264606a3cfad877362eca9895e4d8040b5a56e6512
berlin,Germany,2025-09-23,2025-09-24,14274,,False,False,9335,4939,False,False,https://data.insideairbnb.com/germany/be/berlin/2025-09-23/data/listings.csv.gz,b5783f9fbdc31a2b76cb19ee66921385228e4492fe681fa03957eb6925a78718
berlin,Germany,2025-12-27,2026-01-05,14470,,False,False,9370,5100,False,False,https://data.insideairbnb.com/germany/be/berlin/2025-12-27/data/listings.csv.gz,20634c530b7619db28e11b82bb6f205e2a7077ec73e9f052927ad6f4815c6b8f
berlin,Germany,2026-03-28,2026-03-28,5856,,True,True,5856,0,False,False,https://data.insideairbnb.com/germany/be/berlin/2026-03-28/data/listings.csv.gz,8b851fc9243b46f8becaaca197036ddf6aa150d4c078fb432dd9107bcd08a489
berlin,Germany,2026-06-26,2026-07-03,12776,,False,False,6658,6118,False,False,https://data.insideairbnb.com/germany/be/berlin/2026-06-26/data/listings.csv.gz,2952261ea249a5d5754981a5808c05a96c5ee5a1646390433766606647d7d198
bologna,Italy,2025-09-22,2025-10-08,4642,,False,False,4116,526,False,False,https://data.insideairbnb.com/italy/emilia-romagna/bologna/2025-09-22/data/listings.csv.gz,20c05801cbbc0d8fd3acdc4391248eb9ae0092afb7a3d0e6f2cd68488d5acb80
bologna,Italy,2026-03-27,2026-03-27,3736,,False,False,3736,0,False,False,https://data.insideairbnb.com/italy/emilia-romagna/bologna/2026-03-27/data/listings.csv.gz,3dfa82347d99f009cc7f4820668f7271d7f058ea62f23b38cf62601d3867df8f
bologna,Italy,2026-06-26,2026-07-03,4948,,False,False,4457,491,False,True,https://data.insideairbnb.com/italy/emilia-romagna/bologna/2026-06-26/data/listings.csv.gz,0917fd5d509be3613d82297e53df4f90e33de713477c9a693fcd073408200aa1
bordeaux,France,2025-09-18,2025-09-18,12252,,False,False,7814,4438,False,False,https://data.insideairbnb.com/france/nouvelle-aquitaine/bordeaux/2025-09-18/data/listings.csv.gz,66b7741d14aff88700174a437dc16b6df8debac82fdbab1f3186bdab623c2ff6
bordeaux,France,2025-12-22,2026-01-05,12180,,False,False,7835,4345,False,False,https://data.insideairbnb.com/france/nouvelle-aquitaine/bordeaux/2025-12-22/data/listings.csv.gz,d56a5d4e987c866a27dcf4a9583cd22e73b98863c5ffd91bbf393054bc5f7b65
bordeaux,France,2026-03-25,2026-03-25,6822,,False,False,6822,0,False,False,https://data.insideairbnb.com/france/nouvelle-aquitaine/bordeaux/2026-03-25/data/listings.csv.gz,f04cd3db522a5d08ecc6cf90a175b331fb79385e104b5f79ebcbc0a0408d05f3
bordeaux,France,2026-06-22,2026-07-02,12217,,False,False,8305,3912,False,False,https://data.insideairbnb.com/france/nouvelle-aquitaine/bordeaux/2026-06-22/data/listings.csv.gz,269df7a9cf9ab4b6add76cfad2f90f16f9f8b0d39e542633dab2cb6ed7e35f93
boston,United States,2025-09-23,2025-09-24,4419,,False,False,3552,867,False,False,https://data.insideairbnb.com/united-states/ma/boston/2025-09-23/data/listings.csv.gz,06c475083ca2429d0f4100fdbdd98317119a4354b496d25ba1a9910ee662b98b
boston,United States,2025-12-27,2026-01-05,3706,,False,False,3706,0,False,False,https://data.insideairbnb.com/united-states/ma/boston/2025-12-27/data/listings.csv.gz,f2ca39c3f524a59d3020d2297f92e04f1a7329c9ffda2ab5c5b52db2a31cbb59
boston,United States,2026-03-28,2026-03-28,1881,,True,True,1881,0,False,False,https://data.insideairbnb.com/united-states/ma/boston/2026-03-28/data/listings.csv.gz,3bc3f4d4c709039d0a0f94706c5a53970e63e08b125bf0184f73628c033fe5a8
boston,United States,2026-06-15,2026-07-06,4378,,False,False,3532,846,False,True,https://data.insideairbnb.com/united-states/ma/boston/2026-06-15/data/listings.csv.gz,cf72d109ae7da76987160db61fb2c069671bbfbe1cf1b27b8a97507ac6b2093b
bozeman,United States,2025-09-14,2025-09-14,583,,False,False,530,53,False,False,https://data.insideairbnb.com/united-states/mt/bozeman/2025-09-14/data/listings.csv.gz,6af666d79fe2ac4653c8621265e702adc07d9e2770c036c985adffeec4a743a3
bozeman,United States,2025-12-13,2025-12-13,604,,False,False,562,42,False,False,https://data.insideairbnb.com/united-states/mt/bozeman/2025-12-13/data/listings.csv.gz,68cce44531c91621b76a6d44136034eddfce6db2879eed871b7cd924874ee0a3
bozeman,United States,2026-03-21,2026-03-21,372,,False,False,372,0,False,False,https://data.insideairbnb.com/united-states/mt/bozeman/2026-03-21/data/listings.csv.gz,b2fe576412aea9738656c146735d6bf1a6cb570ddd9ab24dc1d6998ec87a116c
bozeman,United States,2026-06-19,2026-06-28,590,,False,False,531,59,False,False,https://data.insideairbnb.com/united-states/mt/bozeman/2026-06-19/data/listings.csv.gz,8186a388a4beb59f76706f8e529facd1af1a3de5c70aca677cf1973115b1bbeb
brisbane,Australia,2025-09-11,2025-09-11,5934,,False,False,5131,803,False,False,https://data.insideairbnb.com/australia/qld/brisbane/2025-09-11/data/listings.csv.gz,60c2deaf54fc975b100e6cb606a3df4fc793717bafe8393b93f7533c66e5d1b1
brisbane,Australia,2025-12-11,2025-12-12,6312,,False,False,5552,760,False,False,https://data.insideairbnb.com/australia/qld/brisbane/2025-12-11/data/listings.csv.gz,07fb9210eda336e2a1dade778d77046b74d8a3ed208a5890939fc3a67b9d4d15
brisbane,Australia,2026-03-19,2026-03-19,5720,,False,False,5039,681,False,False,https://data.insideairbnb.com/australia/qld/brisbane/2026-03-19/data/listings.csv.gz,44b2b3e05450b10ffe202a4a690fed239483bdbe100a1f7628d44c76dccee437
brisbane,Australia,2026-06-15,2026-06-24,6347,,False,False,5515,832,False,False,https://data.insideairbnb.com/australia/qld/brisbane/2026-06-15/data/listings.csv.gz,c191ee729dde9ecfe3481e0f549c9cbd6a6d76743e34e29cd672eb63af75fcdf
bristol,United Kingdom,2025-09-26,2025-09-26,2845,,False,False,2205,640,False,False,https://data.insideairbnb.com/united-kingdom/england/bristol/2025-09-26/data/listings.csv.gz,d001caf7c6d6649cb21f4ed47cfaada8918428584dbb669fd406df771b5d9662
bristol,United Kingdom,2025-12-28,2026-01-05,2939,,False,False,2292,647,False,False,https://data.insideairbnb.com/united-kingdom/england/bristol/2025-12-28/data/listings.csv.gz,fe073b468e800a0825b242e32984f4d41916f87f7cd9dc4bfa9c4503ba503e58
bristol,United Kingdom,2026-03-30,2026-03-31,1979,,False,False,1979,0,False,False,https://data.insideairbnb.com/united-kingdom/england/bristol/2026-03-30/data/listings.csv.gz,b088b6ec71b384500f6b7e38344bd72ab3c6ba0f1fc8828b7319b0953a32674c
bristol,United Kingdom,2026-06-29,2026-07-02,3023,,False,False,2396,627,False,True,https://data.insideairbnb.com/united-kingdom/england/bristol/2026-06-29/data/listings.csv.gz,1725729b2b803a21fdc0553c881769bdeecb3028322d974098bb88dcddbff376
broward-county,United States,2025-09-26,2025-09-28,16822,,False,False,11722,5100,False,False,https://data.insideairbnb.com/united-states/fl/broward-county/2025-09-26/data/listings.csv.gz,1cef0d3eda38265f22976acc38238795535d9c84bb947e2cce3cac87204e867d
broward-county,United States,2025-12-28,2026-01-05,16424,,False,False,11129,5295,False,False,https://data.insideairbnb.com/united-states/fl/broward-county/2025-12-28/data/listings.csv.gz,3300ede894177412f4d1f8ee2a8d0ea7d42da47c9ec6071a8395d0d659c762e3
broward-county,United States,2026-03-30,2026-04-02,9791,,False,False,9791,0,False,False,https://data.insideairbnb.com/united-states/fl/broward-county/2026-03-30/data/listings.csv.gz,c04f7a8a5a409b203bdb0e25f3cf81a63b92a83d7d999bfe95520b066a276f1b
broward-county,United States,2026-06-29,2026-07-03,17698,,False,False,16476,1222,False,True,https://data.insideairbnb.com/united-states/fl/broward-county/2026-06-29/data/listings.csv.gz,d1d852ea6b13d0fb33c82ef48bbddc83bd33c004bf957cebfe99cb1e04613ad7
brussels,Belgium,2025-09-23,2025-09-24,6131,,False,False,5094,1037,False,False,https://data.insideairbnb.com/belgium/bru/brussels/2025-09-23/data/listings.csv.gz,b5d04134b2fc770b0cc622b0c2c0796ce5275c4b8234bc06ea37bc764f798ec0
brussels,Belgium,2025-12-27,2026-01-05,5873,,False,False,4856,1017,False,False,https://data.insideairbnb.com/belgium/bru/brussels/2025-12-27/data/listings.csv.gz,a602cfa8781acea1d636341f30f8bb5c50236d61fcf6301ef23faefa01764a9a
brussels,Belgium,2026-03-29,2026-03-29,3737,,False,False,3737,0,False,False,https://data.insideairbnb.com/belgium/bru/brussels/2026-03-29/data/listings.csv.gz,8016a5892194788f24a359401f3b7145f76ab6f093dd3c6c4ca608568b9f970e
brussels,Belgium,2026-06-27,2026-07-02,5078,,False,False,4052,1026,False,False,https://data.insideairbnb.com/belgium/bru/brussels/2026-06-27/data/listings.csv.gz,bfc168a85820fad3f3cd03c16bc0146dfe9c333260b692634b246bb1b4cfc2d8
budapest,Hungary,2025-09-25,2025-09-25,12391,,False,False,11589,802,False,False,https://data.insideairbnb.com/hungary/k%C3%B6z%C3%A9p-magyarorsz%C3%A1g/budapest/2025-09-25/data/listings.csv.gz,c96d81041ef6dba03d12f2050e7faf82ed36fdf6f5c10bac2209931479323b84
budapest,Hungary,2025-12-28,2026-01-05,10872,,False,False,10872,0,False,False,https://data.insideairbnb.com/hungary/k%C3%B6z%C3%A9p-magyarorsz%C3%A1g/budapest/2025-12-28/data/listings.csv.gz,d7afd5c0b0fd9a008b93b7e443760880eaa399a5d172e5a90a06e7052054bc58
budapest,Hungary,2026-03-29,2026-03-30,9510,,False,False,9510,0,False,False,https://data.insideairbnb.com/hungary/k%C3%B6z%C3%A9p-magyarorsz%C3%A1g/budapest/2026-03-29/data/listings.csv.gz,e03fa6521263d3f9fa56d3fb930892506e97a20cb1c5aec239aa1105c6c11800
budapest,Hungary,2026-06-28,2026-07-02,11454,,False,False,10333,1121,False,False,https://data.insideairbnb.com/hungary/k%C3%B6z%C3%A9p-magyarorsz%C3%A1g/budapest/2026-06-28/data/listings.csv.gz,14a28b78cef2eed3154fa69fab8c8c8ef93a7d6e66c2ad2e57f3d0040a7368da
buenos-aires,Argentina,2025-09-27,2025-09-28,26945,,False,False,26945,0,False,False,https://data.insideairbnb.com/argentina/ciudad-aut%C3%B3noma-de-buenos-aires/buenos-aires/2025-09-27/data/listings.csv.gz,85a413ccbb5901105013d77c42bc9c9839e555f22b1d6ea8d5760af70d80eacb
buenos-aires,Argentina,2025-12-29,2026-01-05,27015,,False,False,27015,0,False,False,https://data.insideairbnb.com/argentina/ciudad-aut%C3%B3noma-de-buenos-aires/buenos-aires/2025-12-29/data/listings.csv.gz,54ae3fb7feb0fd5bdc1e693a4f4e2069241738f3991b6097b39f0b26ce99906d
buenos-aires,Argentina,2026-03-30,2026-04-06,28019,,False,False,24216,3803,False,False,https://data.insideairbnb.com/argentina/ciudad-aut%C3%B3noma-de-buenos-aires/buenos-aires/2026-03-30/data/listings.csv.gz,dac04084496bb446ab8687d6c4535bbe8574504ca31d92604758d0685dbd4951
buenos-aires,Argentina,2026-06-29,2026-07-02,29685,,False,False,27682,2003,False,False,https://data.insideairbnb.com/argentina/ciudad-aut%C3%B3noma-de-buenos-aires/buenos-aires/2026-06-29/data/listings.csv.gz,7c1e7d739a577279d8559960d5341e296bf329117e8f5e43f30c52a0927d6c5d
cambridge,United States,2025-09-28,2025-09-28,1358,,False,False,1065,293,False,False,https://data.insideairbnb.com/united-states/ma/cambridge/2025-09-28/data/listings.csv.gz,2a81e1f200a2899052d3cf8d05ad75150f60bf259b237a1b8bd52101b0e1452b
cambridge,United States,2025-12-29,2026-01-05,1032,,False,False,1032,0,False,False,https://data.insideairbnb.com/united-states/ma/cambridge/2025-12-29/data/listings.csv.gz,fc00463aa387fdc67033e76d9709e4c30f9700e48fb7976796b9a37a1b45a8f3
cambridge,United States,2026-03-30,2026-04-02,618,,True,True,618,0,False,False,https://data.insideairbnb.com/united-states/ma/cambridge/2026-03-30/data/listings.csv.gz,b4a6d97e839c9ed3862837dbc7f471b914728004f2cccb4e77e0d63a5aed83ea
cambridge,United States,2026-06-29,2026-07-02,1438,,False,False,1090,348,False,True,https://data.insideairbnb.com/united-states/ma/cambridge/2026-06-29/data/listings.csv.gz,7d8b7fe4202a934219ac7a143c6f7962f3ebb97e1d4b55542e9d8941b868931f
cape-town,South Africa,2025-09-28,2025-09-29,26877,,False,False,22671,4206,False,False,https://data.insideairbnb.com/south-africa/wc/cape-town/2025-09-28/data/listings.csv.gz,05b36f48642875c2ed5572922fdbd729f997ccad0f578c8f72d645eb59a27d0f
cape-town,South Africa,2025-12-29,2026-01-05,23965,,False,False,23965,0,False,False,https://data.insideairbnb.com/south-africa/wc/cape-town/2025-12-29/data/listings.csv.gz,dd614004330aa1175542994cb74ff8f7bfe998af154416347f018d373f000cd9
cape-town,South Africa,2026-03-30,2026-04-03,21900,,False,False,21900,0,False,False,https://data.insideairbnb.com/south-africa/wc/cape-town/2026-03-30/data/listings.csv.gz,9acb093d4d7e339c13de868998fa07f9dd54110d704c79fba8c19efd09a0f719
cape-town,South Africa,2026-06-29,2026-07-03,27381,,False,False,24388,2993,False,True,https://data.insideairbnb.com/south-africa/wc/cape-town/2026-06-29/data/listings.csv.gz,2dbbbc7a4ac85a9810f3480bfb49dafa5037d6b6f7364f57855c00a8d73f37fa
