quarter,year,qn,period_end,pre_ipo,revenue,cor_gaap,ops_gaap,pd_gaap,sm_gaap,ga_gaap,restr_gaap,total_costs,op_income,interest_income,interest_expense,other_income_expense,nonop_ex_interest_income,pretax_income,tax_provision,net_income,eps_basic,eps_diluted,shares_basic_m,shares_diluted_m,effective_tax_rate_pct,sbc_ops,sbc_pd,sbc_sm,sbc_ga,sbc_restr,sbc_total_footnote,sbc_total_is,sbc_total_xbrl,sbc_recon,sbc_footnote_minus_recon,cor_cash,ops_cash,pd_cash,sm_cash,ga_cash,ga_cash_ex_lodging,total_cash_costs,adj_cost_total,da,ipo_settlement,acq_impacts,lodging_tax_reserves,restr_recon,other_addbacks_total,adj_ebitda_reported,adj_ebitda_rebuilt,rebuild_gap,adj_ebitda_margin_pct,op_margin_pct,net_margin_pct,cfo,cfo_xbrl,capex,capex_xbrl,fcf_reported,fcf_check_gap,fcf_margin_pct,change_unearned_fees,change_unearned_fees_letter,change_funds_payable,change_funds_receivable_xbrl,da_cashflow,sbc_cashflow,buybacks,buybacks_cash,rsu_tax_withholding,income_taxes_paid,cash_and_equivalents,short_term_investments,restricted_cash,cash_and_investments_total,funds_held_on_behalf,unearned_fees_balance,long_term_debt_noncurrent,long_term_debt_current,long_term_debt_total,nights_m,gbv_busd,adr_usd,revenue_per_night_usd,take_rate_pct,cor_cash_pct_gbv,cor_gaap_pct_rev,ops_gaap_pct_rev,pd_gaap_pct_rev,sm_gaap_pct_rev,ga_gaap_pct_rev,sbc_pct_rev,cor_cash_pct_rev,ops_cash_pct_rev,pd_cash_pct_rev,sm_cash_pct_rev,ga_cash_pct_rev,cor_cash_per_night_usd,ops_cash_per_night_usd,pd_cash_per_night_usd,sm_cash_per_night_usd,ga_cash_per_night_usd,adj_ebitda_per_night_usd,rev_na,rev_emea,rev_latam,rev_apac,rev_us,rev_non_us,revenue_yoy_pct,nights_m_yoy_pct,gbv_busd_yoy_pct,adr_usd_yoy_pct,revenue_per_night_usd_yoy_pct,cor_gaap_yoy_pct,ops_gaap_yoy_pct,pd_gaap_yoy_pct,sm_gaap_yoy_pct,ga_gaap_yoy_pct,cor_cash_yoy_pct,ops_cash_yoy_pct,pd_cash_yoy_pct,sm_cash_yoy_pct,ga_cash_yoy_pct,adj_ebitda_reported_yoy_pct,adj_ebitda_margin_yoy_pp,sbc_total_is_yoy_pct,fcf_reported_yoy_pct,recon_n_vintages,recon_latest_letter,other_includes_interest_expense,cfo_restated,adj_ebitda_reported_restated,restatement_notes,net_income_letter,tax_provision_letter,interest_expense_letter,other_income_expense_letter,interest_income_letter
1Q18,2018,1,2018-03-31,True,642.840,202.845,127.789,122.893,231.977,92.809,0.000,778.313,-135.473,10.013,5.083,-1.651,-6.734,-132.194,14.036,-146.230,,,,,-10.620,1.084,9.934,2.958,-1.548,0.000,12.428,12.428,,12.428,0.000,202.845,126.705,112.959,229.019,94.357,88.226,765.885,737.923,21.831,0.000,0.000,6.131,0.000,6.131,-95.083,-95.083,0.000,-14.790,-21.070,-22.750,319.233,,31.964,,287.269,0.000,44.690,,,,,,,0.000,,,,,,,,,,,,,,,,,,,31.550,19.880,19.120,36.090,14.440,1.930,31.550,19.710,17.570,35.630,14.680,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,424B4,,,,,-146.230,14.036,5.083,-1.651,10.013
2Q18,2018,2,2018-06-30,True,903.431,218.252,153.877,154.397,263.860,101.680,0.000,892.066,11.365,16.029,5.653,0.166,-5.487,21.907,11.693,10.214,,,,,53.380,0.025,7.894,3.085,2.357,0.000,13.361,13.361,,13.361,0.000,218.252,153.852,146.503,260.775,99.323,94.525,878.705,853.974,19.933,0.000,0.000,4.798,0.000,4.798,49.457,49.457,0.000,5.470,1.260,1.130,282.253,,14.142,,268.111,0.000,29.680,,,,,,,0.000,,,,,,,,,,,,,,,,,,,24.160,17.030,17.090,29.210,11.250,1.480,24.160,17.030,16.220,28.860,10.990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,424B4,,,,,10.214,11.693,5.653,0.166,16.029
3Q18,2018,3,2018-09-30,True,1265.127,227.283,170.037,141.978,306.374,98.177,0.000,943.849,321.278,19.711,4.948,-5.724,-10.672,330.317,-7.579,337.896,,,,,-2.290,0.029,7.927,3.059,2.385,0.000,13.400,13.400,,13.400,0.000,227.283,170.008,134.051,303.315,95.792,90.651,930.449,905.122,20.186,0.000,0.000,5.141,0.000,5.141,360.005,360.005,-0.000,28.460,25.390,26.710,96.229,,21.314,,74.915,-0.000,5.920,,,,,,,0.000,,,,,,,,,,,,,,,,,,,17.970,13.440,11.220,24.220,7.760,1.060,17.970,13.440,10.600,23.980,7.570,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,424B4,,,,,337.896,-7.579,4.948,-5.724,19.711
4Q18,2018,4,2018-12-31,True,840.587,215.652,157.499,159.925,299.116,186.821,0.000,1019.013,-178.426,21.040,10.459,-5.152,-15.611,-172.997,45.743,-218.740,,,,,-26.440,0.830,8.140,3.363,2.371,0.000,14.704,14.704,,14.704,0.000,215.652,156.669,151.785,295.753,184.450,184.933,1004.309,984.341,20.451,0.000,0.000,-0.483,0.000,-0.483,-143.754,-143.754,-0.000,-17.100,-21.230,-26.020,-102.158,,23.204,,-125.362,0.000,-14.910,,,,,,,0.000,,,,,,,,,,,,,,,,,,,25.650,18.740,19.030,35.580,22.230,1.750,25.650,18.640,18.060,35.180,21.940,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,424B4,,,,,-218.740,45.743,10.459,-5.152,21.040
1Q19,2019,1,2019-03-31,True,839.004,280.568,166.755,185.101,366.546,146.013,0.000,1144.983,-305.979,22.304,1.818,6.531,4.713,-278.962,13.065,-292.027,,,,,-4.680,0.031,6.711,4.793,2.528,0.000,14.063,14.063,,14.000,0.063,280.568,166.724,178.390,361.753,143.485,120.485,1130.920,1086.904,21.000,0.000,0.000,23.000,0.000,23.000,-247.900,-247.979,-0.079,-29.550,-36.470,-34.810,314.000,,37.000,,277.000,0.000,33.020,,,,,,,0.000,,,,,,,,,,,,,81.300,10.000,122.360,10.320,8.390,2.806,33.440,19.880,22.060,43.690,17.400,1.680,33.440,19.870,21.260,43.120,17.100,3.451,2.051,2.194,4.450,1.765,-3.049,,,,,,,30.520,,,,,38.320,30.490,50.620,58.010,57.330,38.320,31.580,57.920,57.960,52.070,160.720,-14.760,13.160,-3.570,11,1Q22,,,,,-292.000,13.100,1.800,6.500,22.300
2Q19,2019,2,2019-06-30,True,1213.678,313.460,210.569,232.327,388.246,169.231,0.000,1313.833,-100.155,24.367,2.450,6.284,3.834,-71.954,225.470,-297.424,,,,,-313.350,0.124,7.995,6.197,3.733,0.000,18.049,18.049,,18.000,0.049,313.460,210.445,224.332,382.049,165.498,149.498,1295.784,1255.678,24.000,0.000,0.000,16.000,0.000,16.000,-42.000,-42.155,-0.155,-3.460,-8.250,-24.510,152.000,,30.000,,122.000,0.000,10.050,,,,,,,0.000,,,,,,,,,,,,,83.900,9.800,117.140,14.466,12.384,3.199,25.830,17.350,19.140,31.990,13.940,1.490,25.830,17.340,18.480,31.480,13.640,3.736,2.508,2.674,4.554,1.973,-0.501,,,,,,,34.340,,,,,43.620,36.840,50.470,47.140,66.430,43.620,36.780,53.120,46.510,66.630,-184.920,-8.930,35.090,-54.500,12,4Q23,,,,,-297.000,226.000,2.000,6.000,25.000
3Q19,2019,3,2019-09-30,True,1645.761,308.667,223.464,276.368,429.714,175.018,0.000,1413.231,232.530,21.990,2.533,29.315,26.782,281.302,14.652,266.650,,,,,5.210,0.128,30.285,6.084,3.701,0.000,40.198,40.198,,40.000,0.198,308.667,223.336,246.083,423.630,171.317,161.317,1373.033,1332.761,31.000,0.000,0.000,10.000,0.000,10.000,313.000,313.530,0.530,19.020,14.130,16.200,-43.000,,32.000,,-75.000,0.000,-4.560,,,,,,,0.000,,,,,,,,,,,,,85.900,9.700,112.390,19.159,16.967,3.182,18.760,13.580,16.790,26.110,10.630,2.440,18.760,13.570,14.950,25.740,10.410,3.593,2.600,2.865,4.932,1.994,3.644,,,,,,,30.090,,,,,35.810,31.420,94.660,40.260,78.270,35.810,31.370,83.570,39.670,78.840,-13.060,-9.440,199.990,-200.110,11,4Q23,,True,,tax_provision_letter: first 14.7 (424B4) -> latest 14.0 (4Q23); cfo: first -46.6 (424B4) -> latest -43.0 (4Q23),266.000,14.000,3.000,29.000,22.000
4Q19,2019,4,2019-12-31,True,1106.796,293.618,214.286,282.899,437.013,206.919,0.000,1434.735,-327.939,17.241,3.167,-28.224,-31.391,-342.089,9.449,-351.538,-1.340,-1.340,262.368,262.368,-2.760,0.534,11.641,6.845,6.217,0.000,25.237,25.237,,26.000,-0.763,293.618,213.752,271.258,430.168,200.702,212.702,1409.498,1382.796,38.000,0.000,0.000,-12.000,0.000,-12.000,-276.000,-275.939,0.061,-24.940,-29.630,-31.760,-190.000,,26.000,,-216.000,0.000,-19.520,,,,,,,0.000,,,,2013.547,1060.726,0.115,3074.388,3145.457,674.788,0.000,0.000,0.000,75.800,8.500,112.630,14.602,13.021,3.454,26.530,19.360,25.560,39.480,18.700,2.280,26.530,19.310,24.510,38.870,18.130,3.874,2.820,3.579,5.675,2.648,-3.641,,,,,,,31.670,,,,,36.150,36.060,76.890,46.100,10.760,36.150,36.440,78.710,45.450,8.810,91.990,-7.840,71.630,72.300,11,4Q23,,True,,sbc_recon: first 25.2 (424B4) -> latest 26.0 (4Q23); cfo: first -196.4 (424B4) -> latest -190.0 (4Q23),-351.000,10.000,3.000,-28.000,18.000
1Q20,2020,1,2020-03-31,True,841.830,277.772,221.787,258.819,317.179,91.762,0.000,1167.319,-325.489,13.649,-1.510,-46.760,-45.250,-357.090,-16.485,-340.605,-1.300,-1.300,262.509,262.509,4.620,0.949,22.436,6.048,12.193,0.000,41.626,41.626,,41.600,0.026,277.772,220.838,236.383,311.131,79.569,163.869,1125.693,1176.130,33.900,0.000,0.000,-84.300,0.000,-84.300,-334.300,-334.289,0.011,-39.710,-38.660,-40.460,-562.900,-569.830,15.700,15.667,-578.600,0.000,-68.730,-16.944,-16.944,-339.427,339.427,33.872,41.626,0.000,,0.000,2.921,,,,,,,,,,57.100,6.800,118.450,14.743,12.380,4.085,33.000,26.350,30.740,37.680,10.900,4.940,33.000,26.230,28.080,36.960,9.450,4.865,3.868,4.140,5.449,1.394,-5.855,,,,,,,0.340,-29.770,-32.000,-3.200,42.860,-1.000,33.000,39.830,-13.470,-37.150,-1.000,32.460,32.510,-13.990,-44.550,34.850,-10.160,196.000,-308.880,8,1Q22,,True,,cfo: first -569.8 (424B4) -> latest -562.9 (2Q22),-340.600,-16.500,-1.500,-46.800,13.700
2Q20,2020,2,2020-06-30,True,334.774,161.198,160.476,217.938,114.837,149.299,114.241,917.989,-583.215,5.856,49.191,-12.848,-62.039,-639.398,-63.810,-575.588,-2.180,-2.180,263.517,263.517,9.980,0.855,20.716,4.387,13.608,-1.776,37.790,37.790,,39.600,-1.810,161.198,159.621,197.222,110.450,135.691,133.491,764.182,732.074,29.900,0.000,0.000,2.200,114.200,2.200,-397.300,-397.315,-0.015,-118.680,-174.210,-171.930,-256.900,-256.462,6.200,6.186,-263.100,0.000,-78.590,36.091,36.091,615.174,-615.174,29.928,37.790,0.000,,,2.424,,,,,,,,,,28.000,3.200,114.180,11.956,10.462,5.037,48.150,47.940,65.100,34.300,44.600,11.290,48.150,47.680,58.910,32.990,40.530,5.757,5.701,7.044,3.945,4.846,-14.189,,,,,,,-72.420,-66.630,-67.350,-2.530,-17.350,-48.570,-23.790,-6.190,-70.420,-11.780,-48.570,-24.150,-12.080,-71.090,-18.010,845.950,-115.220,109.370,-315.660,8,1Q22,,,,,-575.600,-63.800,49.200,-12.800,5.800
