register_id,vendor,period,metric,value,unit,n_estimates,as_of_timestamp,url,source_path,role,pit_usable,vendor_attributed,note
LSEG-AT_PRINT-2020Q4-adj_ebitda-20210224,LSEG,2020Q4,adj_ebitda,-122.079,musd,26.0,2021-02-21,lseg://desktop/get_data/TR.EBITDAMean,data/processed/margin_build/03_consensus_pit/03_consensus_at_dates.csv,at_print,True,True,WS03 LSEG desktop pull 2026-09-13; row date 2021-02-24 (printed_q_at_print); field last changed 2021-02-21; $ fields in USD m; EBITDA is the Street adjusted basis
LSEG-AT_PRINT-2020Q4-revenue-20210224,LSEG,2020Q4,revenue,747.59,musd,28.0,2021-02-21,lseg://desktop/get_data/TR.RevenueMean,data/processed/margin_build/03_consensus_pit/03_consensus_at_dates.csv,at_print,True,True,WS03 LSEG desktop pull 2026-09-13; row date 2021-02-24 (printed_q_at_print); field last changed 2021-02-21; $ fields in USD m; EBITDA is the Street adjusted basis
LSEG-AT_PRINT-2020Q4-eps_adj-20210224,LSEG,2020Q4,eps_adj,-9.158,usd,25.0,2021-02-21,lseg://desktop/get_data/TR.EPSMean,data/processed/margin_build/03_consensus_pit/03_consensus_at_dates.csv,at_print,True,True,WS03 LSEG desktop pull 2026-09-13; row date 2021-02-24 (printed_q_at_print); field last changed 2021-02-21; $ fields in USD m; EBITDA is the Street adjusted basis
LSEG-AT_PRINT-2020Q4-free_cash_flow-20210224,LSEG,2020Q4,free_cash_flow,-656.56,musd,,2021-02-22,lseg://desktop/get_data/TR.FCFMean,data/processed/margin_build/03_consensus_pit/03_consensus_at_dates.csv,at_print,True,True,WS03 LSEG desktop pull 2026-09-13; row date 2021-02-24 (printed_q_at_print); field last changed 2021-02-22; $ fields in USD m; EBITDA is the Street adjusted basis
LSEG-AT_PRINT-2020Q4-operating_income-20210224,LSEG,2020Q4,operating_income,-2904.5,musd,25.0,2021-02-21,lseg://desktop/get_data/TR.EBITMean,data/processed/margin_build/03_consensus_pit/03_consensus_at_dates.csv,at_print,True,True,WS03 LSEG desktop pull 2026-09-13; row date 2021-02-24 (printed_q_at_print); field last changed 2021-02-21; $ fields in USD m; EBITDA is the Street adjusted basis
LSEG-PRE_GUIDE-2021Q1-adj_ebitda-20210224,LSEG,2021Q1,adj_ebitda,-402.924,musd,24.0,2021-02-21,lseg://desktop/get_data/TR.EBITDAMean,data/processed/margin_build/03_consensus_pit/03_consensus_at_dates.csv,pre_guide,True,True,WS03 LSEG desktop pull 2026-09-13; row date 2021-02-24 (guided_q_pre_guide); field last changed 2021-02-21; $ fields in USD m; EBITDA is the Street adjusted basis
LSEG-PRE_GUIDE-2021Q1-revenue-20210224,LSEG,2021Q1,revenue,591.68,musd,26.0,2021-02-21,lseg://desktop/get_data/TR.RevenueMean,data/processed/margin_build/03_consensus_pit/03_consensus_at_dates.csv,pre_guide,True,True,WS03 LSEG desktop pull 2026-09-13; row date 2021-02-24 (guided_q_pre_guide); field last changed 2021-02-21; $ fields in USD m; EBITDA is the Street adjusted basis
LSEG-PRE_GUIDE-2021Q1-eps_adj-20210224,LSEG,2021Q1,eps_adj,-1.209,usd,24.0,2021-02-21,lseg://desktop/get_data/TR.EPSMean,data/processed/margin_build/03_consensus_pit/03_consensus_at_dates.csv,pre_guide,True,True,WS03 LSEG desktop pull 2026-09-13; row date 2021-02-24 (guided_q_pre_guide); field last changed 2021-02-21; $ fields in USD m; EBITDA is the Street adjusted basis
LSEG-PRE_GUIDE-2021Q1-free_cash_flow-20210224,LSEG,2021Q1,free_cash_flow,-538.511,musd,,2021-02-22,lseg://desktop/get_data/TR.FCFMean,data/processed/margin_build/03_consensus_pit/03_consensus_at_dates.csv,pre_guide,True,True,WS03 LSEG desktop pull 2026-09-13; row date 2021-02-24 (guided_q_pre_guide); field last changed 2021-02-22; $ fields in USD m; EBITDA is the Street adjusted basis
LSEG-PRE_GUIDE-2021Q1-operating_income-20210224,LSEG,2021Q1,operating_income,-630.978,musd,,2021-02-21,lseg://desktop/get_data/TR.EBITMean,data/processed/margin_build/03_consensus_pit/03_consensus_at_dates.csv,pre_guide,True,True,WS03 LSEG desktop pull 2026-09-13; row date 2021-02-24 (guided_q_pre_guide); field last changed 2021-02-21; $ fields in USD m; EBITDA is the Street adjusted basis
LSEG-PRE_GUIDE-FY2021-adj_ebitda-20210224,LSEG,FY2021,adj_ebitda,31.165,musd,33.0,2021-02-21,lseg://desktop/get_data/TR.EBITDAMean,data/processed/margin_build/03_consensus_pit/03_consensus_at_dates.csv,pre_guide,True,True,WS03 LSEG desktop pull 2026-09-13; row date 2021-02-24 (fy_current_pre_guide); field last changed 2021-02-21; $ fields in USD m; EBITDA is the Street adjusted basis
