slice,n,margin_surprise_mean_pts_ew,margin_surprise_sd_pts_ew,margin_surprise_mean_pts_rw,margin_surprise_sd_pts_rw,ebitda_surprise_mean_pct_ew,ebitda_surprise_sd_pct_ew,ebitda_surprise_mean_pct_rw,ebitda_surprise_mean_musd_ew,revenue_surprise_mean_pct_ew,revenue_surprise_sd_pct_ew,share_ebitda_beats,share_margin_beats,mean_abs_margin_surprise_pts,median_margin_surprise_pts
all,22,5.235313347373093,9.298413061773712,1.8103298963378114,3.386355123253107,42.08435287310087,94.12402825853765,11.760622256157546,94.36032272727272,3.430762579166144,5.122876714581567,1.0,0.9545454545454546,5.24161879887792,2.537842799468983
W1_2023Q1_2026Q2,14,1.8231653843785358,1.4067135277329397,1.3615589948842315,1.2711735696326056,8.91900902979113,8.109191084938805,7.151920616432405,60.26563928571428,1.6578868803417053,1.1111713178165716,1.0,0.9285714285714286,1.8330739510289789,1.9284224873232638
W2_2024Q1_2026Q2,10,1.7048081233184653,1.4113204351311288,1.257713591987183,1.2371525769776444,9.180546746562655,9.018750201652523,6.956177695022539,56.91554699999999,1.5766977909627335,1.2300390437154851,1.0,1.0,1.7048081233184653,1.3745550475588448
quarter_of_year_Q1,6,10.191325268039332,16.961739950567242,2.5419579661355804,6.12255084859517,57.59508951675078,79.82753913616449,19.28461585327126,107.89164166666666,6.089270347238391,8.945326853382268,1.0,0.8333333333333334,10.214445256890366,3.1247957066707217
quarter_of_year_Q2,6,4.135630314975783,4.659370450195786,1.4349238485228357,1.9565704826777135,76.48885646238236,164.73594846135686,11.670498532907562,86.86404666666665,2.0192265287846465,2.339810186588009,1.0,1.0,4.135630314975783,2.2905582761463315
quarter_of_year_Q3,5,3.1631932197729453,3.573809411489748,1.3822997993122192,2.020016571023838,10.15358890471987,13.868877742073963,3.7993305466351983,110.72921800000002,2.4399849858318605,3.761161441597739,1.0,1.0,3.1631932197729453,2.1546370097788454
quarter_of_year_Q4,5,2.6798388090505263,1.4816513581664257,1.8256356792390944,1.9452593938411638,14.11682856196413,6.528064402799171,9.492851186221374,70.749376,2.92517411127153,1.2768158320714131,1.0,1.0,2.6798388090505263,3.242340986649115
year_2021,4,17.22017012676553,18.37311983775908,14.564671285363056,17.03263145995185,137.63629052822137,185.26894289654862,124.1869961080588,204.02802000000003,11.198810814390049,8.786621347067593,1.0,1.0,17.22017012676553,11.113964832655618
year_2022,4,5.192974438461607,3.6367452589784963,4.69014372266287,3.402711684097244,62.6111186695644,97.65949722536011,50.613045872043365,104.02401750000001,1.867779289827776,1.66440383038471,1.0,1.0,5.192974438461607,4.477551994305635
year_2023,4,2.119058537028711,1.5607940884074731,2.3287448064269705,1.465098318536399,8.265164737862321,6.3359286263105306,8.97501312718359,68.64087,1.8608596037891356,0.8570198827370217,1.0,0.75,2.1537385203052617,2.516772798601913
year_2024,4,2.8288574159218602,1.3719348961660731,2.8693660214223065,1.3316924889690251,14.00264319654477,12.157413132556142,13.359939224815257,85.04888249999999,1.7894137925774443,1.7494021778236284,1.0,1.0,2.8288574159218602,3.1594814487613476
year_2025,4,1.0673147809695909,1.1057083326804038,0.897602226561976,1.0697615287311757,6.483876863423909,6.321160632477035,5.597326570056026,40.402724999999975,1.3268921591413823,0.9749996335513065,1.0,1.0,1.0673147809695909,0.9297448099592049
year_2026,2,0.7316962228094255,0.19648834557610226,0.7196881749308414,0.19575311879897353,4.929693612875919,3.243967338308043,4.731444118735419,33.67452000000003,1.650877051376015,1.0687650427018374,1.0,1.0,0.7316962228094255,0.7316962228094255
