fy_sentence_candidate,fy_level_pct,q3_margin_assumed_pct,nine_month_margin_pct,nine_month_margin_yoy_pts,q4_revenue_guide_mid_musd,q4_revenue_source,implied_fy_revenue_musd,implied_q4_adj_ebitda_musd,implied_q4_margin_pct,implied_q4_margin_yoy_pts
at least 35.5% (unchanged floor),35.5,49.0,37.2,0.1,3059.0,bridge v3 implied guide mid (00_BRIEF),14075.0,899.0,29.39,1.09
at least 35.5% (unchanged floor),35.5,49.5,37.41,0.31,3059.0,bridge v3 implied guide mid (00_BRIEF),14075.0,875.0,28.61,0.32
at least 35.5% (unchanged floor),35.5,50.1,37.67,0.57,3059.0,bridge v3 implied guide mid (00_BRIEF),14075.0,847.0,27.69,-0.61
approximately 35.5%,35.5,49.0,37.2,0.1,3059.0,bridge v3 implied guide mid (00_BRIEF),14075.0,899.0,29.39,1.09
approximately 35.5%,35.5,49.5,37.41,0.31,3059.0,bridge v3 implied guide mid (00_BRIEF),14075.0,875.0,28.61,0.32
approximately 35.5%,35.5,50.1,37.67,0.57,3059.0,bridge v3 implied guide mid (00_BRIEF),14075.0,847.0,27.69,-0.61
approximately 36%,36.0,49.0,37.2,0.1,3059.0,bridge v3 implied guide mid (00_BRIEF),14075.0,969.0,31.69,3.39
approximately 36%,36.0,49.5,37.41,0.31,3059.0,bridge v3 implied guide mid (00_BRIEF),14075.0,946.0,30.91,2.62
approximately 36%,36.0,50.1,37.67,0.57,3059.0,bridge v3 implied guide mid (00_BRIEF),14075.0,917.0,29.99,1.69
at least 36%,36.0,49.0,37.2,0.1,3059.0,bridge v3 implied guide mid (00_BRIEF),14075.0,969.0,31.69,3.39
at least 36%,36.0,49.5,37.41,0.31,3059.0,bridge v3 implied guide mid (00_BRIEF),14075.0,946.0,30.91,2.62
at least 36%,36.0,50.1,37.67,0.57,3059.0,bridge v3 implied guide mid (00_BRIEF),14075.0,917.0,29.99,1.69
approximately 36.5%,36.5,49.0,37.2,0.1,3059.0,bridge v3 implied guide mid (00_BRIEF),14075.0,1040.0,33.99,5.69
approximately 36.5%,36.5,49.5,37.41,0.31,3059.0,bridge v3 implied guide mid (00_BRIEF),14075.0,1016.0,33.21,4.92
approximately 36.5%,36.5,50.1,37.67,0.57,3059.0,bridge v3 implied guide mid (00_BRIEF),14075.0,988.0,32.29,3.99
at least 35.5% (unchanged floor),35.5,49.0,37.2,0.1,2980.0,4Q25 x 1.073 (guide at +7-8%),13996.0,871.0,29.22,0.93
at least 35.5% (unchanged floor),35.5,49.5,37.41,0.31,2980.0,4Q25 x 1.073 (guide at +7-8%),13996.0,847.0,28.43,0.14
at least 35.5% (unchanged floor),35.5,50.1,37.67,0.57,2980.0,4Q25 x 1.073 (guide at +7-8%),13996.0,819.0,27.48,-0.82
approximately 35.5%,35.5,49.0,37.2,0.1,2980.0,4Q25 x 1.073 (guide at +7-8%),13996.0,871.0,29.22,0.93
approximately 35.5%,35.5,49.5,37.41,0.31,2980.0,4Q25 x 1.073 (guide at +7-8%),13996.0,847.0,28.43,0.14
approximately 35.5%,35.5,50.1,37.67,0.57,2980.0,4Q25 x 1.073 (guide at +7-8%),13996.0,819.0,27.48,-0.82
approximately 36%,36.0,49.0,37.2,0.1,2980.0,4Q25 x 1.073 (guide at +7-8%),13996.0,941.0,31.57,3.28
approximately 36%,36.0,49.5,37.41,0.31,2980.0,4Q25 x 1.073 (guide at +7-8%),13996.0,917.0,30.78,2.49
approximately 36%,36.0,50.1,37.67,0.57,2980.0,4Q25 x 1.073 (guide at +7-8%),13996.0,889.0,29.83,1.53
at least 36%,36.0,49.0,37.2,0.1,2980.0,4Q25 x 1.073 (guide at +7-8%),13996.0,941.0,31.57,3.28
at least 36%,36.0,49.5,37.41,0.31,2980.0,4Q25 x 1.073 (guide at +7-8%),13996.0,917.0,30.78,2.49
at least 36%,36.0,50.1,37.67,0.57,2980.0,4Q25 x 1.073 (guide at +7-8%),13996.0,889.0,29.83,1.53
approximately 36.5%,36.5,49.0,37.2,0.1,2980.0,4Q25 x 1.073 (guide at +7-8%),13996.0,1011.0,33.92,5.63
approximately 36.5%,36.5,49.5,37.41,0.31,2980.0,4Q25 x 1.073 (guide at +7-8%),13996.0,987.0,33.13,4.83
approximately 36.5%,36.5,50.1,37.67,0.57,2980.0,4Q25 x 1.073 (guide at +7-8%),13996.0,959.0,32.17,3.88
at least 35.5% (unchanged floor),35.5,49.0,37.2,0.1,3178.0,bridge v3 revenue forecast,14194.0,941.0,29.62,1.32
at least 35.5% (unchanged floor),35.5,49.5,37.41,0.31,3178.0,bridge v3 revenue forecast,14194.0,918.0,28.87,0.58
at least 35.5% (unchanged floor),35.5,50.1,37.67,0.57,3178.0,bridge v3 revenue forecast,14194.0,889.0,27.98,-0.32
approximately 35.5%,35.5,49.0,37.2,0.1,3178.0,bridge v3 revenue forecast,14194.0,941.0,29.62,1.32
approximately 35.5%,35.5,49.5,37.41,0.31,3178.0,bridge v3 revenue forecast,14194.0,918.0,28.87,0.58
