event_type,speaker,n_closed,kept,partly,missed,kept_rate_pct
conference,ALL,23,21,1,1,91.0
conference,Ellie Mertz,14,13,1,0,93.0
conference,Brian Chesky,9,8,0,1,89.0
earnings_call,ALL,126,89,20,17,71.0
earnings_call,Dave Stephenson,59,36,16,7,61.0
earnings_call,Ellie Mertz,45,39,2,4,87.0
earnings_call,Brian Chesky,22,14,2,6,64.0
filing,ALL,20,19,0,1,95.0
filing,10-K,10,10,0,0,100.0
filing,10-Q,7,6,0,1,86.0
filing,8-K Item 1.01,2,2,0,0,100.0
filing,8-K Item 8.01,1,1,0,0,100.0
letter,shareholder letter,48,37,5,6,77.0
letter,ALL,48,37,5,6,77.0
