method,object,target,window,horizon_q,prior_basis,spec_id,n,first_quarter,last_quarter,mae,rmse,bias,crps,pinball_mean,cov80,cov90,pit_mean,rw_mae,rw_rmse,rw_bias,rw_crps,rw_pinball_mean,rw_cov80,rw_cov90,rw_pit_mean,mae_ratio_seasonal_naive,rw_mae_ratio_seasonal_naive,n_match_seasonal_naive,mae_ratio_seasonal_naive_drift,rw_mae_ratio_seasonal_naive_drift,n_match_seasonal_naive_drift,mae_ratio_trailing4,rw_mae_ratio_trailing4,n_match_trailing4,mae_ratio_pct_rev_last4,rw_mae_ratio_pct_rev_last4,n_match_pct_rev_last4,mae_ratio_guide_implied,rw_mae_ratio_guide_implied,n_match_guide_implied,mae_ratio_q_guide_implied,rw_mae_ratio_q_guide_implied,n_match_q_guide_implied,mae_ratio_street,rw_mae_ratio_street,n_match_street,beats_seasonal_naive,rw_beats_seasonal_naive,pit_edge_frac,conformal_n_cal,conformal_alpha,conformal_n_eval,conformal_cov_empirical,conformal_mean_width,conformal_attainable_lo,conformal_attainable_hi,n_params,n_obs,param_obs_ratio,coverage_caveat,survives_both_windows,rw_survives_both_windows,replays_present
baselines-margin,street,adj_ebitda_margin_pct,W1,0,PIT,street|adj_ebitda_margin_pct|h0|PIT,14,2023Q1,2026Q2,1.5920779972124077,1.9969868184606105,-1.2191457761029765,1.2760785791713136,0.559059696791599,1.0,1.0,0.618244017391913,1.2500776196525898,1.5999838173298904,-1.0958528303769963,0.9967637483372709,0.43642256931130136,1.0,1.0,0.6393933611248624,0.7116808935448443,0.6535692515380962,14,0.667637025496952,0.6308920900990013,14,0.1679942765940903,0.14718869354229616,14,,,0,0.3635034747282452,0.3819087417485998,14,0.7116808935448443,0.6535692515380962,14,1.0,1.0,14,True,True,0.0,6,0.2,8,1.0,6.949538838945541,0.8571428571428571,1.0,1,14,0.07142857142857142,"EXCHANGEABILITY VIOLATED: residuals are a time-ordered non-exchangeable sequence (expanding-window refits, a trending target, and a regime change at the 2022 reopening); conformal coverage here is descriptive, not a guarantee.",True,True,1
baselines-margin,q_guide_implied,adj_ebitda_margin_pct,W1,0,PIT,q_guide_implied|adj_ebitda_margin_pct|h0|PIT,14,2023Q1,2026Q2,2.237067218823808,2.8465513645977527,-0.4732602177636393,1.5927671083024326,0.6647572066239028,0.8571428571428572,0.9285714285714286,0.518816391926988,1.9126934394644228,2.315159070852929,-0.017537450711588187,1.3426243909252384,0.5649626641910299,0.932456749231706,0.9691471627762318,0.4886717061084578,1.0,1.0,14,0.9381128980033281,0.9653025882326517,14,0.23605281259880367,0.22520749437937201,14,,,0,0.5107675055285718,0.5843431906409668,14,1.0,1.0,14,1.4051241350867993,1.5300597414070825,14,False,False,0.07142857142857142,6,0.2,8,0.875,9.898559848319687,0.8571428571428571,1.0,1,14,0.07142857142857142,"EXCHANGEABILITY VIOLATED: residuals are a time-ordered non-exchangeable sequence (expanding-window refits, a trending target, and a regime change at the 2022 reopening); conformal coverage here is descriptive, not a guarantee.",False,False,1
baselines-margin,seasonal_naive,adj_ebitda_margin_pct,W1,0,PIT,seasonal_naive|adj_ebitda_margin_pct|h0|PIT,14,2023Q1,2026Q2,2.237067218823808,2.8465513645977527,-0.4732602177636393,2.1737079130606567,0.9860668848227897,1.0,1.0,0.5036062135259974,1.9126934394644228,2.315159070852929,-0.017537450711588187,1.693931118922643,0.7563382482233538,1.0,1.0,0.48934230580002325,1.0,1.0,14,0.9381128980033281,0.9653025882326517,14,0.23605281259880367,0.22520749437937201,14,,,0,0.5107675055285718,0.5843431906409668,14,1.0,1.0,14,1.4051241350867993,1.5300597414070825,14,False,False,0.0,6,0.2,8,0.875,9.898559848319687,0.8571428571428571,1.0,1,14,0.07142857142857142,"EXCHANGEABILITY VIOLATED: residuals are a time-ordered non-exchangeable sequence (expanding-window refits, a trending target, and a regime change at the 2022 reopening); conformal coverage here is descriptive, not a guarantee.",False,False,1
baselines-margin,seasonal_naive_drift,adj_ebitda_margin_pct,W1,0,PIT,seasonal_naive_drift|adj_ebitda_margin_pct|h0|PIT,14,2023Q1,2026Q2,2.3846460522876978,3.0600679486003757,0.2579990477629065,2.0628085102793046,0.9139331920422353,1.0,1.0,0.504293000951656,1.9814444328449645,2.622602415798997,-0.16910020940791348,1.6913658501016018,0.7407930403199603,1.0,1.0,0.5366729133013569,1.06596978053323,1.03594459622332,14,1.0,1.0,14,0.2516251648401984,0.2333024868313041,14,,,0,0.544462725771797,0.6053471706844029,14,1.06596978053323,1.03594459622332,14,1.49781986590042,1.5850571210095175,14,False,False,0.0,6,0.2,8,0.875,10.510828717667977,0.8571428571428571,1.0,1,14,0.07142857142857142,"EXCHANGEABILITY VIOLATED: residuals are a time-ordered non-exchangeable sequence (expanding-window refits, a trending target, and a regime change at the 2022 reopening); conformal coverage here is descriptive, not a guarantee.",False,False,1
baselines-margin,guide_implied,adj_ebitda_margin_pct,W1,0,PIT,guide_implied|adj_ebitda_margin_pct|h0|PIT,14,2023Q1,2026Q2,4.379815071651361,5.50532120863909,-4.379815071651361,3.1475538920105905,1.349489509647639,0.7857142857142857,0.7857142857142857,0.8000460600515015,3.2732364646302914,4.108500057221004,-3.2732364646302914,2.222152171283158,0.9256955617287256,0.9231481292634398,0.9231481292634398,0.763812422367119,1.9578379383495474,1.7113230991929564,14,1.836673022165955,1.6519446169532837,14,0.46215315196005385,0.3854027872427872,14,,,0,1.0,1.0,14,1.9578379383495474,1.7113230991929564,14,2.7510053397635303,2.618426578615142,14,False,False,0.21428571428571427,6,0.2,8,1.0,18.951604820365727,0.8571428571428571,1.0,4,14,0.2857142857142857,"EXCHANGEABILITY VIOLATED: residuals are a time-ordered non-exchangeable sequence (expanding-window refits, a trending target, and a regime change at the 2022 reopening); conformal coverage here is descriptive, not a guarantee.",False,False,1
baselines-margin,trailing4,adj_ebitda_margin_pct,W1,0,PIT,trailing4|adj_ebitda_margin_pct|h0|PIT,14,2023Q1,2026Q2,9.476977605964542,12.100965332301575,0.6446010975429656,6.928376314410359,2.8116767844099178,0.7857142857142857,0.8571428571428572,0.4680618878179515,8.49302748443356,10.85429229284823,1.207758316082048,6.1850805004612575,2.515834323676681,0.9038226725621179,0.9557107530058639,0.46059065452312653,4.23634011808876,4.440349566322405,14,3.9741653051080084,4.2862809290287505,14,1.0,1.0,14,,,0,2.163784874686811,2.5946880331460678,14,4.23634011808876,4.440349566322405,14,5.952583744362979,6.794000109204311,14,False,False,0.14285714285714285,6,0.2,8,1.0,38.777593924612916,0.8571428571428571,1.0,2,14,0.14285714285714285,"EXCHANGEABILITY VIOLATED: residuals are a time-ordered non-exchangeable sequence (expanding-window refits, a trending target, and a regime change at the 2022 reopening); conformal coverage here is descriptive, not a guarantee.",False,False,1
baselines-margin,street,adj_ebitda_margin_pct,W1,0,full_sample,street|adj_ebitda_margin_pct|h0|full_sample,14,2023Q1,2026Q2,1.5920779972124077,1.9969868184606105,-1.2191457761029765,1.3216099033572173,0.5776683193414774,1.0,1.0,0.6061133879378421,1.2500776196525898,1.5999838173298904,-1.0958528303769963,1.2012944578355527,0.5408056669687369,1.0,1.0,0.597515340617313,0.7116808935448443,0.6535692515380962,14,0.667637025496952,0.6308920900990013,14,0.1679942765940903,0.14718869354229616,14,,,0,0.3635034747282452,0.3819087417485998,14,0.7116808935448443,0.6535692515380962,14,1.0,1.0,14,True,True,0.0,6,0.2,8,1.0,6.949538838945541,0.8571428571428571,1.0,1,14,0.07142857142857142,"EXCHANGEABILITY VIOLATED: residuals are a time-ordered non-exchangeable sequence (expanding-window refits, a trending target, and a regime change at the 2022 reopening); conformal coverage here is descriptive, not a guarantee.",True,True,1
baselines-margin,q_guide_implied,adj_ebitda_margin_pct,W1,0,full_sample,q_guide_implied|adj_ebitda_margin_pct|h0|full_sample,14,2023Q1,2026Q2,2.237067218823808,2.8465513645977527,-0.4732602177636393,1.5903044554468515,0.6629276751659215,0.8571428571428572,0.8571428571428572,0.522248059457535,1.9126934394644228,2.315159070852929,-0.017537450711588187,1.3406354864292875,0.5642924429490775,0.932456749231706,0.932456749231706,0.4897836340960077,1.0,1.0,14,0.9381128980033281,0.9653025882326517,14,0.23605281259880367,0.22520749437937201,14,,,0,0.5107675055285718,0.5843431906409668,14,1.0,1.0,14,1.4051241350867993,1.5300597414070825,14,False,False,0.14285714285714285,6,0.2,8,0.875,9.898559848319687,0.8571428571428571,1.0,1,14,0.07142857142857142,"EXCHANGEABILITY VIOLATED: residuals are a time-ordered non-exchangeable sequence (expanding-window refits, a trending target, and a regime change at the 2022 reopening); conformal coverage here is descriptive, not a guarantee.",False,False,1
baselines-margin,seasonal_naive,adj_ebitda_margin_pct,W1,0,full_sample,seasonal_naive|adj_ebitda_margin_pct|h0|full_sample,14,2023Q1,2026Q2,2.237067218823808,2.8465513645977527,-0.4732602177636393,2.3104184965118235,1.053993764809752,1.0,1.0,0.5202592941334061,1.9126934394644228,2.315159070852929,-0.017537450711588187,2.210257762923266,1.0240144631595418,1.0,1.0,0.5002481725017502,1.0,1.0,14,0.9381128980033281,0.9653025882326517,14,0.23605281259880367,0.22520749437937201,14,,,0,0.5107675055285718,0.5843431906409668,14,1.0,1.0,14,1.4051241350867993,1.5300597414070825,14,False,False,0.0,6,0.2,8,0.875,9.898559848319687,0.8571428571428571,1.0,1,14,0.07142857142857142,"EXCHANGEABILITY VIOLATED: residuals are a time-ordered non-exchangeable sequence (expanding-window refits, a trending target, and a regime change at the 2022 reopening); conformal coverage here is descriptive, not a guarantee.",False,False,1
baselines-margin,seasonal_naive_drift,adj_ebitda_margin_pct,W1,0,full_sample,seasonal_naive_drift|adj_ebitda_margin_pct|h0|full_sample,14,2023Q1,2026Q2,2.3846460522876978,3.0600679486003757,0.2579990477629065,1.9100222989942945,0.825799138708024,1.0,1.0,0.48830647659386933,1.9814444328449645,2.622602415798997,-0.16910020940791348,1.7390494481910928,0.7719374351969293,1.0,1.0,0.5134860385151864,1.06596978053323,1.03594459622332,14,1.0,1.0,14,0.2516251648401984,0.2333024868313041,14,,,0,0.544462725771797,0.6053471706844029,14,1.06596978053323,1.03594459622332,14,1.49781986590042,1.5850571210095175,14,False,False,0.0,6,0.2,8,0.875,10.510828717667977,0.8571428571428571,1.0,1,14,0.07142857142857142,"EXCHANGEABILITY VIOLATED: residuals are a time-ordered non-exchangeable sequence (expanding-window refits, a trending target, and a regime change at the 2022 reopening); conformal coverage here is descriptive, not a guarantee.",False,False,1
