,ew_all,ew_top3_prior_mae,invmae_all,invmae_recency,best_single_prior_mae,m5_dispersion_only,m5_m3_5050,m5_60_plus_two_independent_40,ew_three_least_correlated,family_equal_thirds,family_B50_A30_C20,recommended_ws23_60_20_20
alt-augmented|margin_aug|ridge_all_eq,0.09090909090909091,0.0,0.07068978064415565,0.071209974798039,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.07500000000000001,0.0625
baselines-margin|street|street|adj_ebitda_margin_pct|h0|PIT,0.09090909090909091,0.0,0.0969079033121989,0.09013650117737292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cycle-flex|flex_margin|l0_rw,0.09090909090909091,0.0,0.07011080474646328,0.07255974888377387,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.07500000000000001,0.0625
driver-lines|margin_v2|b_elastic_eq,0.09090909090909091,0.0,0.06967269658624473,0.06924240278542436,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.07500000000000001,0.0625
final-margin|combined|stack_ew_clip,0.09090909090909091,0.3333333333333333,0.13742082566440825,0.13696549709499778,1.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0
guide-policy-margin|actual_given_guide|nov_sentence_pin,0.09090909090909091,0.0,0.0819470730216096,0.07348481559347096,0.0,0.0,0.0,0.2,0.3333333333333333,0.3333333333333333,0.20000000000000004,0.0
margin-ts|q_sentence_direction|k_fit_median,0.09090909090909091,0.0,0.07533166900440177,0.07410022375199474,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0
margin-ts|sarima_margin|lines_aicc,0.09090909090909091,0.0,0.07569433311907806,0.07099387936508574,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.07500000000000001,0.0625
street-bias|dispersion_conditioned|rw_hl4_med,0.09090909090909091,0.3333333333333333,0.12612944593734046,0.13106298140568612,0.0,1.0,1.0,0.6,0.0,0.1111111111111111,0.16666666666666669,0.7499999999999999
street-bias|street_plus_bias|rw_hl4,0.09090909090909091,0.0,0.09645988014471919,0.11074347426136265,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.16666666666666669,0.0
street-bias|street_plus_flowthrough|rw_hl4_med,0.09090909090909091,0.3333333333333333,0.0996355878193801,0.09950050088279191,0.0,0.0,0.0,0.0,0.3333333333333333,0.1111111111111111,0.16666666666666669,0.0
