target,horizon_q,method,object,spec_id,rank_W1_equal,rank_W1_recency,rank_W2_equal,rank_W2_recency,disagree_W1_eq_vs_rw,disagree_W2_eq_vs_rw,disagree_W1_vs_W2_equal
adj_ebitda_margin_pct,0,alt-augmented,margin_aug,best1_eq,43.0,53.0,53.0,54.0,-10.0,-1.0,-10.0
adj_ebitda_margin_pct,0,alt-augmented,margin_aug,best1_rw,42.0,52.0,57.0,55.0,-10.0,2.0,-15.0
adj_ebitda_margin_pct,0,alt-augmented,margin_aug,none_eq,24.0,23.0,31.0,26.0,1.0,5.0,-7.0
adj_ebitda_margin_pct,0,alt-augmented,margin_aug,none_rw,35.0,28.0,38.0,31.0,7.0,7.0,-3.0
adj_ebitda_margin_pct,0,alt-augmented,margin_aug,ridge_all_eq,20.0,21.0,28.0,23.0,-1.0,5.0,-8.0
adj_ebitda_margin_pct,0,alt-augmented,margin_aug,ridge_all_rw,33.0,33.0,36.0,38.0,0.0,-2.0,-3.0
adj_ebitda_margin_pct,0,alt-augmented,margin_aug,surv_emp_computer_systems_design_rw,32.0,32.0,37.0,36.0,0.0,1.0,-5.0
adj_ebitda_margin_pct,0,baselines-margin,guide_implied,guide_implied|adj_ebitda_margin_pct|h0|PIT,71.0,71.0,74.0,73.0,0.0,1.0,-3.0
adj_ebitda_margin_pct,0,baselines-margin,q_guide_implied,q_guide_implied|adj_ebitda_margin_pct|h0|PIT,27.0,43.0,43.0,46.0,-16.0,-3.0,-16.0
adj_ebitda_margin_pct,0,baselines-margin,seasonal_naive,seasonal_naive|adj_ebitda_margin_pct|h0|PIT,28.0,44.0,44.0,47.0,-16.0,-3.0,-16.0
adj_ebitda_margin_pct,0,baselines-margin,seasonal_naive_drift,seasonal_naive_drift|adj_ebitda_margin_pct|h0|PIT,39.0,47.0,49.0,51.0,-8.0,-2.0,-10.0
adj_ebitda_margin_pct,0,baselines-margin,street,street|adj_ebitda_margin_pct|h0|PIT,5.0,10.0,12.0,12.0,-5.0,0.0,-7.0
adj_ebitda_margin_pct,0,baselines-margin,trailing4,trailing4|adj_ebitda_margin_pct|h0|PIT,75.0,75.0,75.0,75.0,0.0,0.0,0.0
adj_ebitda_margin_pct,0,cycle-flex,flex_margin,dl_rw,54.0,55.0,65.0,59.0,-1.0,6.0,-11.0
adj_ebitda_margin_pct,0,cycle-flex,flex_margin,l0_eq,31.0,27.0,29.0,28.0,4.0,1.0,2.0
adj_ebitda_margin_pct,0,cycle-flex,flex_margin,l0_rw,22.0,18.0,27.0,21.0,4.0,6.0,-5.0
adj_ebitda_margin_pct,0,driver-lines,margin_v2,a_unit_eq,37.0,31.0,35.0,33.0,6.0,2.0,2.0
adj_ebitda_margin_pct,0,driver-lines,margin_v2,a_unit_rw,38.0,34.0,41.0,37.0,4.0,4.0,-3.0
adj_ebitda_margin_pct,0,driver-lines,margin_v2,b_elastic_eq,25.0,24.0,32.0,27.0,1.0,5.0,-7.0
adj_ebitda_margin_pct,0,driver-lines,margin_v2,b_elastic_rw,36.0,29.0,39.0,32.0,7.0,7.0,-3.0
adj_ebitda_margin_pct,0,driver-lines,margin_v2,c_mix_rw,30.0,30.0,34.0,35.0,0.0,-1.0,-4.0
adj_ebitda_margin_pct,0,driver-lines,margin_v2,d_steps_rw,48.0,35.0,40.0,34.0,13.0,6.0,8.0
adj_ebitda_margin_pct,0,guide-policy-margin,actual_given_guide,equal,72.0,73.0,71.0,72.0,-1.0,-1.0,1.0
adj_ebitda_margin_pct,0,guide-policy-margin,actual_given_guide,last,63.0,49.0,20.0,19.0,14.0,1.0,43.0
adj_ebitda_margin_pct,0,guide-policy-margin,actual_given_guide,last_pin,23.0,26.0,18.0,18.0,-3.0,0.0,5.0
adj_ebitda_margin_pct,0,guide-policy-margin,actual_given_guide,nocushion,40.0,46.0,63.0,56.0,-6.0,7.0,-23.0
adj_ebitda_margin_pct,0,guide-policy-margin,actual_given_guide,nocushion_pin,26.0,37.0,59.0,49.0,-11.0,10.0,-33.0
adj_ebitda_margin_pct,0,guide-policy-margin,actual_given_guide,nov_sentence_pin,16.0,17.0,30.0,29.0,-1.0,1.0,-14.0
adj_ebitda_margin_pct,0,guide-policy-margin,actual_given_guide,rw_hl4,67.0,61.0,47.0,42.0,6.0,5.0,20.0
adj_ebitda_margin_pct,0,guide-policy-margin,actual_given_guide,rw_hl4_pin,21.0,25.0,17.0,17.0,-4.0,0.0,4.0
adj_ebitda_margin_pct,0,guide-policy-margin,actual_given_guide,rw_hl4_prorata,73.0,72.0,73.0,71.0,1.0,2.0,0.0
adj_ebitda_margin_pct,0,margin-ts,ensemble_simple,eq4,61.0,58.0,54.0,52.0,3.0,2.0,7.0
adj_ebitda_margin_pct,0,margin-ts,ensemble_simple,invmae4,55.0,54.0,48.0,50.0,1.0,-2.0,7.0
adj_ebitda_margin_pct,0,margin-ts,incremental_margin,k4_ew,58.0,60.0,50.0,58.0,-2.0,-8.0,8.0
adj_ebitda_margin_pct,0,margin-ts,incremental_margin,k4_rw,56.0,59.0,46.0,57.0,-3.0,-11.0,10.0
