label,n_all,mae_all,n_shock_2025h1,mae_shock_2025h1,n_stress_2023h1,mae_stress_2023h1,n_calm,mae_calm,shock_minus_calm,bias_shock,bias_calm
street-bias|street_plus_bias|rw_hl4,14,1.5994726552413798,2,0.6793710951912607,2,4.676904027858052,10,1.1680066927280692,-0.4886355975368085,-0.6793710951912607,0.6563341590006828
street-bias|dispersion_conditioned|rw_hl4_med,14,1.223226975055342,2,1.2152187137504171,2,2.611781379089239,10,0.9471177465095476,0.2681009672408695,-1.2152187137504171,-0.09152423366061094
street-bias|street_plus_flowthrough|rw_hl4_med,14,1.5484923007532987,2,1.2292802711762967,2,4.671491003440699,10,0.9877349661312191,0.24154530504507754,-1.2292802711762967,0.5277699134588705
guide-policy-margin|actual_given_guide|nov_sentence_pin,14,1.8827388817005581,2,1.2814328276242222,2,0.7665063363727551,10,2.226246601581386,-0.944813773957164,-1.2814328276242222,-1.8907261183886317
cycle-flex|flex_margin|l0_rw,14,2.20058721586878,2,1.4215849740574455,2,2.4196165483920957,10,2.3125817977263834,-0.8909968236689378,-1.4215849740574455,0.05961047836294782
driver-lines|margin_v2|b_elastic_eq,14,2.2144247054993316,2,1.8389335387183152,2,1.8123442767722455,10,2.369939024600952,-0.5310054858826367,-1.8389335387183152,-0.38054453464117904
alt-augmented|margin_aug|ridge_all_eq,14,2.1825635786874504,2,1.96342417203852,2,1.7687682146557062,10,2.3091505328235855,-0.3457263607850656,-1.96342417203852,-0.4207873742516404
margin-ts|sarima_margin|lines_aicc,14,2.0382627636949637,2,1.9781237160048841,2,1.5215979763361567,10,2.153623530704741,-0.17549981469985698,-1.9781237160048841,-0.3192184960171165
margin-ts|q_sentence_direction|k_fit_median,14,2.048075433060219,2,2.058329643278361,2,3.053877564966057,10,1.844864164635423,0.21346547864293797,-2.058329643278361,-1.329738145817252
baselines-margin|street|street|adj_ebitda_margin_pct|h0|PIT,14,1.5920779972124073,2,2.2193150542264934,2,1.3425429570308003,10,1.5165375938459116,0.7027774603805819,-2.2193150542264934,-1.3317165070632606
