vintage_date,line,spec,n_obs,g,b,b_imposed,c_mix,flags,c_event_E02_cor_cash,c_event_E09_cor_cash,c_event_E05_ops_cash,c_event_E10_pd_cash
full_sample,cor,a_unit_rw,18,-0.0127294497580582,1.0,True,,,,,,
full_sample,ops,a_unit_rw,18,-0.03408565889501217,1.0,True,,,,,,
full_sample,pd,a_unit_rw,18,0.11811494904165838,,True,,,,,,
full_sample,sm,a_unit_rw,18,0.21214232708196656,0.0,True,,,,,,
full_sample,ga,a_unit_rw,18,0.05606379646512878,,True,,,,,,
2022-02-15,cor,a_unit_rw,4,-0.3998896911097075,1.0,True,,added_2021_obs,,,,
2022-02-15,ops,a_unit_rw,4,-0.3700844353669524,1.0,True,,added_2021_obs,,,,
2022-02-15,pd,a_unit_rw,4,0.014318009894871801,,True,,added_2021_obs,,,,
2022-02-15,sm,a_unit_rw,4,0.5140132606923976,0.0,True,,added_2021_obs,,,,
2022-02-15,ga,a_unit_rw,4,-0.07283020004977424,,True,,added_2021_obs,,,,
2022-05-03,cor,a_unit_rw,5,-0.333693098243408,1.0,True,,added_2021_obs,,,,
2022-05-03,ops,a_unit_rw,5,-0.32900171752706775,1.0,True,,added_2021_obs,,,,
2022-05-03,pd,a_unit_rw,5,0.0408094642354208,,True,,added_2021_obs,,,,
2022-05-03,sm,a_unit_rw,5,0.5004503627661534,0.0,True,,added_2021_obs,,,,
2022-05-03,ga,a_unit_rw,5,-0.005048179694674623,,True,,added_2021_obs,,,,
2022-08-02,cor,a_unit_rw,6,-0.24087514953886327,1.0,True,,added_2021_obs,,,,
2022-08-02,ops,a_unit_rw,6,-0.24851948958436232,1.0,True,,added_2021_obs,,,,
2022-08-02,pd,a_unit_rw,6,0.05810809813495598,,True,,added_2021_obs,,,,
2022-08-02,sm,a_unit_rw,6,0.42241368428792336,0.0,True,,added_2021_obs,,,,
2022-08-02,ga,a_unit_rw,6,0.02165136850630946,,True,,added_2021_obs,,,,
2022-11-01,cor,a_unit_rw,7,-0.19042479942553142,1.0,True,,added_2021_obs,,,,
2022-11-01,ops,a_unit_rw,7,-0.19266759259000465,1.0,True,,added_2021_obs,,,,
2022-11-01,pd,a_unit_rw,7,0.06246855947620783,,True,,added_2021_obs,,,,
2022-11-01,sm,a_unit_rw,7,0.39213715652206516,0.0,True,,added_2021_obs,,,,
2022-11-01,ga,a_unit_rw,7,0.03946054152326284,,True,,added_2021_obs,,,,
2023-02-14,cor,a_unit_rw,4,-0.032396511674262427,1.0,True,,,,,,
2023-02-14,ops,a_unit_rw,4,-0.06013390777651438,1.0,True,,,,,,
2023-02-14,pd,a_unit_rw,4,0.07641620268544072,,True,,,,,,
2023-02-14,sm,a_unit_rw,4,0.24998312920567947,0.0,True,,,,,,
2023-02-14,ga,a_unit_rw,4,0.1593849226245004,,True,,,,,,
2023-05-09,cor,a_unit_rw,5,-0.024838610149843177,1.0,True,,,,,,
2023-05-09,ops,a_unit_rw,5,-0.038961548778310484,1.0,True,,,,,,
2023-05-09,pd,a_unit_rw,5,0.08306975265236143,,True,,,,,,
2023-05-09,sm,a_unit_rw,5,0.2544042511792728,0.0,True,,,,,,
2023-05-09,ga,a_unit_rw,5,0.15173928815383225,,True,,,,,,
2023-08-03,cor,a_unit_rw,6,-0.022286799498216468,1.0,True,,,,,,
2023-08-03,ops,a_unit_rw,6,-0.003271509044851308,1.0,True,,,,,,
2023-08-03,pd,a_unit_rw,6,0.0926732795287137,,True,,,,,,
2023-08-03,sm,a_unit_rw,6,0.25372677493988377,0.0,True,,,,,,
2023-08-03,ga,a_unit_rw,6,0.15480788492193095,,True,,,,,,
2023-11-01,cor,a_unit_rw,7,-0.022881388193247594,1.0,True,,,,,,
2023-11-01,ops,a_unit_rw,7,-0.009158200411826453,1.0,True,,,,,,
2023-11-01,pd,a_unit_rw,7,0.08479665032234952,,True,,,,,,
2023-11-01,sm,a_unit_rw,7,0.20465983192469867,0.0,True,,,,,,
2023-11-01,ga,a_unit_rw,7,0.14414952135641004,,True,,,,,,
2024-02-13,cor,a_unit_rw,8,-0.02461472941195702,1.0,True,,,,,,
2024-02-13,ops,a_unit_rw,8,-0.021899134367569205,1.0,True,,,,,,
2024-02-13,pd,a_unit_rw,8,0.07018880754486995,,True,,,,,,
2024-02-13,sm,a_unit_rw,8,0.17181106690539028,0.0,True,,,,,,
2024-02-13,ga,a_unit_rw,8,0.12706001045407012,,True,,,,,,
2024-05-08,cor,a_unit_rw,9,-0.019845177305315324,1.0,True,,,,,,
2024-05-08,ops,a_unit_rw,9,-0.036519391489419385,1.0,True,,,,,,
2024-05-08,pd,a_unit_rw,9,0.06969993780709229,,True,,,,,,
2024-05-08,sm,a_unit_rw,9,0.16272230777384775,0.0,True,,,,,,
2024-05-08,ga,a_unit_rw,9,0.13266815649725838,,True,,,,,,
2024-08-06,cor,a_unit_rw,10,-0.0056121851983392465,1.0,True,,,,,,
2024-08-06,ops,a_unit_rw,10,-0.03545509959102192,1.0,True,,,,,,
2024-08-06,pd,a_unit_rw,10,0.07055187441071677,,True,,,,,,
2024-08-06,sm,a_unit_rw,10,0.16180054158447416,0.0,True,,,,,,
2024-08-06,ga,a_unit_rw,10,0.12632851421721797,,True,,,,,,
2024-11-07,cor,a_unit_rw,11,-0.01966948786627736,1.0,True,,,,,,
2024-11-07,ops,a_unit_rw,11,-0.016218102834882252,1.0,True,,,,,,
2024-11-07,pd,a_unit_rw,11,0.09220420036978029,,True,,,,,,
2024-11-07,sm,a_unit_rw,11,0.1766680188858276,0.0,True,,,,,,
2024-11-07,ga,a_unit_rw,11,0.10997827366096445,,True,,,,,,
2025-02-13,cor,a_unit_rw,12,-0.019896402237405703,1.0,True,,,,,,
2025-02-13,ops,a_unit_rw,12,-0.026731474018747786,1.0,True,,,,,,
2025-02-13,pd,a_unit_rw,12,0.11002224043789056,,True,,,,,,
2025-02-13,sm,a_unit_rw,12,0.18962005480302196,0.0,True,,,,,,
2025-02-13,ga,a_unit_rw,12,0.1024683284651366,,True,,,,,,
2025-05-01,cor,a_unit_rw,13,-0.018987751786659207,1.0,True,,,,,,
2025-05-01,ops,a_unit_rw,13,-0.025142794286630292,1.0,True,,,,,,
2025-05-01,pd,a_unit_rw,13,0.11769265698764189,,True,,,,,,
2025-05-01,sm,a_unit_rw,13,0.1701666693551645,0.0,True,,,,,,
2025-05-01,ga,a_unit_rw,13,0.09356904219389864,,True,,,,,,
2025-08-06,cor,a_unit_rw,14,-0.021012109608332094,1.0,True,,,,,,
2025-08-06,ops,a_unit_rw,14,-0.03607115194650612,1.0,True,,,,,,
2025-08-06,pd,a_unit_rw,14,0.12635564834370488,,True,,,,,,
2025-08-06,sm,a_unit_rw,14,0.17410009331387866,0.0,True,,,,,,
2025-08-06,ga,a_unit_rw,14,0.07867490598751226,,True,,,,,,
2025-11-06,cor,a_unit_rw,15,-0.011274150833883063,1.0,True,,,,,,
2025-11-06,ops,a_unit_rw,15,-0.046352311544466236,1.0,True,,,,,,
2025-11-06,pd,a_unit_rw,15,0.12604748290399853,,True,,,,,,
2025-11-06,sm,a_unit_rw,15,0.18143134181146467,0.0,True,,,,,,
2025-11-06,ga,a_unit_rw,15,0.09986643738581848,,True,,,,,,
2026-02-12,cor,a_unit_rw,16,-0.012102633003910603,1.0,True,,,,,,
2026-02-12,ops,a_unit_rw,16,-0.0316410500251988,1.0,True,,,,,,
2026-02-12,pd,a_unit_rw,16,0.12002241207398834,,True,,,,,,
2026-02-12,sm,a_unit_rw,16,0.19032976843254207,0.0,True,,,,,,
2026-02-12,ga,a_unit_rw,16,0.10604841778507275,,True,,,,,,
2026-05-07,cor,a_unit_rw,17,-0.01633090271736567,1.0,True,,,,,,
2026-05-07,ops,a_unit_rw,17,-0.030087587808058466,1.0,True,,,,,,
2026-05-07,pd,a_unit_rw,17,0.11731165034372794,,True,,,,,,
2026-05-07,sm,a_unit_rw,17,0.20764596557352194,0.0,True,,,,,,
2026-05-07,ga,a_unit_rw,17,0.08168205844249544,,True,,,,,,
2026-08-06,cor,a_unit_rw,18,-0.0127294497580582,1.0,True,,,,,,
2026-08-06,ops,a_unit_rw,18,-0.03408565889501217,1.0,True,,,,,,
2026-08-06,pd,a_unit_rw,18,0.11811494904165838,,True,,,,,,
