guide_date,quarter,guide_type,adverb,direction,realised_yoy_pp,quote
2022-05-03,2022Q2,floor,plain,1,17.463866289547184,driving a low double-digit EBITDA margin percentage improvement on a year-over-year basis
2023-02-14,2023Q1,ceiling,slightly,-1,-0.7648054453720956,"In Q1 2023, we expect Adjusted EBITDA margin to be slightly down on a year-over-year basis"
2023-05-09,2023Q2,ceiling,plain,-1,-0.8200427110862947,"we expect Adjusted EBITDA to be similar to Adjusted EBITDA in Q2 2022 on a nominal basis, but lower on a margin basis"
2023-08-03,2023Q3,floor,plain,1,3.475883805172046,We expect a record-high Adjusted EBITDA in Q3 2023 on a nominal basis and an Adjusted EBITDA margin that exceeds Q3 2022
2023-11-01,2023Q4,floor,plain,1,6.6696439323041865,we expect a record-high fourth quarter Adjusted EBITDA in 2023 on a nominal basis and an Adjusted EBITDA margin that exc
2024-02-13,2024Q1,floor,plain,1,5.383143356352438,We expect Adjusted EBITDA Margin in Q1 2024 to expand relative to Q1 2023
2024-05-08,2024Q2,ceiling,plain,-1,-0.4382634010505697,"we expect Adjusted EBITDA to be flat to up on a nominal basis, but down on an Adjusted EBITDA Margin basis, relative to "
2024-08-06,2024Q3,ceiling,plain,-1,-1.5236475283500042,"we expect Adjusted EBITDA to approximate Q3 2023 on a nominal basis, but for Adjusted EBITDA Margin to decline relative "
2024-11-07,2024Q4,ceiling,plain,-1,-2.426444922772621,Q4 2024 Adjusted EBITDA Margin is expected to decline relative to the same time period last year
2025-02-13,2025Q1,ceiling,plain,-1,-1.4407112610302306,"In Q1 2025, we expect Adjusted EBITDA and Adjusted EBITDA Margin to decline compared to Q1 2024"
2025-05-01,2025Q2,ceiling,slightly,-1,1.155879399253017,"we expect Adjusted EBITDA to increase on a year-over- year basis, but for Adjusted EBITDA Margin to be flat to down slig"
2025-08-06,2025Q3,ceiling,plain,-1,-2.379696045290892,we anticipate that Adjusted EBITDA Margin during Q3 2025 will be lower than in Q3 2024
2025-08-06,2025Q4,ceiling,plain,-1,-2.5530376924684717,We expect a similar year-over-year decline in Q4 2025 Adjusted EBITDA Margin due to growth investments and a tougher yea
2025-11-06,2025Q4,ceiling,slightly,-1,-2.5530376924684717,We expect Adjusted EBITDA in Q4 2025 to be flat- to-down slightly on a year-over-year basis and for Adjusted EBITDA Marg
2026-02-12,2026Q1,point,plain,0,1.0262611892414988,We expect Adjusted EBITDA Margin to be approximately flat year-over-year
2026-05-07,2026Q2,floor,plain,1,1.2614803737889417,We expect Adjusted EBITDA and Adjusted EBITDA Margin to be up year-over-year in Q2 2026
2026-08-06,2026Q3,ceiling,slightly,-1,,"We expect Adjusted EBITDA to increase year-over-year and Adjusted EBITDA Margin to be down slightly compared to Q3 2025,"
