method,object,target,quarter,vintage_date,horizon_q,point,q50,window,prior_basis,n_params,n_train,q05,q10,q25,q75,q90,q95,sd,base_naive,base_ar1,base_trailing4,base_guide_cushion,base_street,street_vendor,street_as_of,knowable_from,spec_id,notes,format_version
alt-augmented,margin_aug,adj_ebitda_margin_pct,2023Q1,2023-02-14,0,17.309647990999867,17.309647990999867,W1,PIT,10,12,9.606189637987452,11.30766766238674,14.150762838526322,20.46853314347341,23.311628319612993,25.013106344012282,4.683370135061684,,,,,,,,2023-02-14,none_rw,rev_leg=guide_cushion;scenario=backtest;,1.0
alt-augmented,margin_aug,adj_ebitda_musd,2023Q1,2023-02-14,0,319.3884054608909,319.3884054608909,W1,PIT,10,12,127.47909711229397,169.86648416230852,240.69394941482304,398.0828615069588,468.91032675947326,511.2977138094878,116.67257511799183,,,,,,,,2023-02-14,none_rw,rev_leg=guide_cushion;scenario=backtest;,1.0
alt-augmented,margin_aug,total_cash_costs_musd,2023Q1,2023-02-14,0,1525.758333669544,1525.758333669544,W1,PIT,10,12,1380.6248691457963,1412.6807834087099,1466.2448106254644,1585.2718567136237,1638.8358839303783,1670.8917981932916,88.2348812962368,,,,,,,,2023-02-14,none_rw,rev_leg=guide_cushion;scenario=backtest;,1.0
alt-augmented,margin_aug,adj_ebitda_margin_pct,2023Q2,2023-02-14,1,37.95354742923943,37.95354742923943,W1,PIT,10,12,33.2955753417297,34.32439081420692,36.0434963594992,39.863598498979655,41.582704044271935,42.611519516749155,2.8318459534558635,,,,,,,,2023-02-14,none_rw,rev_leg=naive;scenario=backtest;,1.0
alt-augmented,margin_aug,adj_ebitda_musd,2023Q2,2023-02-14,1,991.4021522892282,991.4021522892282,W1,PIT,10,12,574.5480197193729,666.6194132994107,820.4666750295601,1162.3376295488963,1316.1848912790458,1408.2562848590835,253.42931780649792,,,,,,,,2023-02-14,none_rw,rev_leg=naive;scenario=backtest;,1.0
alt-augmented,margin_aug,total_cash_costs_musd,2023Q2,2023-02-14,1,1620.7440618099886,1620.7440618099886,W1,PIT,10,12,1529.0035606877561,1549.2664659250925,1583.1248921337901,1658.3632314861873,1692.221657694885,1712.4845629322208,55.77426442027051,,,,,,,,2023-02-14,none_rw,rev_leg=naive;scenario=backtest;,1.0
alt-augmented,margin_aug,adj_ebitda_margin_pct,2023Q3,2023-02-14,2,53.55479700672591,53.55479700672591,W1,PIT,10,12,48.6202361258715,49.71014231009211,51.53132775613767,55.578266257314155,57.399451703359716,58.489357887580326,3.0,,,,,,,,2023-02-14,none_rw,rev_leg=naive;scenario=backtest;,1.0
alt-augmented,margin_aug,adj_ebitda_musd,2023Q3,2023-02-14,2,1917.544188950327,1917.544188950327,W1,PIT,10,12,1602.1362375468605,1671.8010132153026,1788.2077988508217,2046.8805790498322,2163.2873646853513,2232.9521403537933,191.7544188950327,,,,,,,,2023-02-14,none_rw,rev_leg=naive;scenario=backtest;,1.0
alt-augmented,margin_aug,total_cash_costs_musd,2023Q3,2023-02-14,2,1662.9832261932759,1662.9832261932759,W1,PIT,10,12,1389.446827076929,1449.8633504930356,1550.8167121117383,1775.1497402748134,1876.1031018935162,1936.5196253096228,166.2983226193276,,,,,,,,2023-02-14,none_rw,rev_leg=naive;scenario=backtest;,1.0
alt-augmented,margin_aug,adj_ebitda_margin_pct,2023Q1,2023-02-14,0,17.927836694159737,17.927836694159737,W1,full_sample,10,12,13.51977891910456,14.493395324988791,16.12026565025032,19.735407738069153,21.36227806333068,22.335894469214914,2.679908839806587,,,,,,,,2023-02-14,none_rw,rev_leg=guide_cushion;scenario=backtest;,1.0
alt-augmented,margin_aug,adj_ebitda_musd,2023Q1,2023-02-14,0,330.79489415891794,330.79489415891794,W1,full_sample,10,12,268.0511788951147,281.9095069081142,305.06616538863125,356.52362292920463,379.68028140972166,393.5386094227212,38.14547035415597,,,,,,,,2023-02-14,none_rw,rev_leg=guide_cushion;scenario=backtest;,1.0
alt-augmented,margin_aug,total_cash_costs_musd,2023Q1,2023-02-14,0,1514.351844971517,1514.351844971517,W1,full_sample,10,12,1415.5898703903301,1437.4036223048138,1473.8534453129425,1554.8502446300915,1591.3000676382203,1613.113819552704,60.04301717972911,,,,,,,,2023-02-14,none_rw,rev_leg=guide_cushion;scenario=backtest;,1.0
alt-augmented,margin_aug,adj_ebitda_margin_pct,2023Q2,2023-02-14,1,38.39607602765996,38.39607602765996,W1,full_sample,10,12,32.02917004409968,33.43544111327576,35.78525841081665,41.006893644503265,43.35671094204416,44.76298201122024,3.8708039908453946,,,,,,,,2023-02-14,none_rw,rev_leg=naive;scenario=backtest;,1.0
alt-augmented,margin_aug,adj_ebitda_musd,2023Q2,2023-02-14,1,1002.9616463191766,1002.9616463191766,W1,full_sample,10,12,635.9757442263217,717.0326434865306,852.4751681473434,1153.4481244910098,1288.8906491518226,1369.9475484120312,223.11158639265471,,,,,,,,2023-02-14,none_rw,rev_leg=naive;scenario=backtest;,1.0
alt-augmented,margin_aug,total_cash_costs_musd,2023Q2,2023-02-14,1,1609.1845677800402,1609.1845677800402,W1,full_sample,10,12,1502.6394770862712,1526.1723011914587,1565.4946184561913,1652.874517103889,1692.196834368622,1715.729658473809,64.77481579393591,,,,,,,,2023-02-14,none_rw,rev_leg=naive;scenario=backtest;,1.0
alt-augmented,margin_aug,adj_ebitda_margin_pct,2023Q3,2023-02-14,2,53.9050416285365,53.9050416285365,W1,full_sample,10,12,45.80360792756594,47.59298755119159,50.58296244552421,57.227120811548794,60.21709570588141,62.00647532950706,4.925321966785301,,,,,,,,2023-02-14,none_rw,rev_leg=naive;scenario=backtest;,1.0
alt-augmented,margin_aug,adj_ebitda_musd,2023Q3,2023-02-14,2,1930.0847936543212,1930.0847936543212,W1,full_sample,10,12,636.3643045163801,922.1108979438006,1399.5809267786658,2460.5886605299766,2938.058689364842,3223.805282792262,786.526209955647,,,,,,,,2023-02-14,none_rw,rev_leg=naive;scenario=backtest;,1.0
alt-augmented,margin_aug,total_cash_costs_musd,2023Q3,2023-02-14,2,1650.4426214892817,1650.4426214892817,W1,full_sample,10,12,1530.716357023138,1557.160532950032,1601.347591458344,1699.5376515202195,1743.7247100285315,1770.1688859554256,72.7884004414674,,,,,,,,2023-02-14,none_rw,rev_leg=naive;scenario=backtest;,1.0
alt-augmented,margin_aug,adj_ebitda_margin_pct,2023Q2,2023-05-09,0,34.060125094480526,34.060125094480526,W1,PIT,10,13,27.607338330011324,29.032578056475934,31.414091148650392,36.70615904031066,39.08767213248512,40.51291185894973,3.9230157983288905,,,,,,,,2023-05-09,none_rw,rev_leg=guide_cushion;scenario=backtest;,1.0
alt-augmented,margin_aug,adj_ebitda_musd,2023Q2,2023-05-09,0,839.0140659757794,839.0140659757794,W1,PIT,10,13,443.27489206060056,530.6825831202007,676.7370024223744,1001.2911295291843,1147.3455488313582,1234.7532398909584,240.59233443685278,,,,,,,,2023-05-09,none_rw,rev_leg=guide_cushion;scenario=backtest;,1.0
alt-augmented,margin_aug,total_cash_costs_musd,2023Q2,2023-05-09,0,1624.3182431346836,1624.3182431346836,W1,PIT,10,13,1496.0738733413302,1524.399459974897,1571.730273282139,1676.9062129872282,1724.2370262944703,1752.562612928037,77.96704077008854,,,,,,,,2023-05-09,none_rw,rev_leg=guide_cushion;scenario=backtest;,1.0
alt-augmented,margin_aug,adj_ebitda_margin_pct,2023Q3,2023-05-09,1,51.528191552456626,51.528191552456626,W1,PIT,10,13,46.13330017290698,47.324880461354354,49.315958877582396,53.740424227330855,55.7315026435589,56.923082932006274,3.279861071619118,,,,,,,,2023-05-09,none_rw,rev_leg=naive;scenario=backtest;,1.0
alt-augmented,margin_aug,adj_ebitda_musd,2023Q3,2023-05-09,1,1790.3782602185818,1790.3782602185818,W1,PIT,10,13,1170.7956804599705,1307.6441056023812,1536.311823789367,2044.4446966477965,2273.1124148347826,2409.9608399771932,376.6794622977663,,,,,,,,2023-05-09,none_rw,rev_leg=naive;scenario=backtest;,1.0
alt-augmented,margin_aug,total_cash_costs_musd,2023Q3,2023-05-09,1,1684.182375964321,1684.182375964321,W1,PIT,10,13,1604.6142129707716,1622.188589902712,1651.5546031937147,1716.810148734927,1746.17616202593,1763.7505389578703,48.37400829459751,,,,,,,,2023-05-09,none_rw,rev_leg=naive;scenario=backtest;,1.0
alt-augmented,margin_aug,adj_ebitda_margin_pct,2023Q4,2023-05-09,2,28.012069541665213,28.012069541665213,W1,PIT,10,13,23.71711790897361,24.665752338343236,26.250878876203114,29.77326020712731,31.35838674498719,32.30702117435682,2.6111451878254672,,,,,,,,2023-05-09,none_rw,rev_leg=naive;scenario=backtest;,1.0
