method,object,target,quarter,vintage_date,horizon_q,point,q50,window,prior_basis,n_params,n_train,q05,q10,q25,q75,q90,q95,sd,base_naive,base_ar1,base_trailing4,base_guide_cushion,base_street,street_vendor,street_as_of,knowable_from,spec_id,notes,format_version
street-bias,street_plus_flowthrough,adj_ebitda_musd,2023Q1,2023-02-14,0,377.5609469509403,377.5609469509403,W1,PIT,6,12,-150.58594382341,-33.93309946085669,160.98868873398558,594.1332051678951,789.0549933627374,905.7078377252907,321.0905104992252,,,,,,LSEG,2023-02-13,2023-02-14,rw_hl4,a=+68.8 m=0.524 rev=1845 leg=guide_cushion; sigma relative n=6 (PIT); street_src=street_pit,1.0
street-bias,street_plus_flowthrough,adj_ebitda_margin_pct,2023Q1,2023-02-14,0,20.462380522043144,20.462380522043144,W1,PIT,6,12,-15.435431714802913,-7.5066111973115,5.742100242094267,35.18266080199202,48.43137224139779,56.3601927588892,21.824320200076468,,,,,,LSEG,2023-02-13,2023-02-14,rw_hl4,a=+68.8 m=0.524 rev=1845 leg=guide_cushion; sigma additive n=8 (PIT); street_src=street_pit,1.0
street-bias,street_plus_flowthrough,adj_ebitda_musd,2023Q2,2023-02-14,1,1017.430742270859,1017.430742270859,W1,PIT,6,12,-1129.973395625349,-655.6720127009244,136.86480205156107,1897.996682490157,2690.533497242642,3164.834880167067,1305.5290165096023,,,,,,LSEG,2023-02-13,2023-02-14,rw_hl4,a=+78.1 m=0.561 rev=2612 leg=naive; sigma relative n=5 (PIT); street_src=street_pit,1.0
street-bias,street_plus_flowthrough,adj_ebitda_margin_pct,2023Q2,2023-02-14,1,38.94999203257518,38.94999203257518,W1,PIT,6,12,14.542105597293105,19.9331235646228,28.941278214641375,48.95870585050899,57.96686050052756,63.35787846785726,14.838941310856335,,,,,,LSEG,2023-02-13,2023-02-14,rw_hl4,a=+78.1 m=0.561 rev=2612 leg=naive; sigma additive n=7 (PIT); street_src=street_pit,1.0
street-bias,street_plus_flowthrough,adj_ebitda_musd,2023Q1,2023-02-14,0,383.8729097581168,383.8729097581168,W1,PIT,6,12,-154.86013929280912,-35.86910929401323,162.95968457941652,604.7861349368171,803.6149288102467,922.6059588090427,327.52643774716864,,,,,,LSEG,2023-02-13,2023-02-14,ew,a=+78.9 m=0.500 rev=1845 leg=guide_cushion; sigma relative n=6 (PIT); street_src=street_pit,1.0
street-bias,street_plus_flowthrough,adj_ebitda_margin_pct,2023Q1,2023-02-14,0,20.804465120157605,20.804465120157605,W1,PIT,6,12,-15.229613236109127,-7.2706953523388655,6.028307466476342,35.58062277383887,48.87962559265408,56.838543476424334,21.90716411833637,,,,,,LSEG,2023-02-13,2023-02-14,ew,a=+78.9 m=0.500 rev=1845 leg=guide_cushion; sigma additive n=8 (PIT); street_src=street_pit,1.0
street-bias,street_plus_flowthrough,adj_ebitda_musd,2023Q2,2023-02-14,1,1025.9560840608606,1025.9560840608606,W1,PIT,6,12,-1140.806321341993,-662.2292397321695,137.4520800522724,1914.4600880694488,2714.1414078538905,3192.7184894637144,1317.2980074942432,,,,,,LSEG,2023-02-13,2023-02-14,ew,a=+84.6 m=0.568 rev=2612 leg=naive; sigma relative n=5 (PIT); street_src=street_pit,1.0
street-bias,street_plus_flowthrough,adj_ebitda_margin_pct,2023Q2,2023-02-14,1,39.27636510250463,39.27636510250463,W1,PIT,6,12,14.80109659655826,20.20699737459712,29.240020548762256,49.312709656246994,58.34573283041213,63.751633608450994,14.879906701065053,,,,,,LSEG,2023-02-13,2023-02-14,ew,a=+84.6 m=0.568 rev=2612 leg=naive; sigma additive n=7 (PIT); street_src=street_pit,1.0
street-bias,street_plus_flowthrough,adj_ebitda_musd,2023Q1,2023-02-14,0,377.5609469509403,377.5609469509403,W1,PIT,6,12,-150.58594382341,-33.93309946085669,160.98868873398558,594.1332051678951,789.0549933627374,905.7078377252907,321.0905104992252,,,,,,LSEG,2023-02-13,2023-02-14,rw_hl4_usd,a=+68.8 m=0.524 rev=1845 leg=guide_cushion; sigma relative n=6 (PIT); street_src=street_pit,1.0
street-bias,street_plus_flowthrough,adj_ebitda_margin_pct,2023Q1,2023-02-14,0,20.462380522043144,20.462380522043144,W1,PIT,6,12,-15.435431714802913,-7.5066111973115,5.742100242094267,35.18266080199202,48.43137224139779,56.3601927588892,21.824320200076468,,,,,,LSEG,2023-02-13,2023-02-14,rw_hl4_usd,a=+68.8 m=0.524 rev=1845 leg=guide_cushion; sigma additive n=8 (PIT); street_src=street_pit,1.0
street-bias,street_plus_flowthrough,adj_ebitda_musd,2023Q2,2023-02-14,1,1017.430742270859,1017.430742270859,W1,PIT,6,12,-1129.973395625349,-655.6720127009244,136.86480205156107,1897.996682490157,2690.533497242642,3164.834880167067,1305.5290165096023,,,,,,LSEG,2023-02-13,2023-02-14,rw_hl4_usd,a=+78.1 m=0.561 rev=2612 leg=naive; sigma relative n=5 (PIT); street_src=street_pit,1.0
