print_quarter,target_period,value_low,value_high,value_mid,actual,pct_distance_from_mid,beat_vs_mid_pct,beat_vs_high_pct,range_width_pct,wf_cushion_pct
3Q21,4Q21,1390.0,1480.0,1435.0,1532.0,6.76,6.76,3.513513513513522,6.2717770034843205,
4Q21,1Q22,1410.0,1480.0,1445.0,1509.0,4.43,4.43,1.959459459459456,4.844290657439446,
1Q22,2Q22,2030.0,2130.0,2080.0,2104.0,1.15,1.15,-1.2206572769953072,4.8076923076923075,
2Q22,3Q22,2780.0,2880.0,2830.0,2884.0,1.91,1.91,0.1388888888888884,3.5335689045936394,
3Q22,4Q22,1800.0,1880.0,1840.0,1902.0,3.37,3.37,1.1702127659574568,4.3478260869565215,3.17
4Q22,1Q23,1750.0,1820.0,1785.0,1818.0,1.85,1.85,-0.1098901098901095,3.9215686274509802,3.37
1Q23,2Q23,2350.0,2450.0,2400.0,2484.0,3.5,3.5,1.3877551020408108,4.166666666666667,2.64
2Q23,3Q23,3300.0,3400.0,3350.0,3397.0,1.4,1.4,-0.08823529411764452,2.985074626865672,3.37
3Q23,4Q23,2130.0,2170.0,2150.0,2218.0,3.16,3.16,2.211981566820276,1.8604651162790697,2.64
4Q23,1Q24,2030.0,2070.0,2050.0,2142.0,4.49,4.49,3.4782608695652195,1.951219512195122,3.16
1Q24,2Q24,2680.0,2740.0,2710.0,2748.0,1.4,1.4,0.29197080291971655,2.2140221402214024,3.265
2Q24,3Q24,3670.0,3730.0,3700.0,3732.0,0.86,0.86,0.05361930294907058,1.6216216216216217,3.16
3Q24,4Q24,2390.0,2440.0,2415.0,2480.0,2.69,2.69,1.6393442622950838,2.070393374741201,2.535
4Q24,1Q25,2230.0,2270.0,2250.0,2272.0,0.98,0.98,0.08810572687225626,1.7777777777777777,2.69
1Q25,2Q25,2990.0,3050.0,3020.0,3096.0,2.52,2.52,1.5081967213114833,1.9867549668874172,2.3
2Q25,3Q25,4020.0,4100.0,4060.0,4095.0,0.86,0.86,-0.12195121951219523,1.9704433497536946,2.52
3Q25,4Q25,2660.0,2720.0,2690.0,2778.0,3.27,3.27,2.132352941176463,2.2304832713754648,2.215
4Q25,1Q26,2590.0,2630.0,2610.0,2678.0,2.61,2.61,1.8250950570342095,1.5325670498084292,2.52
1Q26,2Q26,3540.0,3600.0,3570.0,3608.0,1.06,1.06,0.22222222222221255,1.680672268907563,2.565
