quarter,section,role,exec,speaker,firm,words,lm_pos,lm_neg,lm_unc,lm_weak_modal,hedge_extra,n_numbers,n_fwd,text_head
2020Q4,prepared,operator,operator,Operator,,61,1,0,0,0,0,0,2,"Good afternoon, and thank you for joining Airbnb's earnings conference call for the fourth quarter of fiscal 2020. As a reminder, this conference call is being "
2020Q4,prepared,ir,ir,Ian Lee,,255,1,0,4,1,0,1,4,"Thank you. Good afternoon, and welcome to Airbnb's fourth-quarter of fiscal 2020 earnings call. On the call today, we have Airbnb's co-founder and CEO, Brian Ch"
2020Q4,prepared,mgmt,ceo,Brian Chesky,,1222,34,6,13,10,0,13,23,"Thank you very much, Ian, and thank you all for joining today. I am excited to share our results for the first time as a public company. I want to start by ackn"
2020Q4,qa,operator,operator,Operator,,12,0,1,0,0,0,0,0,[Operator instructions] Your first question comes from Brian Nowak with Morgan Stanley.
2020Q4,qa,analyst,analyst,Brian Nowak,Morgan Stanley,103,0,1,0,0,0,0,3,"Thanks for taking my questions. I have two. The first one, Brian, I think you brought on quite a few new users to the platform throughout 2020. I was curious, a"
2020Q4,qa,mgmt,ceo,Brian Chesky,,288,8,4,0,0,0,0,0,"Yeah. Thank you for asking the questions. And I'll start, and Dave, you can obviously -- feel free to elaborate. I'll start with the second question. We are see"
2020Q4,qa,analyst,analyst,Brian Nowak,Morgan Stanley,2,0,0,0,0,0,0,0,"Thanks, Brian."
2020Q4,qa,mgmt,ceo,Brian Chesky,,2,0,0,0,0,0,0,0,Thank you.
2020Q4,qa,operator,operator,Operator,,11,0,1,0,0,0,0,0,And your next question comes from Heath Terry with Goldman Sachs.
2020Q4,qa,analyst,analyst,Heath Terry,Goldman Sachs,81,2,0,2,1,0,0,0,"Great. Thanks. Brian, as we do look out to the recovery later this year and beyond, I'd be interested in what you're seeing so far in terms of a more flexible w"
2020Q4,qa,mgmt,ceo,Brian Chesky,,337,3,3,7,3,0,1,7,Yeah. That's a really good question. I want to really underscore this point. Let me kind of -- let me say this. Travel will come back. But when travel comes bac
2020Q4,qa,analyst,analyst,Heath Terry,Goldman Sachs,4,0,0,0,0,0,0,0,"Thanks very much, Brian."
2020Q4,qa,mgmt,ceo,Brian Chesky,,2,0,0,0,0,0,0,0,Thank you.
2020Q4,qa,operator,operator,Operator,,11,0,1,0,0,0,0,0,And your next question comes from Lloyd Walmsley with Deutsche Bank.
2020Q4,qa,analyst,analyst,Lloyd Walmsley,Deutsche Bank,142,4,2,3,3,0,0,3,"Thanks for taking the question. Two if I can. First, Brian, you guys talked about Made possible by Hosts. Can you just talk a little bit more broadly about the "
