sample,kind,feature,horizon,n,pearson_r,spearman_rho,perm_p,loo_r2_vs_mean,mean_excess_above_median,mean_excess_below_median,share_positive_above_median,bh_q,n_tests_total,expected_false_positives_at_5pct
all,change_vs_prior_call,d_theme_long_term_targets_share_total,excess_1d_pct,22,0.567,0.456,0.0086,0.276,2.12,-1.87,0.6,0.29,474,23.7
all,change_vs_prior_call,d_analyst_lm_net_per1k,excess_1d_pct,22,0.47,0.434,0.0254,0.122,3.21,-3.32,0.73,0.318,474,23.7
all,change_vs_prior_call,d_theme_buybacks_sbc_share_total,excess_1d_pct,22,0.429,0.388,0.0472,0.082,4.13,-4.24,0.73,0.357,474,23.7
all,change_vs_prior_call,d_ceo_share_total,excess_20d_pct,21,-0.588,-0.565,0.0054,0.269,-8.38,-1.45,0.1,0.29,474,23.7
all,change_vs_prior_call,d_lm_net_total,excess_20d_pct,21,0.535,0.457,0.0124,0.229,-1.87,-7.37,0.5,0.318,474,23.7
all,change_vs_prior_call,d_lm_net_qa,excess_20d_pct,21,0.475,0.39,0.0294,0.155,-2.05,-7.21,0.5,0.324,474,23.7
all,change_vs_prior_call,d_theme_long_term_targets_share_total,excess_5d_pct,22,0.457,0.417,0.0324,0.147,-0.72,-4.64,0.5,0.334,474,23.7
all,level,theme_international_share_total,excess_1d_pct,23,-0.616,-0.635,0.0022,0.337,-5.15,5.69,0.09,0.29,474,23.7
all,level,theme_international_share_prepared,excess_1d_pct,23,-0.517,-0.581,0.0082,0.153,-4.34,4.95,0.18,0.29,474,23.7
all,level,analyst_lm_net_per1k,excess_1d_pct,23,0.495,0.554,0.018,0.178,3.41,-2.15,0.73,0.318,474,23.7
all,level,theme_long_term_targets_share_prepared,excess_1d_pct,23,0.425,0.391,0.0388,0.116,3.96,-2.66,0.55,0.339,474,23.7
all,level,qa_mgmt_words,excess_20d_pct,22,-0.607,-0.485,0.0042,0.32,-7.77,-1.55,0.09,0.29,474,23.7
all,level,qa_share_of_mgmt_words,excess_20d_pct,22,-0.537,-0.496,0.009,0.234,-7.71,-1.62,0.18,0.29,474,23.7
all,level,theme_marketing_share_total,excess_20d_pct,22,-0.5,-0.371,0.0152,0.184,-6.92,-2.41,0.18,0.318,474,23.7
all,level,prepared_words,excess_20d_pct,22,0.468,0.41,0.0332,0.133,-2.05,-7.28,0.36,0.335,474,23.7
all,level,qa_mgmt_words,excess_5d_pct,23,-0.544,-0.451,0.0062,0.246,-5.83,0.25,0.27,0.29,474,23.7
all,level,theme_long_term_targets_share_prepared,excess_5d_pct,23,0.507,0.568,0.0126,0.159,2.58,-7.46,0.64,0.318,474,23.7
all,level,qa_share_of_mgmt_words,excess_5d_pct,23,-0.505,-0.428,0.017,0.168,-6.35,0.73,0.18,0.318,474,23.7
all,level,n_declines_hand_verified,excess_5d_pct,23,0.456,0.37,0.0242,0.11,1.39,-5.26,0.56,0.318,474,23.7
all,level,theme_ai_share_prepared,excess_5d_pct,23,0.483,0.328,0.025,0.029,2.32,-4.41,0.5,0.318,474,23.7
all,level,prepared_words,excess_5d_pct,23,0.459,0.356,0.0278,0.105,1.05,-6.06,0.55,0.321,474,23.7
all,level,theme_long_term_targets_share_total,excess_5d_pct,23,0.461,0.301,0.031,0.089,-0.08,-5.02,0.55,0.329,474,23.7
all,level,theme_competition_share_prepared,excess_5d_pct,23,0.451,0.36,0.0312,0.006,0.95,-5.43,0.6,0.329,474,23.7
all,level,theme_international_share_total,excess_5d_pct,23,-0.436,-0.37,0.0342,0.093,-7.66,1.93,0.09,0.338,474,23.7
all,level,theme_marketing_share_total,excess_5d_pct,23,-0.44,-0.311,0.0354,0.097,-5.06,-0.45,0.27,0.339,474,23.7
all,level,theme_take_rate_fees_share_total,excess_5d_pct,23,0.432,0.315,0.0404,0.014,0.77,-5.8,0.36,0.339,474,23.7
post2022,change_vs_prior_call,d_theme_long_term_targets_share_total,excess_1d_pct,14,0.649,0.512,0.009,0.325,1.17,-4.5,0.57,0.29,474,23.7
post2022,change_vs_prior_call,d_theme_take_rate_fees_share_total,excess_1d_pct,14,0.56,0.502,0.0374,0.25,2.57,-5.9,0.43,0.339,474,23.7
post2022,change_vs_prior_call,d_theme_margins_profitability_share_total,excess_1d_pct,14,0.545,0.591,0.0442,0.199,2.77,-6.1,0.57,0.343,474,23.7
post2022,change_vs_prior_call,d_lm_net_total,excess_20d_pct,13,0.663,0.637,0.0134,0.331,-0.37,-9.14,0.5,0.318,474,23.7
post2022,change_vs_prior_call,d_theme_take_rate_fees_share_total,excess_20d_pct,13,0.619,0.511,0.0228,0.275,-2.73,-7.11,0.33,0.318,474,23.7
post2022,change_vs_prior_call,d_lm_net_qa,excess_20d_pct,13,0.599,0.533,0.0262,0.206,0.03,-9.49,0.5,0.318,474,23.7
post2022,change_vs_prior_call,d_theme_new_businesses_share_total,excess_20d_pct,13,-0.576,-0.407,0.0436,0.145,-9.92,-0.96,0.0,0.343,474,23.7
post2022,change_vs_prior_call,d_ceo_share_total,excess_20d_pct,13,-0.564,-0.516,0.0474,0.151,-7.68,-2.87,0.17,0.357,474,23.7
post2022,level,theme_long_term_targets_share_prepared,excess_1d_pct,14,0.769,0.718,0.0008,0.533,3.54,-6.87,0.57,0.29,474,23.7
post2022,level,theme_long_term_targets_share_total,excess_1d_pct,14,0.709,0.629,0.0036,0.421,3.03,-6.36,0.57,0.29,474,23.7
post2022,level,theme_international_share_total,excess_1d_pct,14,-0.709,-0.727,0.0046,0.4,-5.93,2.6,0.0,0.29,474,23.7
post2022,level,theme_take_rate_fees_share_total,excess_1d_pct,14,0.699,0.627,0.0054,0.311,3.6,-6.93,0.43,0.29,474,23.7
post2022,level,theme_competition_share_prepared,excess_1d_pct,14,0.678,0.641,0.0098,0.359,2.29,-5.61,0.43,0.29,474,23.7
post2022,level,n_numbers_prepared,excess_1d_pct,14,0.59,0.678,0.0212,0.222,3.21,-6.54,0.57,0.318,474,23.7
post2022,level,analyst_lm_net_per1k,excess_1d_pct,14,0.592,0.512,0.0228,0.197,2.31,-5.64,0.57,0.318,474,23.7
post2022,level,ceo_share_prepared,excess_1d_pct,14,-0.588,-0.563,0.0236,0.202,-6.87,3.54,0.0,0.318,474,23.7
post2022,level,theme_margins_profitability_share_prepared,excess_1d_pct,14,0.593,0.521,0.0292,0.263,2.73,-6.06,0.43,0.324,474,23.7
post2022,level,theme_marketing_share_total,excess_1d_pct,14,-0.55,-0.521,0.0408,0.152,-4.14,0.81,0.14,0.339,474,23.7
post2022,level,theme_ai_share_prepared,excess_1d_pct,14,0.529,0.506,0.0416,0.008,1.42,-3.98,0.5,0.34,474,23.7
post2022,level,qa_share_of_mgmt_words,excess_1d_pct,14,-0.542,-0.642,0.0484,0.158,-5.67,2.34,0.14,0.358,474,23.7
post2022,level,qa_share_of_mgmt_words,excess_20d_pct,13,-0.635,-0.542,0.0208,0.286,-9.38,-1.41,0.0,0.318,474,23.7
post2022,level,n_numbers_prepared,excess_20d_pct,13,0.62,0.567,0.0226,0.129,0.57,-9.94,0.5,0.318,474,23.7
post2022,level,qa_mgmt_words,excess_20d_pct,13,-0.611,-0.445,0.0276,0.242,-9.38,-1.41,0.0,0.321,474,23.7
post2022,level,theme_marketing_share_total,excess_20d_pct,13,-0.577,-0.459,0.0372,0.188,-8.48,-2.19,0.17,0.339,474,23.7
post2022,level,prepared_words,excess_20d_pct,13,0.573,0.5,0.0376,0.172,0.35,-9.76,0.5,0.339,474,23.7
post2022,level,theme_competition_share_total,excess_20d_pct,13,0.572,0.677,0.0424,0.215,-1.65,-8.04,0.33,0.341,474,23.7
post2022,level,theme_marketing_share_total,excess_5d_pct,14,-0.687,-0.517,0.0048,0.344,-7.11,1.26,0.14,0.29,474,23.7
post2022,level,qa_mgmt_words,excess_5d_pct,14,-0.661,-0.596,0.0062,0.369,-7.34,1.49,0.29,0.29,474,23.7
post2022,level,qa_share_of_mgmt_words,excess_5d_pct,14,-0.651,-0.612,0.0096,0.299,-8.6,2.74,0.14,0.29,474,23.7
