target,driver,lag,window,n,slope,intercept,r,p,spearman,perm_p,loo_rmse,naive_rmse,loo_mean_rmse
adr_fx,usd_broad,0,post22,14,-0.5925,0.7285,-0.9508,0.0,-0.967,0.001,0.7649,2.053,2.2868
adr_fx,eurusd,0,post22,14,0.4602,-0.6073,0.9721,0.0,0.9824,0.001,0.5722,2.053,2.2868
rev_fx,usd_broad,0,post22,13,-0.5348,0.3959,-0.7959,0.0011,-0.8405,0.001,1.6342,2.1985,2.4608
rev_fx,eurusd,0,post22,13,0.3593,-0.5979,0.7141,0.0061,0.699,0.008,1.8468,2.1985,2.4608
rev_fx,usd_broad,1,post22,13,-0.444,0.8515,-0.8053,0.0009,-0.7726,0.002,1.5503,2.1985,2.4608
rev_fx,eurusd,1,post22,13,0.3128,-0.0795,0.8156,0.0007,0.8179,0.001,1.4704,2.1985,2.4608
rev_fx,usd_broad,2,post22,13,-0.305,1.1404,-0.5531,0.0499,-0.5236,0.046,2.2477,2.1985,2.4608
rev_fx,eurusd,2,post22,13,0.1884,0.5394,0.5666,0.0435,0.5575,0.039,2.241,2.1985,2.4608
adr_fx,usd_broad,0,ex21,17,-0.7154,0.5246,-0.9641,0.0,-0.9791,0.001,0.9905,2.0447,3.4714
adr_fx,eurusd,0,ex21,17,0.4512,-0.5687,0.9901,0.0,0.9902,0.001,0.5072,2.0447,3.4714
rev_fx,usd_broad,0,ex21,17,-0.719,-0.0353,-0.9038,0.0,-0.9218,0.001,1.6982,2.1213,3.707
rev_fx,eurusd,0,ex21,17,0.4297,-0.9442,0.9073,0.0,0.8634,0.001,1.6246,2.1213,3.707
rev_fx,usd_broad,1,ex21,17,-0.6264,0.0176,-0.773,0.0003,-0.8063,0.001,2.4396,2.1213,3.707
rev_fx,eurusd,1,ex21,17,0.4242,-0.7328,0.8986,0.0,0.9044,0.001,1.6794,2.1213,3.707
rev_fx,usd_broad,2,ex21,17,-0.3032,-0.4236,-0.3468,0.1726,-0.3839,0.1648,3.6558,2.1213,3.707
rev_fx,eurusd,2,ex21,17,0.3194,-0.6282,0.6252,0.0073,0.6572,0.006,3.0402,2.1213,3.707
rev_fx,usd_broad_avg01,0,post22,13,-0.5739,0.6502,-0.8712,0.0001,-0.8802,0.001,1.2868,2.1985,2.4608
rev_fx,usd_broad_avg12,0,post22,13,-0.4208,1.0895,-0.72,0.0055,-0.7471,0.003,1.8246,2.1985,2.4608
rev_fx,eurusd_avg01,0,post22,13,0.4148,-0.5455,0.8575,0.0002,0.8575,0.001,1.3411,2.1985,2.4608
rev_fx,eurusd_avg12,0,post22,13,0.2684,0.2632,0.7169,0.0058,0.6424,0.006,1.8133,2.1985,2.4608
rev_fx,eurusd_avg012,0,post22,13,0.3715,-0.1277,0.8062,0.0009,0.8405,0.003,1.5033,2.1985,2.4608
rev_fx,usd_broad_avg01,0,ex21,17,-0.7653,0.1266,-0.8943,0.0,-0.8895,0.001,1.724,2.1213,3.707
rev_fx,usd_broad_avg12,0,ex21,17,-0.5511,-0.0491,-0.6101,0.0093,-0.6199,0.008,3.0552,2.1213,3.707
rev_fx,eurusd_avg01,0,ex21,17,0.4733,-0.8266,0.9507,0.0,0.9342,0.001,1.2176,2.1213,3.707
rev_fx,eurusd_avg12,0,ex21,17,0.4133,-0.6371,0.804,0.0001,0.7939,0.001,2.3038,2.1213,3.707
rev_fx,eurusd_avg012,0,ex21,17,0.493,-0.7006,0.9103,0.0,0.9144,0.001,1.606,2.1213,3.707
