quarter,demand_eq,demand_n_components,z_eu_platform_yoy_lag1,z_pr_hotel_revpar_yoy,z_mx_air_rpm_yoy_lag1,z_mx_bea_hotels_nominal_yoy,z_ia_reviews_ltm_matched_yoy,z_tr_us_share_yoy_pts,z_tr_ww_airbnb_yoy
2021Q1,,0,,,,,,,
2021Q2,,0,,,,,,,
2021Q3,,0,,,,,,,
2021Q4,0.056,6,0.2,0.06,-0.113,0.116,,-0.396,0.47
2022Q1,0.302,6,0.94,-0.145,-0.325,-0.038,,0.283,1.093
2022Q2,0.251,6,1.057,-0.364,-0.379,-0.3,,0.919,0.572
2022Q3,0.079,6,0.82,-0.612,-0.413,-0.546,,0.691,0.533
2022Q4,-0.231,6,-0.351,-0.625,-0.432,-0.489,,0.339,0.171
2023Q1,-0.366,6,-0.292,-0.524,-0.423,-0.431,,0.02,-0.547
2023Q2,-0.503,6,-0.329,-0.705,-0.393,-0.682,,0.108,-1.017
2023Q3,-0.425,6,-0.414,-0.715,-0.393,-0.675,,0.392,-0.748
2023Q4,-0.357,6,-0.526,-0.687,-0.378,-0.693,,0.686,-0.546
2024Q1,-0.326,6,-0.393,-0.69,-0.37,-0.678,,0.765,-0.592
2024Q2,-0.289,6,-0.305,-0.642,-0.364,-0.688,,0.623,-0.356
2024Q3,-0.58,7,-0.457,-0.638,-0.351,-0.701,-1.212,-0.115,-0.59
2024Q4,-0.582,7,-0.415,-0.584,-0.349,-0.673,-1.181,-0.356,-0.513
2025Q1,-0.582,7,-0.41,-0.574,-0.342,-0.706,-0.778,-0.337,-0.929
2025Q2,-0.594,7,-0.557,-0.593,-0.336,-0.628,-0.857,-0.253,-0.931
2025Q3,-0.57,7,-0.37,-0.584,-0.329,-0.592,-0.862,-0.876,-0.377
2025Q4,-0.432,7,-0.48,-0.543,-0.317,-0.553,-0.166,-1.003,0.038
2026Q1,-0.489,7,-0.449,-0.486,-0.31,-0.463,-0.517,-0.935,-0.259
2026Q2,-0.509,7,-0.456,-0.477,-0.298,-0.399,-0.122,-1.368,-0.442
2026Q3,-0.325,4,,,,-0.391,0.145,-0.099,-0.957
