date,term,value_raw,geo,payload,window,value_stitched,stitch_ratio_B_to_A
2019-01-06,airbnb,58,US,P1_peers,A,58.0,1.0
2019-01-13,airbnb,58,US,P1_peers,A,58.0,1.0
2019-01-20,airbnb,56,US,P1_peers,A,56.0,1.0
2019-01-27,airbnb,56,US,P1_peers,A,56.0,1.0
2019-02-03,airbnb,53,US,P1_peers,A,53.0,1.0
2019-02-10,airbnb,56,US,P1_peers,A,56.0,1.0
2019-02-17,airbnb,61,US,P1_peers,A,61.0,1.0
2019-02-24,airbnb,58,US,P1_peers,A,58.0,1.0
2019-03-03,airbnb,58,US,P1_peers,A,58.0,1.0
2019-03-10,airbnb,55,US,P1_peers,A,55.0,1.0
2019-03-17,airbnb,59,US,P1_peers,A,59.0,1.0
2019-03-24,airbnb,58,US,P1_peers,A,58.0,1.0
2019-03-31,airbnb,55,US,P1_peers,A,55.0,1.0
2019-04-07,airbnb,55,US,P1_peers,A,55.0,1.0
2019-04-14,airbnb,54,US,P1_peers,A,54.0,1.0
2019-04-21,airbnb,57,US,P1_peers,A,57.0,1.0
2019-04-28,airbnb,57,US,P1_peers,A,57.0,1.0
2019-05-05,airbnb,57,US,P1_peers,A,57.0,1.0
2019-05-12,airbnb,62,US,P1_peers,A,62.0,1.0
2019-05-19,airbnb,68,US,P1_peers,A,68.0,1.0
2019-05-26,airbnb,71,US,P1_peers,A,71.0,1.0
2019-06-02,airbnb,74,US,P1_peers,A,74.0,1.0
2019-06-09,airbnb,76,US,P1_peers,A,76.0,1.0
2019-06-16,airbnb,74,US,P1_peers,A,74.0,1.0
2019-06-23,airbnb,75,US,P1_peers,A,75.0,1.0
2019-06-30,airbnb,74,US,P1_peers,A,74.0,1.0
2019-07-07,airbnb,72,US,P1_peers,A,72.0,1.0
2019-07-14,airbnb,79,US,P1_peers,A,79.0,1.0
2019-07-21,airbnb,78,US,P1_peers,A,78.0,1.0
2019-07-28,airbnb,71,US,P1_peers,A,71.0,1.0
2019-08-04,airbnb,70,US,P1_peers,A,70.0,1.0
2019-08-11,airbnb,70,US,P1_peers,A,70.0,1.0
2019-08-18,airbnb,65,US,P1_peers,A,65.0,1.0
2019-08-25,airbnb,62,US,P1_peers,A,62.0,1.0
2019-09-01,airbnb,57,US,P1_peers,A,57.0,1.0
2019-09-08,airbnb,54,US,P1_peers,A,54.0,1.0
2019-09-15,airbnb,58,US,P1_peers,A,58.0,1.0
2019-09-22,airbnb,58,US,P1_peers,A,58.0,1.0
2019-09-29,airbnb,56,US,P1_peers,A,56.0,1.0
2019-10-06,airbnb,52,US,P1_peers,A,52.0,1.0
2019-10-13,airbnb,57,US,P1_peers,A,57.0,1.0
2019-10-20,airbnb,56,US,P1_peers,A,56.0,1.0
2019-10-27,airbnb,49,US,P1_peers,A,49.0,1.0
2019-11-03,airbnb,62,US,P1_peers,A,62.0,1.0
2019-11-10,airbnb,50,US,P1_peers,A,50.0,1.0
2019-11-17,airbnb,48,US,P1_peers,A,48.0,1.0
2019-11-24,airbnb,43,US,P1_peers,A,43.0,1.0
2019-12-01,airbnb,48,US,P1_peers,A,48.0,1.0
2019-12-08,airbnb,45,US,P1_peers,A,45.0,1.0
2019-12-15,airbnb,47,US,P1_peers,A,47.0,1.0
2019-12-22,airbnb,54,US,P1_peers,A,54.0,1.0
2019-12-29,airbnb,64,US,P1_peers,A,64.0,1.0
2020-01-05,airbnb,65,US,P1_peers,A,65.0,1.0
2020-01-12,airbnb,65,US,P1_peers,A,65.0,1.0
2020-01-19,airbnb,63,US,P1_peers,A,63.0,1.0
2020-01-26,airbnb,60,US,P1_peers,A,60.0,1.0
2020-02-02,airbnb,63,US,P1_peers,A,63.0,1.0
2020-02-09,airbnb,67,US,P1_peers,A,67.0,1.0
2020-02-16,airbnb,69,US,P1_peers,A,69.0,1.0
2020-02-23,airbnb,66,US,P1_peers,A,66.0,1.0
2020-03-01,airbnb,63,US,P1_peers,A,63.0,1.0
