print_quarter,print_date,column,old_value,new_value,vendor,n_analysts,source_publisher,source_date,source_url,quote,confidence,notes
2024Q2,2024-08-06,next_q_cons_revenue_musd,,3840,LSEG,,Reuters,2024-08-06,https://www.reuters.com/markets/technology/airbnb-forecasts-lower-third-quarter-revenue-economic-uncertainty-weighs-2024-08-06/,"It expects third-quarter revenue to be between $3.67 billion and $3.73 billion, below analysts' estimate of $3.84 billion.",high,"Fills the single next-quarter gap WS04 flagged. Corroborated same day by The Times (""third-quarter revenue of between $3.67 billion and $3.73 billion was below analysts' estimates of $3.84 billion"") and by The Globe and Mail / ThePrint, both of which attribute the $3.84bn to LSEG."
2024Q2,2024-08-06,next_q_cons_vendor,,LSEG,LSEG,,The Globe and Mail (Reuters syndication),2024-08-06,https://www.theglobeandmail.com/business/article-airbnb-forecasts-lower-third-quarter-revenue-as-economic-uncertainty/,"below analysts' estimate of $3.84 billion, according to LSEG",high,Vendor attribution.
2024Q2,2024-08-06,guide_vs_street_pct,,-3.646,derived,,derived,2026-09-06,,"guide midpoint 3,700 vs Street 3,840",high,"Derived: (3700/3840-1)*100. This becomes the largest below-Street guide in the sample."
2024Q2,2024-08-06,guide_vs_street_sign,,-1,derived,,derived,2026-09-06,,,high,Guide midpoint below Street.
2020Q4,2021-02-25,cons_eps_usd,,-8.40,FactSet,,MarketWatch,2021-02-26,https://www.marketwatch.com/story/airbnb-lost-nearly-4-billion-during-holiday-quarter-but-sales-held-up-better-than-expected-11614289640,"Analysts surveyed by FactSet had forecast a loss of $8.40 a share on revenue of $739.4 million.",medium,"Corroborated by Investor's Business Daily, 25 Feb 2021: ""Wall Street expected Airbnb to report a loss of $8.40 a share on revenue of $747 million, according to FactSet."" MarketWatch's preview says the consensus loss was ""largely thanks to stock compensation costs from Airbnb's IPO"", i.e. the estimate and the actual are on the same GAAP-including-SBC basis. CNBC declined to compare; Zacks' -$9.18 is a pre-IPO share-count artefact and is NOT used."
2020Q4,2021-02-25,actual_eps_usd,,-11.24,reported,,CNBC,2021-02-25,https://www.cnbc.com/2021/02/25/airbnb-abnb-earnings-q4-2020.html,"Revenue: $859 million vs. $748 million forecast by Refinitiv; Loss per share: $11.24",high,GAAP diluted loss per share as reported.
2020Q4,2021-02-25,eps_basis,n/a,"GAAP incl. IPO stock-comp (FactSet basis)",FactSet,,,2026-09-06,,,medium,
2020Q4,2021-02-25,eps_comparable,0,1,,,,2026-09-06,,,medium,"Flipped to comparable because both sides are GAAP-including-SBC. See the note for the sensitivity run with this row left at 0."
2021Q1,2021-05-13,cons_eps_usd,,-1.07,FactSet,27,Associated Press (via KSAT),2021-05-13,https://www.ksat.com/business/2021/05/13/airbnb-reports-1q-loss-of-nearly-12-billion-revenue-rises/,"Wall Street expected a loss of $717 million, or $1.07 per share, according to a FactSet survey of 27 analysts.",high,CNBC quoted the reported loss of $1.95 without an estimate; the AP wire carried the FactSet number.
2021Q1,2021-05-13,actual_eps_usd,,-1.95,reported,,CNBC,2021-05-13,https://www.cnbc.com/2021/05/13/airbnb-abnb-earnings-q1-2021.html,"Earnings: Loss of $1.95 per share; Revenue: $886.9 million, vs. $714.4 million as expected by analysts, according to Refinitiv.",high,
2021Q1,2021-05-13,eps_basis,n/a,GAAP (FactSet survey of 27),FactSet,27,,2026-09-06,,,high,
2021Q1,2021-05-13,eps_comparable,0,1,,,,2026-09-06,,,high,
2021Q2,2021-08-12,cons_eps_usd,,-0.41,broker consensus (unattributed vendor),,RoboForex market review,2021-08-16,https://roboforex.com/beginners/analysis/quarterly-reports-of-walt-disney-airbnb-and-palantir/,"Loss on stock - $0.11, -86%, forecast - $0.41",low,"Weakest row in this file. Corroborated only indirectly: WSJ, 12 Aug 2021, ""Airbnb's net loss narrowed to $68 million in the second quarter... Analysts had expected a loss of $254 million"" - $254m over ~626m diluted shares is about -$0.41/share, which matches. No tier-1 publisher quoted a per-share estimate for this print."
2021Q2,2021-08-12,actual_eps_usd,,-0.11,reported,,Airbnb 8-K Ex.99.1 / WSJ,2021-08-12,https://www.wsj.com/articles/airbnb-revenue-nearly-quadrupled-in-second-quarter-11628800251,"Airbnb's net loss narrowed to $68 million in the second quarter",high,-$68m / ~626m diluted shares.
2021Q2,2021-08-12,eps_basis,n/a,GAAP (press consensus; low confidence),,,,2026-09-06,,,low,
2021Q2,2021-08-12,eps_comparable,0,1,,,,2026-09-06,,,low,"Include only with the low-confidence flag; the note reports the run with this row excluded."
2026Q2,2026-08-06,cons_nights_m,,145.44,Zacks (S&P Global panel),7,Zacks Equity Research,2026-08-03,https://www.zacks.com/stock/news/2966456/wall-streets-insights-into-key-metrics-ahead-of-airbnb-abnb-q2-earnings,"It is projected by analysts that the 'Nights and Experiences Booked' will reach 145.44 million. The estimate compares to the year-ago value of 134.00 million.",high,"Post-print confirmation, Zacks 6 Aug 2026: ""Nights and Experiences Booked: 148.3 million compared to the 145.44 million average estimate based on seven analysts."" Fills a WS04 gap; note the vendor is Zacks, not StreetAccount, so it is not strictly the same series as the other 17 nights rows."
2026Q2,2026-08-06,nights_surprise_pct,,1.966,derived,,derived,2026-09-06,,148.3 vs 145.44,high,
2026Q2,2026-08-06,cons_gbv_busd,,26.42,Zacks (S&P Global panel),,Zacks Equity Research,2026-08-03,https://www.zacks.com/stock/news/2966456/wall-streets-insights-into-key-metrics-ahead-of-airbnb-abnb-q2-earnings,"Analysts forecast 'Gross Booking Value' to reach $26.42 billion.",high,"Barron's, 7 Aug 2026, independently reports the GBV bar as $26.45bn (""surpassed the $26.45 billion analysts expected"") - a 0.1% vendor gap."
2026Q2,2026-08-06,gbv_surprise_pct,,2.952,derived,,derived,2026-09-06,,27.2 vs 26.42,high,
2026Q2,2026-08-06,cons_adr,,181.56,Zacks (S&P Global panel),,Zacks Equity Research,2026-08-03,https://www.zacks.com/stock/news/2966456/wall-streets-insights-into-key-metrics-ahead-of-airbnb-abnb-q2-earnings,"The consensus estimate for 'Gross Booking Value per Night and Experience Booked (ADR)' stands at $181.56. The estimate is in contrast to the year-ago figure of $174.48.",high,"First ADR consensus ever located for ABNB. Implied actual 27.2bn/148.3m = $183.41, i.e. a +1.0% ADR beat."
2026Q1,2026-05-07,cons_adr,,178.54,Zacks (S&P Global panel),6,Zacks Equity Research,2026-05-07,https://www.zacks.com/stock/news/2917455/airbnb-abnb-reports-q1-earnings-what-key-metrics-have-to-say,"Gross Booking Value per Night and Experience Booked (ADR): $186.82 versus the six-analyst average estimate of $178.54.",high,ADR beat +4.6%.
2025Q4,2026-02-12,cons_adr,,165.52,Zacks (S&P Global panel),6,Zacks Equity Research (via AInvest),2026-02-12,https://www.ainvest.com/news/airbnb-abnb-reports-q4-earnings-key-metrics-2602/,"Gross Booking Value per Night and Experience Booked (ADR): $167.51 versus the six-analyst average estimate of $165.52.",high,ADR beat +1.2%.
2025Q3,2025-11-06,cons_adr,,166.67,Zacks (S&P Global panel),6,Zacks Equity Research (via Nasdaq),2025-11-06,https://www.nasdaq.com/articles/airbnb-abnb-reports-q3-earnings-what-key-metrics-have-say,"Gross Booking Value per Night and Experience Booked (ADR): $171.29 compared to the $166.67 average estimate based on six analysts.",high,ADR beat +2.8%.
2025Q1,2025-05-01,cons_adr,,170.55,Zacks (S&P Global panel),7,Zacks Equity Research (via Yahoo Finance),2025-05-01,https://finance.yahoo.com/news/compared-estimates-airbnb-abnb-q1-213006095.html,"Gross Booking Value per Night and Experience Booked (ADR): $171.34 versus the seven-analyst average estimate of $170.55.",high,ADR beat +0.5%.
