sheet,address,formula,excel_value,evaluator_value,abs_diff,rel_diff,pass_1e6,note
Inputs,F8,"=CHOOSE(Inputs!$B$4,C8,D8,E8)",181.94,181.94,0.0,0.0,yes,
Inputs,F9,"=CHOOSE(Inputs!$B$4,C9,D9,E9)",9593.0,9593.0,0.0,0.0,yes,
Inputs,F10,"=CHOOSE(Inputs!$B$4,C10,D10,E10)",597.0,597.0,0.0,0.0,yes,
Inputs,F11,"=CHOOSE(Inputs!$B$4,C11,D11,E11)",0.105,0.105,0.0,0.0,yes,
Inputs,F12,"=CHOOSE(Inputs!$B$4,C12,D12,E12)",0.03,0.03,0.0,0.0,yes,
Inputs,F13,"=CHOOSE(Inputs!$B$4,C13,D13,E13)",0.09,0.09,0.0,0.0,yes,
Inputs,F14,"=CHOOSE(Inputs!$B$4,C14,D14,E14)",16.5,16.5,0.0,0.0,yes,
Inputs,F15,"=CHOOSE(Inputs!$B$4,C15,D15,E15)",14.3,14.3,0.0,0.0,yes,
Inputs,F16,"=CHOOSE(Inputs!$B$4,C16,D16,E16)",19.5,19.5,0.0,0.0,yes,
Inputs,F17,"=CHOOSE(Inputs!$B$4,C17,D17,E17)",19.5,19.5,0.0,0.0,yes,
Inputs,F18,"=CHOOSE(Inputs!$B$4,C18,D18,E18)",0.35,0.35,0.0,0.0,yes,
Inputs,F19,"=CHOOSE(Inputs!$B$4,C19,D19,E19)",0.05,0.05,0.0,0.0,yes,
Inputs,F20,"=CHOOSE(Inputs!$B$4,C20,D20,E20)",0.7,0.7,0.0,0.0,yes,
Inputs,F21,"=CHOOSE(Inputs!$B$4,C21,D21,E21)",0.38,0.38,0.0,0.0,yes,
Inputs,F22,"=CHOOSE(Inputs!$B$4,C22,D22,E22)",10.0,10.0,0.0,0.0,yes,
Inputs,F26,"=CHOOSE(Inputs!$B$4,C26,D26,E26)",0.0,0.0,0.0,0.0,yes,
Inputs,F27,"=CHOOSE(Inputs!$B$4,C27,D27,E27)",0.0,0.0,0.0,0.0,yes,
Inputs,F28,"=CHOOSE(Inputs!$B$4,C28,D28,E28)",-0.05,-0.05,0.0,0.0,yes,
Inputs,F29,"=CHOOSE(Inputs!$B$4,C29,D29,E29)",0.11,0.11,0.0,0.0,yes,
Inputs,F30,"=CHOOSE(Inputs!$B$4,C30,D30,E30)",0.25,0.25,0.0,0.0,yes,
Inputs,F31,"=CHOOSE(Inputs!$B$4,C31,D31,E31)",0.18,0.18,0.0,0.0,yes,
Inputs,F32,"=CHOOSE(Inputs!$B$4,C32,D32,E32)",0.02,0.02,0.0,0.0,yes,
Inputs,F33,"=CHOOSE(Inputs!$B$4,C33,D33,E33)",0.009,0.009,0.0,0.0,yes,
