market,interval,snapshot0,snapshot1,listing_id,init_u,reopened
barwon-south-west-vic,1,2025-09-28,2025-12-29,2645437,9,0
barwon-south-west-vic,1,2025-09-28,2025-12-29,3457520,3,0
barwon-south-west-vic,1,2025-09-28,2025-12-29,3468854,29,0
barwon-south-west-vic,1,2025-09-28,2025-12-29,4008282,7,0
barwon-south-west-vic,1,2025-09-28,2025-12-29,4138172,7,0
barwon-south-west-vic,1,2025-09-28,2025-12-29,4313652,5,0
barwon-south-west-vic,1,2025-09-28,2025-12-29,5252936,19,0
barwon-south-west-vic,1,2025-09-28,2025-12-29,5625754,8,0
barwon-south-west-vic,1,2025-09-28,2025-12-29,5919142,2,0
barwon-south-west-vic,1,2025-09-28,2025-12-29,6914330,14,0
barwon-south-west-vic,1,2025-09-28,2025-12-29,7038977,7,0
barwon-south-west-vic,1,2025-09-28,2025-12-29,8343054,17,0
barwon-south-west-vic,1,2025-09-28,2025-12-29,8509256,5,0
barwon-south-west-vic,1,2025-09-28,2025-12-29,8595565,7,0
barwon-south-west-vic,1,2025-09-28,2025-12-29,9639799,7,0
barwon-south-west-vic,1,2025-09-28,2025-12-29,10026127,2,0
barwon-south-west-vic,1,2025-09-28,2025-12-29,10181339,8,0
barwon-south-west-vic,1,2025-09-28,2025-12-29,10435371,9,3
barwon-south-west-vic,1,2025-09-28,2025-12-29,10543976,13,2
barwon-south-west-vic,1,2025-09-28,2025-12-29,11345219,17,0
barwon-south-west-vic,1,2025-09-28,2025-12-29,11926140,32,0
barwon-south-west-vic,1,2025-09-28,2025-12-29,11945828,10,0
barwon-south-west-vic,1,2025-09-28,2025-12-29,12833673,10,0
barwon-south-west-vic,1,2025-09-28,2025-12-29,13005917,19,0
barwon-south-west-vic,1,2025-09-28,2025-12-29,14302712,5,0
barwon-south-west-vic,1,2025-09-28,2025-12-29,15134396,8,6
barwon-south-west-vic,1,2025-09-28,2025-12-29,15459111,1,0
barwon-south-west-vic,1,2025-09-28,2025-12-29,15946251,9,0
barwon-south-west-vic,1,2025-09-28,2025-12-29,16089038,11,0
barwon-south-west-vic,1,2025-09-28,2025-12-29,16165079,20,12
barwon-south-west-vic,1,2025-09-28,2025-12-29,16484197,2,0
barwon-south-west-vic,1,2025-09-28,2025-12-29,17160637,17,0
barwon-south-west-vic,1,2025-09-28,2025-12-29,17574789,8,0
barwon-south-west-vic,1,2025-09-28,2025-12-29,17718664,19,0
barwon-south-west-vic,1,2025-09-28,2025-12-29,18587510,5,0
barwon-south-west-vic,1,2025-09-28,2025-12-29,18764700,6,4
barwon-south-west-vic,1,2025-09-28,2025-12-29,19513953,4,0
barwon-south-west-vic,1,2025-09-28,2025-12-29,19972126,11,1
barwon-south-west-vic,1,2025-09-28,2025-12-29,20205005,3,0
barwon-south-west-vic,1,2025-09-28,2025-12-29,20205092,11,0
barwon-south-west-vic,1,2025-09-28,2025-12-29,20205270,3,0
barwon-south-west-vic,1,2025-09-28,2025-12-29,20484531,15,6
barwon-south-west-vic,1,2025-09-28,2025-12-29,21098892,5,0
barwon-south-west-vic,1,2025-09-28,2025-12-29,21180577,23,0
barwon-south-west-vic,1,2025-09-28,2025-12-29,21382782,5,0
barwon-south-west-vic,1,2025-09-28,2025-12-29,21383340,15,0
barwon-south-west-vic,1,2025-09-28,2025-12-29,21383641,17,3
barwon-south-west-vic,1,2025-09-28,2025-12-29,21552304,9,0
barwon-south-west-vic,1,2025-09-28,2025-12-29,21552988,6,0
barwon-south-west-vic,1,2025-09-28,2025-12-29,21586530,3,0
barwon-south-west-vic,1,2025-09-28,2025-12-29,21729378,12,0
barwon-south-west-vic,1,2025-09-28,2025-12-29,21802858,15,7
barwon-south-west-vic,1,2025-09-28,2025-12-29,22113882,4,0
barwon-south-west-vic,1,2025-09-28,2025-12-29,22403365,5,5
barwon-south-west-vic,1,2025-09-28,2025-12-29,22474762,8,0
barwon-south-west-vic,1,2025-09-28,2025-12-29,22508824,12,0
barwon-south-west-vic,1,2025-09-28,2025-12-29,22622293,5,0
barwon-south-west-vic,1,2025-09-28,2025-12-29,22670958,11,0
barwon-south-west-vic,1,2025-09-28,2025-12-29,22692079,17,0
barwon-south-west-vic,1,2025-09-28,2025-12-29,23360213,5,1
barwon-south-west-vic,1,2025-09-28,2025-12-29,23419180,15,0
barwon-south-west-vic,1,2025-09-28,2025-12-29,23531029,3,0
barwon-south-west-vic,1,2025-09-28,2025-12-29,23531426,21,0
barwon-south-west-vic,1,2025-09-28,2025-12-29,23532762,17,0
barwon-south-west-vic,1,2025-09-28,2025-12-29,23599315,2,0
barwon-south-west-vic,1,2025-09-28,2025-12-29,23997042,27,0
barwon-south-west-vic,1,2025-09-28,2025-12-29,24212670,21,0
barwon-south-west-vic,1,2025-09-28,2025-12-29,24897936,8,0
barwon-south-west-vic,1,2025-09-28,2025-12-29,26111429,30,1
barwon-south-west-vic,1,2025-09-28,2025-12-29,26672189,5,1
barwon-south-west-vic,1,2025-09-28,2025-12-29,28040749,1,0
barwon-south-west-vic,1,2025-09-28,2025-12-29,28567554,9,1
barwon-south-west-vic,1,2025-09-28,2025-12-29,29831321,3,0
barwon-south-west-vic,1,2025-09-28,2025-12-29,29923965,24,0
barwon-south-west-vic,1,2025-09-28,2025-12-29,29950030,14,0
barwon-south-west-vic,1,2025-09-28,2025-12-29,29995183,26,3
barwon-south-west-vic,1,2025-09-28,2025-12-29,30209333,18,0
barwon-south-west-vic,1,2025-09-28,2025-12-29,30425239,1,0
barwon-south-west-vic,1,2025-09-28,2025-12-29,30485181,6,0
barwon-south-west-vic,1,2025-09-28,2025-12-29,30703476,28,2
