market,interval,snapshot0,snapshot1,listing_id,init_u,reopened
belize,1,2025-09-28,2025-12-29,985520,29,10
belize,1,2025-09-28,2025-12-29,1187309,1,0
belize,1,2025-09-28,2025-12-29,2278939,10,0
belize,1,2025-09-28,2025-12-29,2751904,5,0
belize,1,2025-09-28,2025-12-29,2811841,33,7
belize,1,2025-09-28,2025-12-29,3594049,83,0
belize,1,2025-09-28,2025-12-29,3704445,30,0
belize,1,2025-09-28,2025-12-29,4333646,20,0
belize,1,2025-09-28,2025-12-29,4774977,6,0
belize,1,2025-09-28,2025-12-29,4974742,31,1
belize,1,2025-09-28,2025-12-29,6064477,2,1
belize,1,2025-09-28,2025-12-29,8500000,46,0
belize,1,2025-09-28,2025-12-29,9597407,8,0
belize,1,2025-09-28,2025-12-29,9848776,29,0
belize,1,2025-09-28,2025-12-29,11635188,15,6
belize,1,2025-09-28,2025-12-29,12725571,9,0
belize,1,2025-09-28,2025-12-29,12823760,9,0
belize,1,2025-09-28,2025-12-29,12954614,7,0
belize,1,2025-09-28,2025-12-29,12984190,23,4
belize,1,2025-09-28,2025-12-29,13005742,76,27
belize,1,2025-09-28,2025-12-29,13314067,4,4
belize,1,2025-09-28,2025-12-29,13953955,3,0
belize,1,2025-09-28,2025-12-29,14484119,18,0
belize,1,2025-09-28,2025-12-29,14732433,45,0
belize,1,2025-09-28,2025-12-29,14930054,14,0
belize,1,2025-09-28,2025-12-29,15857105,1,0
belize,1,2025-09-28,2025-12-29,16089348,18,0
belize,1,2025-09-28,2025-12-29,16257426,2,0
belize,1,2025-09-28,2025-12-29,17460556,5,0
belize,1,2025-09-28,2025-12-29,17613593,9,0
belize,1,2025-09-28,2025-12-29,17613819,6,0
belize,1,2025-09-28,2025-12-29,17750669,50,0
belize,1,2025-09-28,2025-12-29,18134642,7,0
belize,1,2025-09-28,2025-12-29,18974444,9,0
belize,1,2025-09-28,2025-12-29,19296963,7,0
belize,1,2025-09-28,2025-12-29,19930308,7,0
belize,1,2025-09-28,2025-12-29,20392274,6,0
belize,1,2025-09-28,2025-12-29,20471866,34,0
belize,1,2025-09-28,2025-12-29,20599884,16,1
belize,1,2025-09-28,2025-12-29,21326369,37,0
belize,1,2025-09-28,2025-12-29,21798169,16,0
belize,1,2025-09-28,2025-12-29,22506622,12,0
belize,1,2025-09-28,2025-12-29,22585239,38,6
belize,1,2025-09-28,2025-12-29,24077366,31,0
belize,1,2025-09-28,2025-12-29,24678132,31,1
belize,1,2025-09-28,2025-12-29,25840079,25,0
belize,1,2025-09-28,2025-12-29,28202852,73,0
belize,1,2025-09-28,2025-12-29,28363146,6,0
belize,1,2025-09-28,2025-12-29,28443797,4,1
belize,1,2025-09-28,2025-12-29,29362808,13,7
belize,1,2025-09-28,2025-12-29,31053120,43,2
belize,1,2025-09-28,2025-12-29,31516424,10,0
belize,1,2025-09-28,2025-12-29,33588492,31,3
belize,1,2025-09-28,2025-12-29,33828465,9,0
belize,1,2025-09-28,2025-12-29,34281665,8,0
belize,1,2025-09-28,2025-12-29,34617739,113,0
belize,1,2025-09-28,2025-12-29,34618613,104,2
belize,1,2025-09-28,2025-12-29,36065414,28,1
belize,1,2025-09-28,2025-12-29,36559602,20,0
belize,1,2025-09-28,2025-12-29,37523054,1,0
belize,1,2025-09-28,2025-12-29,37771130,22,11
belize,1,2025-09-28,2025-12-29,37907695,11,0
belize,1,2025-09-28,2025-12-29,39156629,9,0
belize,1,2025-09-28,2025-12-29,39643984,18,0
belize,1,2025-09-28,2025-12-29,39670968,37,0
belize,1,2025-09-28,2025-12-29,39821787,9,1
belize,1,2025-09-28,2025-12-29,41196731,33,7
belize,1,2025-09-28,2025-12-29,41382421,6,0
belize,1,2025-09-28,2025-12-29,42586677,6,0
belize,1,2025-09-28,2025-12-29,42605537,31,0
belize,1,2025-09-28,2025-12-29,42709921,6,0
belize,1,2025-09-28,2025-12-29,43001393,34,5
belize,1,2025-09-28,2025-12-29,50552308,7,0
belize,1,2025-09-28,2025-12-29,50910140,40,1
belize,1,2025-09-28,2025-12-29,50953685,13,0
belize,1,2025-09-28,2025-12-29,51781136,56,0
belize,1,2025-09-28,2025-12-29,52335837,62,0
belize,1,2025-09-28,2025-12-29,53306834,19,0
belize,1,2025-09-28,2025-12-29,53320113,16,0
belize,1,2025-09-28,2025-12-29,53906913,30,0
belize,1,2025-09-28,2025-12-29,53925565,3,0
belize,1,2025-09-28,2025-12-29,53982687,15,1
belize,1,2025-09-28,2025-12-29,558022265797199396,13,0
belize,1,2025-09-28,2025-12-29,607822911056925759,17,0
belize,1,2025-09-28,2025-12-29,648369869716192109,22,0
belize,1,2025-09-28,2025-12-29,677548045655730848,30,0
belize,1,2025-09-28,2025-12-29,682138762239171765,3,0
belize,1,2025-09-28,2025-12-29,695014126901686747,28,14
belize,1,2025-09-28,2025-12-29,709437863918455288,24,0
belize,1,2025-09-28,2025-12-29,718791526019226967,22,0
belize,1,2025-09-28,2025-12-29,729805383046898530,33,0
belize,1,2025-09-28,2025-12-29,736960531154338495,39,0
belize,1,2025-09-28,2025-12-29,746968711786529779,40,1
belize,1,2025-09-28,2025-12-29,753009150838473212,4,0
belize,1,2025-09-28,2025-12-29,805726358991636520,30,6
belize,1,2025-09-28,2025-12-29,805814534649215893,33,0
belize,1,2025-09-28,2025-12-29,805831010841820079,53,0
belize,1,2025-09-28,2025-12-29,805852271824697154,25,7
belize,1,2025-09-28,2025-12-29,816717995785099315,34,0
belize,1,2025-09-28,2025-12-29,817296998897875884,10,0
belize,1,2025-09-28,2025-12-29,833278561779161065,19,0
belize,1,2025-09-28,2025-12-29,850770903468530269,22,5
