market,interval,snapshot0,snapshot1,listing_id,init_u,reopened
buenos-aires,1,2025-09-27,2025-11-27,31514,6,0
buenos-aires,1,2025-09-27,2025-11-27,42450,38,5
buenos-aires,1,2025-09-27,2025-11-27,79766,7,0
buenos-aires,1,2025-09-27,2025-11-27,81120,3,0
buenos-aires,1,2025-09-27,2025-11-27,800875,3,0
buenos-aires,1,2025-09-27,2025-11-27,801408,12,0
buenos-aires,1,2025-09-27,2025-11-27,874540,31,1
buenos-aires,1,2025-09-27,2025-11-27,1086446,14,0
buenos-aires,1,2025-09-27,2025-11-27,1218125,5,0
buenos-aires,1,2025-09-27,2025-11-27,1742508,17,0
buenos-aires,1,2025-09-27,2025-11-27,2837881,13,0
buenos-aires,1,2025-09-27,2025-11-27,2947081,21,0
buenos-aires,1,2025-09-27,2025-11-27,3476723,48,5
buenos-aires,1,2025-09-27,2025-11-27,4103047,10,0
buenos-aires,1,2025-09-27,2025-11-27,4204562,4,2
buenos-aires,1,2025-09-27,2025-11-27,4421757,10,0
buenos-aires,1,2025-09-27,2025-11-27,5651779,12,0
buenos-aires,1,2025-09-27,2025-11-27,6894075,3,0
buenos-aires,1,2025-09-27,2025-11-27,6989067,17,0
buenos-aires,1,2025-09-27,2025-11-27,7594695,5,0
buenos-aires,1,2025-09-27,2025-11-27,7621181,20,1
buenos-aires,1,2025-09-27,2025-11-27,8219896,11,2
buenos-aires,1,2025-09-27,2025-11-27,8681434,5,0
buenos-aires,1,2025-09-27,2025-11-27,8741640,5,0
buenos-aires,1,2025-09-27,2025-11-27,9802756,4,0
buenos-aires,1,2025-09-27,2025-11-27,10298196,17,0
buenos-aires,1,2025-09-27,2025-11-27,11547792,6,0
buenos-aires,1,2025-09-27,2025-11-27,12231438,14,0
buenos-aires,1,2025-09-27,2025-11-27,12493801,10,0
buenos-aires,1,2025-09-27,2025-11-27,12754901,18,7
buenos-aires,1,2025-09-27,2025-11-27,12833940,24,7
buenos-aires,1,2025-09-27,2025-11-27,12870439,5,5
buenos-aires,1,2025-09-27,2025-11-27,13046149,7,0
buenos-aires,1,2025-09-27,2025-11-27,13187226,12,1
buenos-aires,1,2025-09-27,2025-11-27,13294482,18,0
buenos-aires,1,2025-09-27,2025-11-27,15599485,5,0
buenos-aires,1,2025-09-27,2025-11-27,15616544,3,0
buenos-aires,1,2025-09-27,2025-11-27,16488637,30,0
buenos-aires,1,2025-09-27,2025-11-27,17447626,30,0
buenos-aires,1,2025-09-27,2025-11-27,17623876,9,2
buenos-aires,1,2025-09-27,2025-11-27,17806895,6,6
buenos-aires,1,2025-09-27,2025-11-27,18843415,2,0
buenos-aires,1,2025-09-27,2025-11-27,19380191,19,0
