quarter,us_to_eurozone,us_to_uk,us_to_japan,us_to_mexico,us_to_brazil,canada_to_us,canada_to_mexico,eurozone_to_us,uk_to_us,japan_to_us,japan_to_domestic,brazil_to_us,brazil_to_eurozone,mexico_to_us,india_to_eurozone,india_to_apac_aud,china_to_apac_jpy,korea_to_japan,australia_to_us,australia_to_japan
1Q17,,,,,,,,,,,,,,,,,,,,
2Q17,,,,,,,,,,,,,,,,,,,,
3Q17,,,,,,,,,,,,,,,,,,,,
4Q17,,,,,,,,,,,,,,,,,,,,
1Q18,-14.214,-11.567,-4.764,-7.71,3.36,4.507,-3.203,14.214,11.567,4.764,0.0,-3.36,-17.574,7.71,-10.445,0.242,3.284,2.306,3.527,-1.237
2Q18,-7.98,-6.17,-1.787,4.402,11.284,4.099,8.501,7.98,6.17,1.787,0.0,-11.284,-19.263,-4.402,-11.808,-4.597,5.504,2.782,0.768,-1.019
3Q18,1.079,0.456,0.512,6.159,22.182,-4.25,1.909,-1.079,-0.456,-0.512,0.0,-22.182,-21.103,-6.159,-7.574,-0.971,-1.525,1.424,-7.681,-7.169
4Q18,3.136,3.083,-0.11,4.294,15.802,-3.74,0.554,-3.136,-3.083,0.11,0.0,-15.802,-12.666,-4.294,-7.688,-3.917,-4.565,-2.101,-6.907,-7.018
1Q19,7.918,6.6,1.793,2.586,14.894,-4.968,-2.382,-7.918,-6.6,-1.793,0.0,-14.894,-6.977,-2.586,-1.035,0.895,-4.188,-3.102,-9.847,-8.055
2Q19,5.92,5.695,0.73,-1.385,8.484,-3.606,-4.991,-5.92,-5.695,-0.73,0.0,-8.484,-2.564,1.385,2.187,4.033,-5.977,-6.962,-7.765,-7.035
3Q19,4.471,5.53,-3.817,2.477,0.495,-1.028,1.449,-4.471,-5.53,3.817,0.0,-0.495,3.976,-2.477,4.071,6.066,-6.841,-10.119,-6.466,-10.283
4Q19,3.02,-0.074,-3.687,-2.84,7.759,0.009,-2.831,-3.02,0.074,3.687,0.0,-7.759,-4.739,2.84,4.279,6.067,-5.555,-7.916,-4.808,-8.495
1Q20,2.965,1.883,-1.167,3.575,16.536,-1.102,2.473,-2.965,-1.883,1.167,0.0,-16.536,-13.571,-3.575,0.062,5.172,-4.573,-7.089,-8.074,-9.241
2Q20,1.988,3.482,-2.225,19.788,31.427,-3.467,16.321,-1.988,-3.482,2.225,0.0,-31.427,-29.439,-19.788,-6.712,-2.445,-6.047,-6.698,-6.255,-8.48
3Q20,-5.065,-4.737,-1.147,12.863,30.496,-0.865,11.998,5.065,4.737,1.147,0.0,-30.496,-35.561,-12.863,-10.568,-9.741,0.275,-0.628,4.237,3.09
4Q20,-7.401,-2.491,-3.953,6.574,27.174,1.28,7.854,7.401,2.491,3.953,0.0,-27.174,-34.575,-6.574,-10.955,-10.237,2.226,1.098,6.683,2.73
1Q21,-8.878,-7.605,-2.578,2.306,20.924,6.046,8.352,8.878,7.605,2.578,0.0,-20.924,-29.802,-2.306,-9.459,-16.834,4.803,4.251,16.253,13.675
2Q21,-8.977,-11.853,1.766,-15.177,-1.457,12.012,-3.165,8.977,11.853,-1.766,0.0,1.457,-7.521,15.177,-6.209,-12.987,11.003,10.126,15.756,17.522
3Q21,-0.732,-6.387,3.675,-9.756,-2.775,5.558,-4.198,0.732,6.387,-3.675,0.0,2.775,2.043,9.756,-0.398,-2.286,10.319,6.027,2.62,6.295
4Q21,4.185,-2.108,8.411,0.914,3.513,3.337,4.251,-4.185,2.108,-8.411,0.0,-3.513,0.673,-0.914,2.635,-1.268,11.963,2.694,-0.282,8.129
1Q22,7.133,2.874,9.157,0.665,-5.062,-0.06,0.605,-7.133,-2.874,-9.157,0.0,5.062,12.195,-0.665,3.987,3.266,11.243,1.274,-6.413,2.744
2Q22,12.394,10.688,16.939,0.192,-7.255,-3.833,-3.641,-12.394,-10.688,-16.939,0.0,7.255,19.649,-0.192,7.891,3.004,14.698,5.274,-7.506,9.432
3Q22,15.763,15.79,22.793,1.003,0.275,-3.566,-2.563,-15.763,-15.79,-22.793,0.0,-0.275,15.487,-1.003,8.377,-0.176,17.093,8.376,-7.209,15.584
4Q22,11.266,13.747,21.674,-5.265,-6.161,-7.455,-12.719,-11.266,-13.747,-21.674,0.0,6.161,17.427,5.265,2.073,1.128,11.017,7.989,-10.321,11.353
1Q23,4.433,9.817,12.956,-9.492,-0.32,-6.603,-16.094,-4.433,-9.817,-12.956,0.0,0.32,4.753,9.492,-4.421,-2.944,5.462,7.355,-5.91,7.046
2Q23,-2.252,0.356,5.721,-12.565,0.727,-5.091,-17.657,2.252,-0.356,-5.721,0.0,-0.727,-2.979,12.565,-8.522,0.43,-0.237,1.412,-6.7,-0.979
3Q23,-7.818,-7.339,4.4,-17.095,-7.174,-2.658,-19.753,7.818,7.339,-4.4,0.0,7.174,-0.644,17.095,-11.402,0.683,-1.202,6.443,-4.267,0.133
4Q23,-5.179,-5.507,4.557,-11.526,-5.927,-0.257,-11.783,5.179,5.507,-4.557,0.0,5.927,0.748,11.526,-6.503,-0.39,2.97,7.2,-0.934,3.623
1Q24,-1.161,-4.258,11.497,-9.347,-4.752,0.308,-9.039,1.161,4.258,-11.497,0.0,4.752,3.591,9.347,-2.169,2.868,6.553,7.349,-3.876,7.621
2Q24,1.13,-0.787,12.638,-2.791,5.046,-1.859,-4.65,-1.13,0.787,-12.638,0.0,-5.046,-3.916,2.791,-0.373,-0.122,9.408,8.572,-1.381,11.256
3Q24,-0.938,-2.667,2.965,10.284,12.748,-1.715,8.568,0.938,2.667,-2.965,0.0,-12.748,-13.686,-10.284,-2.224,-3.557,4.087,-0.211,2.271,5.236
4Q24,0.871,-3.143,3.073,13.579,16.363,-2.711,10.868,-0.871,3.143,-3.073,0.0,-16.363,-15.492,-13.579,-0.542,-1.568,3.564,-2.542,0.155,3.228
1Q25,3.029,0.61,2.523,18.374,16.543,-6.205,12.168,-3.029,-0.61,-2.523,0.0,-16.543,-13.513,-18.374,-1.181,0.403,1.359,-6.282,-4.613,-2.09
2Q25,-5.209,-5.659,-7.515,12.625,8.511,-1.172,11.453,5.209,5.659,7.515,0.0,-8.511,-13.72,-12.625,-7.75,0.248,-7.401,-9.604,-2.789,-10.304
3Q25,-6.165,-3.617,-0.886,-1.46,-1.749,-0.963,-2.422,6.165,3.617,0.886,0.0,1.749,-4.416,1.46,-10.34,-1.828,-0.797,-3.207,-2.347,-3.232
4Q25,-8.734,-3.742,1.112,-9.336,-7.769,0.337,-8.999,8.734,3.742,-1.112,0.0,7.769,-0.966,9.336,-14.109,-6.053,2.509,-2.451,0.679,1.791
1Q26,-10.538,-6.699,2.946,-15.052,-10.665,4.53,-10.522,10.538,6.699,-2.946,0.0,10.665,0.126,15.052,-16.075,-15.82,7.893,2.036,10.283,13.229
2Q26,-2.527,-0.57,9.804,-11.542,-11.637,0.061,-11.482,2.527,0.57,-9.804,0.0,11.637,9.11,11.542,-12.586,-20.323,15.905,2.827,10.263,20.067
3Q26,1.472,0.115,8.346,-7.768,-5.994,-1.573,-9.341,-1.472,-0.115,-8.346,0.0,5.994,7.465,7.768,-7.555,-16.471,14.157,4.847,7.444,15.791
