quarter,EUR,GBP,AUD,NZD,CAD,MXN,BRL,JPY,KRW,INR,CNY,CHF,SEK,NOK,DKK,THB,SGD,TWD,HKD,MYR,ZAR,USD_BROAD,USD
1Q17,1.06608525,1.23992459,0.75863443,0.71147541,0.75554748,0.04947471,0.31850948,0.0088105,0.00086995,0.01495905,0.14523846,0.99687512,0.11212444,0.11859663,0.14338582,0.02850412,0.70692295,0.03224228,0.12885279,0.225071,0.07581134,116.4639623,1.0
2Q17,1.10077969,1.2797625,0.75101562,0.70518438,0.74384599,0.05393512,0.31121745,0.0090011,0.00088507,0.01551229,0.14580765,1.01578043,0.11363241,0.1174554,0.14800077,0.02916146,0.71838263,0.03306388,0.12842672,0.23101051,0.07582973,113.90348125,1.0
3Q17,1.17550317,1.30891746,0.78991746,0.73063651,0.79835365,0.05615056,0.31659813,0.00901481,0.00088412,0.01555895,0.14998813,1.03862305,0.12300266,0.1257708,0.15804124,0.02997911,0.7351679,0.03305761,0.12796147,0.23473108,0.07588926,109.93858413,1.0
4Q17,1.17778197,1.3273082,0.76869508,0.69655574,0.78658889,0.05272226,0.30787001,0.00885842,0.00090538,0.01545344,0.15121862,1.01344212,0.12025781,0.12248552,0.15825012,0.0303849,0.73865399,0.03322434,0.12807819,0.24049036,0.07358286,110.97474426,1.0
1Q18,1.22891613,1.39196774,0.78586935,0.72739032,0.7903774,0.05344025,0.30798574,0.00924037,0.00093367,0.01553365,0.15741074,1.05467641,0.12321219,0.12763348,0.16503191,0.03171364,0.7584273,0.03415212,0.12774887,0.25505109,0.08367747,107.99646,1.0
2Q18,1.19221875,1.36121406,0.75680938,0.70449844,0.77496795,0.05161234,0.2780095,0.00916343,0.00092645,0.01492966,0.15683629,1.01503329,0.11534826,0.12473849,0.1600678,0.03133738,0.74948529,0.03358701,0.12742042,0.25337719,0.07919398,110.61840938,1.0
3Q18,1.16289048,1.30295714,0.73151587,0.66878095,0.76513233,0.05279646,0.25361488,0.00896879,0.00089222,0.01426934,0.1469635,1.01612298,0.11178291,0.12135979,0.15598543,0.03033674,0.73127661,0.03261981,0.12747234,0.24444096,0.07134922,113.64876667,1.0
4Q18,1.14142,1.28701167,0.71739,0.67018,0.75771532,0.05050652,0.26287006,0.0088682,0.00088754,0.0138681,0.14463004,1.00432912,0.11055172,0.11852048,0.1529618,0.0304812,0.72727565,0.03243974,0.1277293,0.23986591,0.07002522,115.69988361,1.0
1Q19,1.1353678,1.30306102,0.71216949,0.68154915,0.75206749,0.05207594,0.26536654,0.00907617,0.00088908,0.01420338,0.14827142,1.0029268,0.1089823,0.11655442,0.15212446,0.03162269,0.73813615,0.03244388,0.12745352,0.24451341,0.07137322,114.55487797,1.0
2Q19,1.12369219,1.28585469,0.70026406,0.66269844,0.74752381,0.05233236,0.25539619,0.00909676,0.00085786,0.01438268,0.14666254,0.99734521,0.10591017,0.11568898,0.15050581,0.03165352,0.73371194,0.0321423,0.12755368,0.24118992,0.0695751,115.429475,1.0
3Q19,1.11204219,1.23285625,0.68571094,0.64905,0.75730817,0.05150464,0.252362,0.00931775,0.00083773,0.01421239,0.14258614,1.01462812,0.10432222,0.11292775,0.1490092,0.03256865,0.72737109,0.03206952,0.12771509,0.24022355,0.06825936,116.47490469,1.0
4Q19,1.10746452,1.28796129,0.68371452,0.64440968,0.7577858,0.05196161,0.24324596,0.00920131,0.00085079,0.01404382,0.14195449,1.01072104,0.10404019,0.10980339,0.14823387,0.03304524,0.73372029,0.03281065,0.12779584,0.24018364,0.06806014,116.41376721,1.0
1Q20,1.10220161,1.27875161,0.65692903,0.63428871,0.74382526,0.05024719,0.22492208,0.00918271,0.00083795,0.01379706,0.14330671,1.03321179,0.10334068,0.10561204,0.1475333,0.0319612,0.72159533,0.03322202,0.12868642,0.23930978,0.06524109,117.75593065,1.0
2Q20,1.101575,1.24184844,0.65780156,0.618625,0.72205095,0.04293716,0.18652083,0.00930144,0.00082033,0.01318425,0.1411623,1.03813469,0.10337186,0.10003762,0.14770295,0.03132123,0.70869509,0.03346801,0.12901502,0.2315534,0.05578619,121.83364219,1.0
3Q20,1.16981719,1.29266562,0.71539219,0.66188125,0.75078461,0.04528781,0.18603014,0.00942526,0.00084209,0.01345137,0.14462825,1.08788336,0.11290601,0.10959702,0.15713631,0.03191908,0.72783855,0.03409739,0.12902602,0.23819802,0.05919062,117.3474875,1.0
4Q20,1.19254167,1.32044167,0.73097,0.68625333,0.76754797,0.04865563,0.18536602,0.00957233,0.00089486,0.01355356,0.15100277,1.10689649,0.11613541,0.11083794,0.16022239,0.03268444,0.7427029,0.03512019,0.12900618,0.24360032,0.06412462,113.91718,1.0
1Q21,1.20453333,1.37979,0.77287,0.718965,0.79018528,0.04910186,0.1824565,0.00942253,0.00089718,0.01371724,0.15428475,1.10342511,0.11903488,0.11750985,0.16197018,0.03299986,0.75039687,0.03560702,0.12890445,0.24592897,0.06687078,112.36396167,1.0
2Q21,1.20504219,1.39812969,0.77005781,0.71503125,0.81420612,0.04997428,0.18925747,0.00913864,0.00089186,0.01355439,0.1548237,1.09785699,0.1188217,0.1194136,0.16205192,0.03190059,0.75042116,0.03574259,0.12877651,0.24232895,0.07083981,111.82601562,1.0
3Q21,1.17841406,1.37791719,0.73438281,0.70038438,0.79369238,0.04992884,0.1912646,0.00908516,0.00086213,0.01349638,0.15456284,1.08909786,0.11561404,0.1140715,0.15846601,0.03034923,0.73926962,0.03589575,0.12856338,0.23833258,0.06836872,113.30475312,1.0
4Q21,1.14365902,1.34857705,0.72891148,0.69537541,0.79359634,0.04821304,0.17896761,0.00880009,0.00084513,0.01334504,0.15646175,1.08505933,0.11299196,0.11466416,0.15376302,0.02997453,0.7369163,0.03593908,0.12837864,0.23906672,0.06488121,114.96657213,1.0
1Q22,1.12160161,1.34070323,0.7248629,0.67692903,0.7897118,0.04877624,0.19192974,0.00859804,0.00082917,0.01329232,0.15753644,1.0822238,0.10705783,0.11307274,0.15072344,0.03025762,0.73956222,0.03570125,0.12811501,0.23856093,0.06580377,115.49019355,1.0
2Q22,1.06457778,1.25640794,0.71436984,0.65001111,0.78358642,0.04987826,0.20349923,0.00771468,0.00079367,0.01295761,0.15139267,1.03655653,0.10165683,0.10632696,0.14310605,0.02909685,0.72585069,0.0339808,0.12745076,0.22999703,0.06422372,118.96356508,1.0
3Q22,1.00656562,1.17665,0.68330469,0.61300938,0.76588806,0.04943068,0.1907391,0.00723345,0.00074639,0.01253556,0.14599918,1.03473169,0.09482921,0.10013815,0.13527856,0.02746903,0.7156389,0.03289635,0.12741766,0.22305283,0.05871996,123.52842031,1.0
4Q22,1.02180492,1.17537049,0.65742951,0.60440164,0.73658805,0.0508194,0.19033966,0.00708528,0.00073704,0.01217288,0.14064497,1.03870196,0.09333234,0.09822552,0.13733711,0.0275594,0.72152375,0.03192419,0.12785651,0.21906025,0.05681113,124.8129082,1.0
1Q23,1.07297097,1.21534194,0.68326774,0.62947581,0.73925434,0.05363287,0.1925456,0.00755326,0.000784,0.01216609,0.14616332,1.08101609,0.09577416,0.09757809,0.14415508,0.02948409,0.75033839,0.0329039,0.12756672,0.22801751,0.05630128,120.30960806,1.0
2Q23,1.08882857,1.25194921,0.66807778,0.61865873,0.74468903,0.05655626,0.20202592,0.00728572,0.00076019,0.01217021,0.14263625,1.11262239,0.09502122,0.09343096,0.14616083,0.02903491,0.74668468,0.03256102,0.12755461,0.22116814,0.05360246,119.39654762,1.0
3Q23,1.08841746,1.26625556,0.65476349,0.60504603,0.74580022,0.05864633,0.20492602,0.00692209,0.0007618,0.01209429,0.13804466,1.13261277,0.09260807,0.09552811,0.14603427,0.02845936,0.74125994,0.03155441,0.12781812,0.2162704,0.05370056,119.85063333,1.0
4Q23,1.07611475,1.24191475,0.65131967,0.60381803,0.73469873,0.05702765,0.20196202,0.00676966,0.00075678,0.01201276,0.13843136,1.12864868,0.0939479,0.09242284,0.14428955,0.02808552,0.74099281,0.03143737,0.12797548,0.21291163,0.05340837,121.54992295,1.0
1Q24,1.08550161,1.26820484,0.65729355,0.61238226,0.74153675,0.05888759,0.20191558,0.00673291,0.00075215,0.0120441,0.13911234,1.14329074,0.09617984,0.09500912,0.14559324,0.0280391,0.74603711,0.03180303,0.12787137,0.21182701,0.05294877,120.6440129,1.0
2Q24,1.07658889,1.26183492,0.65891429,0.60497143,0.73097162,0.05815677,0.19208397,0.00642079,0.00072991,0.01198863,0.13810278,1.1054479,0.09353973,0.0929448,0.14429756,0.02724624,0.73899652,0.03091703,0.12791285,0.21137795,0.05383391,122.51596032,1.0
3Q24,1.09867812,1.30047812,0.66980156,0.61104531,0.73311555,0.05291504,0.18039933,0.00671987,0.00073798,0.01193974,0.13960198,1.15513348,0.09596,0.09340212,0.14726372,0.02879066,0.75805473,0.0309741,0.12821926,0.22491302,0.05567115,122.65020312,1.0
4Q24,1.06677903,1.28156935,0.65232903,0.59134516,0.7150505,0.04978677,0.1714768,0.00656479,0.00071546,0.01184421,0.13911246,1.13984815,0.09279071,0.09066619,0.14302767,0.02944071,0.75073835,0.0309278,0.12862747,0.22767223,0.05586863,125.77585806,1.0
