k,region,diff_pp,basis,ipp_xb,ipp
8010,na,-5.09,derived: region minus total (numeric),-9.434,-1.1948
8011,na,-12.88,derived: region minus total (derived (residual to total)),-6.8698,-0.9556
8012,na,-14.84,derived: region minus total (derived (residual to total)),-3.5185,-0.5384
8013,na,-10.04,derived: region minus total (derived (residual to total; NA-EMEA gap from XBRL revenue growth net of regional ADR)),0.0192,-0.0873
8014,na,-5.92,derived: region minus total (derived (residual to total; NA-EMEA gap from XBRL revenue growth net of regional ADR)),4.256,0.4639
8015,na,-8.37,derived: region minus total (derived (residual to total; NA-EMEA gap from XBRL revenue growth net of regional ADR)),3.1689,0.3758
8016,na,-9.57,derived: region minus total (derived (residual to total; NA-EMEA gap from XBRL revenue growth net of regional ADR)),0.5277,0.0688
8017,na,-4.57,derived: region minus total (derived (residual to total; NA-EMEA gap from XBRL revenue growth net of regional ADR)),-1.8213,-0.2513
8018,na,-5.13,derived: region minus total (derived (residual to total; NA-EMEA gap from XBRL revenue growth net of regional ADR)),-1.5885,-0.2208
8019,na,-7.35,derived: region minus total (bucket),-2.9698,-0.4041
8020,na,-5.92,derived: region minus total (bucket),-4.8655,-0.6931
8021,na,-5.43,derived: region minus total (bucket),0.7007,0.0635
8022,na,-3.8,derived: region minus total (bucket),2.4632,0.2786
8023,na,-4.82,derived: region minus total (bucket),4.5207,0.5484
8024,na,-1.15,derived: region minus total (bucket),6.9237,0.9106
8025,na,-2.34,derived: region minus total (bucket),3.0606,0.3683
8010,emea,-5.09,derived: region minus total (numeric),12.2088,2.9262
8011,emea,4.84,derived: region minus total (numeric),8.951,1.8971
8012,emea,2.39,derived: region minus total (numeric),4.1918,0.6079
8013,emea,0.95,derived: region minus total (derived (residual to total; NA-EMEA gap from XBRL revenue growth net of regional ADR)),-2.1145,-1.0296
8014,emea,-3.0,derived: region minus total (derived (residual to total; NA-EMEA gap from XBRL revenue growth net of regional ADR)),-6.3685,-2.0444
8015,emea,0.27,derived: region minus total (derived (residual to total; NA-EMEA gap from XBRL revenue growth net of regional ADR)),-4.0288,-1.2614
8016,emea,0.5,derived: region minus total (derived (residual to total; NA-EMEA gap from XBRL revenue growth net of regional ADR)),-1.9357,-0.4943
8017,emea,-2.93,derived: region minus total (derived (residual to total; NA-EMEA gap from XBRL revenue growth net of regional ADR)),-0.6906,-0.071
8018,emea,-1.9,derived: region minus total (derived (residual to total; NA-EMEA gap from XBRL revenue growth net of regional ADR)),-3.1559,-0.497
8019,emea,-1.35,derived: region minus total (bucket),-2.7918,-0.3854
8020,emea,-2.92,derived: region minus total (bucket),-1.4603,-0.0849
8021,emea,-2.43,derived: region minus total (bucket),-6.4719,-1.086
8022,emea,-3.8,derived: region minus total (bucket),-5.2297,-0.9779
8023,emea,-1.82,derived: region minus total (bucket),-5.9412,-1.1155
8024,emea,-4.15,derived: region minus total (bucket),-6.3145,-1.0611
8025,emea,-2.34,derived: region minus total (bucket),-0.363,0.2031
8010,latam,7.91,derived: region minus total (numeric),-4.2922,-0.835
8011,latam,2.84,derived: region minus total (numeric),-9.7492,-2.337
8012,latam,3.39,derived: region minus total (numeric),-6.2484,-1.3436
8013,latam,11.01,derived: region minus total (numeric),-4.8964,-1.0391
8014,latam,10.46,derived: region minus total (numeric),-9.1612,-2.3708
8015,latam,9.98,derived: region minus total (numeric),-6.5611,-1.7363
8016,latam,9.5,derived: region minus total (numeric),-6.1082,-1.5625
8017,latam,8.31,derived: region minus total (numeric),1.0424,0.4688
8018,latam,6.52,derived: region minus total (numeric),10.986,2.9933
8019,latam,9.15,derived: region minus total (bucket),13.7482,3.7746
8020,latam,13.58,derived: region minus total (bucket),14.5427,3.9819
8021,latam,10.57,derived: region minus total (bucket),10.5747,2.6926
8022,latam,12.7,derived: region minus total (bucket),-0.381,-0.1858
8023,latam,8.18,derived: region minus total (bucket),-6.0331,-1.7163
8024,latam,8.85,derived: region minus total (bucket),-8.5752,-2.4327
8025,latam,9.66,derived: region minus total (bucket),-10.1407,-2.7722
8010,apac,39.91,derived: region minus total (numeric),4.0355,0.2018
8011,apac,19.84,derived: region minus total (numeric),7.6571,1.1359
8012,apac,29.39,derived: region minus total (numeric),4.8486,0.5742
8013,apac,13.01,derived: region minus total (numeric),6.5398,1.7072
8014,apac,13.46,derived: region minus total (numeric),7.508,1.7979
8015,apac,9.98,derived: region minus total (numeric),4.322,0.8948
8016,apac,11.5,derived: region minus total (numeric),6.6102,1.264
8017,apac,10.31,derived: region minus total (numeric),3.2919,0.0886
8018,apac,10.52,derived: region minus total (numeric),-1.2879,-0.6246
8019,apac,9.15,derived: region minus total (bucket),-0.847,-0.1849
8020,apac,7.08,derived: region minus total (bucket),0.6679,0.534
8021,apac,7.57,derived: region minus total (bucket),1.2067,1.265
8022,apac,6.2,derived: region minus total (bucket),4.0913,1.4572
8023,apac,5.18,derived: region minus total (bucket),4.8311,0.8762
8024,apac,8.85,derived: region minus total (bucket),1.3628,-1.2195
8025,apac,7.66,derived: region minus total (bucket),0.2912,-2.2785
