period,split,weights,implied_total_nights_yoy_pct,team_baseline_pct,team_band,adr_geographic_mix_pp,adr_mix_pp_2025_actual_for_reference
3Q26,index_model,10K_FY2025_shares,9.9,9.9,8.5 to 10.3,-1.24,-1.58
3Q26,index_model,WS10_shares,10.01,9.9,8.5 to 10.3,-1.23,-1.58
3Q26,persistence,10K_FY2025_shares,9.9,9.9,8.5 to 10.3,-1.19,-1.58
3Q26,persistence,WS10_shares,10.01,9.9,8.5 to 10.3,-1.18,-1.58
3Q26,ws10_base_cells,10K_FY2025_shares,10.57,9.9,8.5 to 10.3,-1.14,-1.58
3Q26,ws10_base_cells,WS10_shares,10.69,9.9,8.5 to 10.3,-1.14,-1.58
4Q26,index_model,10K_FY2025_shares,8.9,8.9,8.1 to 9.9,-1.25,-1.58
4Q26,index_model,WS10_shares,9.06,8.9,8.1 to 9.9,-1.25,-1.58
4Q26,persistence,10K_FY2025_shares,8.9,8.9,8.1 to 9.9,-1.2,-1.58
4Q26,persistence,WS10_shares,9.06,8.9,8.1 to 9.9,-1.2,-1.58
4Q26,ws10_base_cells,10K_FY2025_shares,10.17,8.9,8.1 to 9.9,-1.12,-1.58
4Q26,ws10_base_cells,WS10_shares,10.35,8.9,8.1 to 9.9,-1.13,-1.58
