market_key,country,region,currency,fx_available
argentina_ciudad-autónoma-de-buenos-aires_buenos-aires,argentina,LatAm,ARS,False
australia_nsw_mid-north-coast,australia,APAC,AUD,True
australia_nsw_northern-rivers,australia,APAC,AUD,True
australia_nsw_sydney,australia,APAC,AUD,True
australia_qld_brisbane,australia,APAC,AUD,True
australia_qld_sunshine-coast,australia,APAC,AUD,True
australia_sa_barossa-valley,australia,APAC,AUD,True
australia_tas_tasmania,australia,APAC,AUD,True
australia_vic_barwon-south-west-vic,australia,APAC,AUD,True
australia_vic_melbourne,australia,APAC,AUD,True
australia_vic_mornington-peninsula,australia,APAC,AUD,True
australia_wa_western-australia,australia,APAC,AUD,True
austria_vienna_vienna,austria,EMEA,EUR,True
belgium_bru_brussels,belgium,EMEA,EUR,True
belgium_vlg_antwerp,belgium,EMEA,EUR,True
belgium_vlg_ghent,belgium,EMEA,EUR,True
belize_bz_belize,belize,LatAm,BZD,False
brazil_rj_rio-de-janeiro,brazil,LatAm,BRL,True
brazil_sp_são-paulo,brazil,LatAm,BRL,True
canada_bc_vancouver,canada,NAM,CAD,True
canada_bc_victoria,canada,NAM,CAD,True
canada_mb_winnipeg,canada,NAM,CAD,True
canada_nb_new-brunswick,canada,NAM,CAD,True
canada_on_ottawa,canada,NAM,CAD,True
canada_on_toronto,canada,NAM,CAD,True
canada_qc_montreal,canada,NAM,CAD,True
canada_qc_quebec-city,canada,NAM,CAD,True
chile_rm_santiago,chile,LatAm,CLP,False
china_hk_hong-kong,china,APAC,CNY,True
colombia_dc_bogotá,colombia,LatAm,COP,False
czech-republic_prague_prague,czech-republic,EMEA,CZK,False
denmark_hovedstaden_copenhagen,denmark,EMEA,DKK,True
france_auvergne-rhone-alpes_lyon,france,EMEA,EUR,True
france_ile-de-france_paris,france,EMEA,EUR,True
france_nouvelle-aquitaine_bordeaux,france,EMEA,EUR,True
france_pyrénées-atlantiques_pays-basque,france,EMEA,EUR,True
germany_be_berlin,germany,EMEA,EUR,True
germany_bv_munich,germany,EMEA,EUR,True
greece_attica_athens,greece,EMEA,EUR,True
greece_central-macedonia_thessaloniki,greece,EMEA,EUR,True
greece_crete_crete,greece,EMEA,EUR,True
greece_south-aegean_south-aegean,greece,EMEA,EUR,True
hungary_közép-magyarország_budapest,hungary,EMEA,HUF,False
ireland,ireland,EMEA,EUR,True
ireland_leinster_dublin,ireland,EMEA,EUR,True
italy_campania_naples,italy,EMEA,EUR,True
italy_emilia-romagna_bologna,italy,EMEA,EUR,True
italy_lazio_rome,italy,EMEA,EUR,True
italy_lombardia_bergamo,italy,EMEA,EUR,True
italy_lombardy_milan,italy,EMEA,EUR,True
italy_puglia_puglia,italy,EMEA,EUR,True
italy_sicilia_sicily,italy,EMEA,EUR,True
italy_toscana_florence,italy,EMEA,EUR,True
italy_trentino-alto-adige-südtirol_trentino,italy,EMEA,EUR,True
italy_veneto_venice,italy,EMEA,EUR,True
japan_kanto_tokyo,japan,APAC,JPY,True
kenya_nairobi_nairobi,kenya,EMEA,KES,False
latvia_riga_riga,latvia,EMEA,EUR,True
malta,malta,EMEA,EUR,True
mexico_df_mexico-city,mexico,LatAm,MXN,True
new-zealand,new-zealand,APAC,NZD,True
norway_oslo_oslo,norway,EMEA,NOK,True
portugal_lisbon_lisbon,portugal,EMEA,EUR,True
portugal_norte_porto,portugal,EMEA,EUR,True
singapore_sg_singapore,singapore,APAC,SGD,True
south-africa_wc_cape-town,south-africa,EMEA,ZAR,True
spain_andalucía_malaga,spain,EMEA,EUR,True
spain_andalucía_sevilla,spain,EMEA,EUR,True
spain_catalonia_barcelona,spain,EMEA,EUR,True
spain_catalonia_girona,spain,EMEA,EUR,True
spain_comunidad-de-madrid_madrid,spain,EMEA,EUR,True
