quarter,pattern,p_emea,p_latam,p_apac,g_emea,g_latam,g_apac,g_na,exna_yoy,geo_mix_pp,delta_vs_base_pp
3Q26,base pattern EMEA 8 / LatAm 20 / APAC 18 (2Q26 letter buckets),8.0,20.0,18.0,7.078691068961447,17.696727672403618,15.927054905163256,5.6,11.62106741573034,-1.292633806119825,0.0
4Q26,base pattern EMEA 8 / LatAm 20 / APAC 18 (2Q26 letter buckets),8.0,20.0,18.0,6.316615068619684,15.791537671549209,14.212383904394288,3.31,10.060696378830084,-1.3356182124145577,0.0
1Q27,base pattern EMEA 8 / LatAm 20 / APAC 18 (2Q26 letter buckets),8.0,20.0,18.0,6.533393549498782,16.333483873746953,14.70013548637226,2.31,10.625937940761634,-1.6203852493470672,0.0
2Q27,base pattern EMEA 8 / LatAm 20 / APAC 18 (2Q26 letter buckets),8.0,20.0,18.0,4.672499916460061,11.681249791150153,10.513124812035137,2.31,7.421424541607898,-1.0807393264024912,0.0
3Q27,base pattern EMEA 8 / LatAm 20 / APAC 18 (2Q26 letter buckets),8.0,20.0,18.0,4.672643449515583,11.681608623788957,10.513447761410061,2.31,7.814213483146068,-1.1741831202571662,0.0
4Q27,base pattern EMEA 8 / LatAm 20 / APAC 18 (2Q26 letter buckets),8.0,20.0,18.0,4.635721906664159,11.589304766660398,10.430374289994358,2.31,7.511949860724235,-1.109315749450912,0.0
3Q26,tilt B: EMEA 5 / LatAm 30 / APAC 25 (the v1 scenario),5.0,30.0,25.0,3.7452438138677593,22.471462883206556,18.726219069338796,5.6,11.62106741573034,-1.6739485718353486,-0.3813147657155236
4Q26,tilt B: EMEA 5 / LatAm 30 / APAC 25 (the v1 scenario),5.0,30.0,25.0,3.4144450272853732,20.48667016371224,17.072225136426866,3.31,10.060696378830084,-1.6998889949451534,-0.36427078253059575
1Q27,tilt B: EMEA 5 / LatAm 30 / APAC 25 (the v1 scenario),5.0,30.0,25.0,3.4791895118087472,20.875137070852485,17.395947559043737,2.31,10.625937940761634,-2.040283933390663,-0.41989868404359587
2Q27,tilt B: EMEA 5 / LatAm 30 / APAC 25 (the v1 scenario),5.0,30.0,25.0,2.530821503841489,15.184929023048934,12.654107519207445,2.31,7.421424541607898,-1.3616701990067703,-0.2809308726042792
3Q27,tilt B: EMEA 5 / LatAm 30 / APAC 25 (the v1 scenario),5.0,30.0,25.0,2.439188800305529,14.635132801833175,12.195944001527645,2.31,7.814213483146068,-1.423772280716895,-0.2495891604597289
4Q27,tilt B: EMEA 5 / LatAm 30 / APAC 25 (the v1 scenario),5.0,30.0,25.0,2.4728390158717177,14.837034095230305,12.364195079358588,2.31,7.511949860724235,-1.3804894063945805,-0.27117365694366846
3Q26,measured OD tilt (central),10.480961469963798,16.363210946161516,14.908716049590321,9.445759248789596,14.74702025930968,13.436185498493401,5.6,11.62106741573034,-1.0293875789585294,0.26324622716129564
4Q26,measured OD tilt (central),10.480961469963798,16.363210946161516,14.908716049590321,8.288396823363748,12.940109169837875,11.789887320927566,3.31,10.060696378830084,-1.0945314365410796,0.24108677587347804
1Q27,measured OD tilt (central),10.480961469963798,16.363210946161516,14.908716049590321,8.672971104503876,13.540518789203272,12.336927663927062,2.31,10.625937940761634,-1.3350700175832397,0.28531523176382745
2Q27,measured OD tilt (central),10.480961469963798,16.363210946161516,14.908716049590321,6.12153644910337,9.557137722369754,8.707621812029693,2.31,7.421424541607898,-0.8950283445586238,0.18571098184386736
3Q27,measured OD tilt (central),10.480961469963798,16.363210946161516,14.908716049590321,6.294784694684803,9.827618402660926,8.95405997582462,2.31,7.814213483146068,-0.9981419030628769,0.17604121719428933
4Q27,measured OD tilt (central),10.480961469963798,16.363210946161516,14.908716049590321,6.137723628705672,9.582409662851067,8.730647377482446,2.31,7.511949860724235,-0.9256006833628816,0.18371506608803045
3Q26,measured OD tilt (band: most EMEA-tilted corner),11.41690308275088,15.346061281277482,13.22860698961236,10.380803379457864,13.953385051567652,12.02809265769821,5.6,11.62106741573034,-0.9317414763340692,0.3608923297857558
4Q26,measured OD tilt (band: most EMEA-tilted corner),11.41690308275088,15.346061281277482,13.22860698961236,9.03526225381209,12.144772293714245,10.469032848701408,3.31,10.060696378830084,-1.0086001386802712,0.3270180737342865
1Q27,measured OD tilt (band: most EMEA-tilted corner),11.41690308275088,15.346061281277482,13.22860698961236,9.507107239198822,12.779004012116777,11.01575307803671,2.31,10.625937940761634,-1.2312820290461879,0.3891032203008793
2Q27,measured OD tilt (band: most EMEA-tilted corner),11.41690308275088,15.346061281277482,13.22860698961236,6.668184837548262,8.963058756845001,7.726333131730841,2.31,7.421424541607898,-0.8286386779025934,0.2521006484998978
3Q27,measured OD tilt (band: most EMEA-tilted corner),11.41690308275088,15.346061281277482,13.22860698961236,6.943283129214743,9.332832872617853,8.045085700408404,2.31,7.814213483146068,-0.9321936819501886,0.2419894383069776
4Q27,measured OD tilt (band: most EMEA-tilted corner),11.41690308275088,15.346061281277482,13.22860698961236,6.7130795035531925,9.023404044066984,7.778351957519632,2.31,7.511949860724235,-0.8591100626777148,0.2502056867731972
3Q26,measured OD tilt (band: most LatAm/APAC-tilted corner),9.183699952772082,17.548742920640656,17.56228388725275,8.167353578769461,15.606649719924354,15.618692127961204,5.6,11.62106741573034,-1.1590428518174267,0.1335909543023983
4Q26,measured OD tilt (band: most LatAm/APAC-tilted corner),9.183699952772082,17.548742920640656,17.56228388725275,7.2543208652619855,13.861974213333868,13.872670394299611,3.31,10.060696378830084,-1.2101152714985908,0.12550294091596692
1Q27,measured OD tilt (band: most LatAm/APAC-tilted corner),9.183699952772082,17.548742920640656,17.56228388725275,7.5279644343898395,14.38486810917176,14.395967765692262,2.31,10.625937940761634,-1.4729675390643404,0.14741771028272677
2Q27,measured OD tilt (band: most LatAm/APAC-tilted corner),9.183699952772082,17.548742920640656,17.56228388725275,5.363854657765228,10.249562478834068,10.257471249504544,2.31,7.421424541607898,-0.9847280716786977,0.09601125472379346
3Q27,measured OD tilt (band: most LatAm/APAC-tilted corner),9.183699952772082,17.548742920640656,17.56228388725275,5.416186099296663,10.349560412000917,10.35754634310849,2.31,7.814213483146068,-1.0848221106012579,0.08936100965590832
