quarter,g,v,c,nl,b,b_lo,b_hi
1Q22,58.54037267080743,110.0364415862808,,,20.913,20.913,20.913
2Q22,24.78941034897715,116.94897436834984,,,-14.219,-14.219,-14.219
3Q22,25.094102885821833,50.315884776507524,,,-10.279,-10.279,-10.279
4Q22,20.163487738419605,34.227855471363775,,,0.338,0.338,0.338
1Q23,18.609206660137122,32.3687487562339,13.444861787599068,18.923886968634832,4.763,4.763,4.763
2Q23,10.993249758919955,17.96947032200329,0.28003397384126,17.68943634816203,-3.313,-3.313,-3.313
3Q23,13.54062186559679,11.3147934771995,-5.34103489941255,16.65582837661205,-5.657,-5.657,-5.657
4Q23,12.01814058956916,13.219709613833668,-4.78079207527429,18.000501689107956,0.68,0.68,0.68
1Q24,9.496284062758043,10.98844029736232,-7.876633024855161,18.86507332221748,-1.155,-1.155,-1.155
2Q24,8.688097306689846,6.69410897041407,-9.92749132276248,16.62160029317655,0.909,0.909,0.909
3Q24,8.480565371024728,5.55578844236157,-9.80563980519343,15.361428247555,-1.907,-1.907,-1.907
4Q24,12.348178137651832,6.698567272352619,-9.11404590091276,15.81261317326538,0.602,0.602,0.602
1Q25,7.918552036199089,3.6261376983223097,-11.16968139275496,14.79581909107727,3.962,3.962,3.962
2Q25,7.434052757793785,4.17630158867812,-8.98643149429021,13.16273308296833,-5.405,-5.405,-5.405
3Q25,8.794788273615639,2.98000658090986,-9.84645546194343,12.82646204285329,-1.347,-1.819,5.019
4Q25,9.81981981981983,6.17405921993832,-7.47400052164266,13.64805974158098,0.844,0.165,2.726
1Q26,9.15443745632425,7.27522586134097,-6.89017250417665,14.16539836551762,1.596,-0.668,7.648
2Q26,10.342261904761907,4.26991974978319,-7.11901719762581,11.388936947409,3.923,3.497,5.235
