variant,dropped,n,G,b,se_crv,p_b0_crv,p_b1_crv
"as published (Brazil IBGE, ~27% coverage)",NAM,22,3,1.1270002240869905,0.34277213543464896,0.08137308975124302,0.7465638482815931
"as published (Brazil IBGE, ~27% coverage)",EMEA,14,3,1.2350241649067244,0.2554664508353329,0.04022355705784664,0.4547026223295385
"as published (Brazil IBGE, ~27% coverage)",LatAm,16,3,-0.3022250248696601,0.134184933179169,0.15310616306165792,0.010451652667061717
"as published (Brazil IBGE, ~27% coverage)",APAC,17,3,1.2472778236066189,0.22538787767380747,0.031136807167537972,0.38704246067280224
LatAm comparator = 0,NAM,22,3,0.23877385127556836,0.13068339254024613,0.20920744346636466,0.02823020190334158
LatAm comparator = 0,EMEA,14,3,0.2727615222801308,0.1092828742853948,0.129956553743789,0.021844197397084653
LatAm comparator = 0,LatAm,16,3,-0.3022250248696601,0.134184933179169,0.15310616306165792,0.010451652667061717
LatAm comparator = 0,APAC,17,3,0.2911601654226388,0.07322845193231993,0.057823165254172526,0.010504565976683145
LatAm comparator = same-quarter median of other regions,NAM,22,3,-0.35292909038542714,0.022943981723600057,0.004199717410785508,0.0002874750786370228
LatAm comparator = same-quarter median of other regions,EMEA,14,3,-0.3682615926837377,0.011900883708664626,0.0010427156376988655,7.564337029464241e-05
LatAm comparator = same-quarter median of other regions,LatAm,16,3,-0.3022250248696601,0.134184933179169,0.15310616306165792,0.010451652667061717
LatAm comparator = same-quarter median of other regions,APAC,17,3,-0.3457693924453705,0.028134424208939177,0.006555652661303979,0.0004367673527532201
LatAm comparator = same-quarter mean of other regions,NAM,22,3,-0.2869008603343265,0.01944417637973904,0.004561794587667922,0.00022821292336017152
LatAm comparator = same-quarter mean of other regions,EMEA,14,3,-0.29672971625923783,0.0227677562960894,0.0058358440416614865,0.00030813481720071145
LatAm comparator = same-quarter mean of other regions,LatAm,16,3,-0.3022250248696601,0.134184933179169,0.15310616306165792,0.010451652667061717
LatAm comparator = same-quarter mean of other regions,APAC,17,3,-0.2746943167406607,0.016823323936717215,0.003729831376055648,0.00017413980845404353
LatAm comparator = its own 7-quarter mean (constant),NAM,22,3,0.2387738512755675,0.13068339254024688,0.20920744346636755,0.0282302019033418
LatAm comparator = its own 7-quarter mean (constant),EMEA,14,3,0.27276152228013284,0.10928287428539295,0.1299565537437839,0.021844197397083986
LatAm comparator = its own 7-quarter mean (constant),LatAm,16,3,-0.3022250248696601,0.134184933179169,0.15310616306165792,0.010451652667061717
LatAm comparator = its own 7-quarter mean (constant),APAC,17,3,0.291160165422636,0.07322845193232241,0.05782316525417719,0.01050456597668381
