spec,H0_b,weights,restricted,n_draws,t_obs,p_boot,min_attainable_p,frac_t_star_above_2,t_star_median
"primary (disclosed, FE)",0.0,rademacher,True,16,3.407164173600504,1.0,0.0625,1.0,4.311129324041714
"primary (disclosed, FE)",0.0,rademacher,False,16,3.407164173600504,0.875,0.0625,1.0,4.63037205293986
"primary (disclosed, FE)",0.0,webb6,True,1296,3.407164173600504,0.8888888888888888,0.0007716049382716049,1.0,4.301223624061379
"primary (disclosed, FE)",0.0,webb6,False,1296,3.407164173600504,0.8148148148148148,0.0007716049382716049,1.0,4.801721621809204
"primary (disclosed, FE)",1.0,rademacher,True,16,0.3839490040021814,1.0,0.0625,0.25,1.6877017584119671
"primary (disclosed, FE)",1.0,rademacher,False,16,0.3839490040021814,0.875,0.0625,0.125,0.8821287246169582
"primary (disclosed, FE)",1.0,webb6,True,1296,0.3839490040021814,0.8981481481481481,0.0007716049382716049,0.3425925925925926,1.634276276234687
"primary (disclosed, FE)",1.0,webb6,False,1296,0.3839490040021814,0.7592592592592593,0.0007716049382716049,0.1712962962962963,0.938161281367583
"drop LatAm (disclosed, FE)",0.0,rademacher,True,8,-2.2523022347532677,0.5,0.125,0.5,1.3386728336173748
"drop LatAm (disclosed, FE)",0.0,rademacher,False,8,-2.2523022347532677,1.0,0.125,1.0,16.332359275329463
"drop LatAm (disclosed, FE)",0.0,webb6,True,216,-2.2523022347532677,0.3333333333333333,0.004629629629629629,0.3333333333333333,1.096660246714149
"drop LatAm (disclosed, FE)",0.0,webb6,False,216,-2.2523022347532677,0.7777777777777778,0.004629629629629629,0.8888888888888888,3.7009886258566285
"drop LatAm (disclosed, FE)",1.0,rademacher,True,8,-9.704703754861052,0.5,0.125,0.5,4.88651018117871
"drop LatAm (disclosed, FE)",1.0,rademacher,False,8,-9.704703754861052,1.0,0.125,1.0,112.98365101149464
"drop LatAm (disclosed, FE)",1.0,webb6,True,216,-9.704703754861052,0.2777777777777778,0.004629629629629629,0.5,1.5686179120857298
"drop LatAm (disclosed, FE)",1.0,webb6,False,216,-9.704703754861052,0.8055555555555556,0.004629629629629629,1.0,21.49350148048353
no FE (disclosed),0.0,rademacher,True,16,9.00462023899239,0.125,0.0625,1.0,5.610790379584084
no FE (disclosed),0.0,rademacher,False,16,9.00462023899239,0.125,0.0625,1.0,5.214937029679512
no FE (disclosed),0.0,webb6,True,1296,9.00462023899239,0.06481481481481481,0.0007716049382716049,0.9675925925925926,5.3672140296145665
no FE (disclosed),0.0,webb6,False,1296,9.00462023899239,0.0763888888888889,0.0007716049382716049,1.0,5.436496540541773
no FE (disclosed),1.0,rademacher,True,16,5.165214927425322,0.125,0.0625,1.0,3.4457854237035335
no FE (disclosed),1.0,rademacher,False,16,5.165214927425322,0.125,0.0625,0.875,2.8833051698377132
no FE (disclosed),1.0,webb6,True,1296,5.165214927425322,0.09567901234567901,0.0007716049382716049,0.9197530864197531,3.4720929237189666
no FE (disclosed),1.0,webb6,False,1296,5.165214927425322,0.09567901234567901,0.0007716049382716049,0.8425925925925926,3.0014289478389236
"CPI P2 (disclosed, FE)",0.0,rademacher,True,16,10.854966835432103,0.25,0.0625,1.0,4.225043016281029
"CPI P2 (disclosed, FE)",0.0,rademacher,False,16,10.854966835432103,1.0,0.0625,1.0,11.67897546138822
"CPI P2 (disclosed, FE)",0.0,webb6,True,1296,10.854966835432103,0.12962962962962962,0.0007716049382716049,0.9537037037037037,4.138366282015124
"CPI P2 (disclosed, FE)",0.0,webb6,False,1296,10.854966835432103,0.6851851851851852,0.0007716049382716049,1.0,12.393157751284434
"CPI P2 (disclosed, FE)",1.0,rademacher,True,16,2.48710617407656,0.75,0.0625,0.75,3.651309225124171
"CPI P2 (disclosed, FE)",1.0,rademacher,False,16,2.48710617407656,0.75,0.0625,0.75,2.4898283700464328
"CPI P2 (disclosed, FE)",1.0,webb6,True,1296,2.48710617407656,0.6388888888888888,0.0007716049382716049,0.75,3.473845580978916
"CPI P2 (disclosed, FE)",1.0,webb6,False,1296,2.48710617407656,0.6018518518518519,0.0007716049382716049,0.7777777777777778,2.776341838206382
