document,filed,path,status,n_sentences,RNPL,Reserve Now,Pay Later,pay less upfront,flexible payment,deferred payment,payment program,cancellation,single fee,host-only fee,simplified fee/pricing,fee structure,service fee,total price,guest fee
"letter 2Q25 (8-K Ex99.1, 2025-08-06)",True,C:\Users\krish\citadel-abnb\data\raw\letters\2Q25_d17531dex991.htm,ok,183,0,0,0,0,1,0,0,2,0,0,0,0,6,0,0
"letter 3Q25 (8-K Ex99.1, 2025-11-06)",True,C:\Users\krish\citadel-abnb\data\raw\letters\3Q25_d40503dex991.htm,ok,177,0,5,5,0,1,0,0,5,0,0,0,3,7,0,0
"letter 4Q25 (8-K Ex99.1, 2026-02-12)",True,C:\Users\krish\citadel-abnb\data\raw\letters\4Q25_d58192dex991.htm,ok,162,0,3,3,0,2,0,0,6,1,0,1,3,6,0,0
"letter 1Q26 (8-K Ex99.1, 2026-05-07)",True,C:\Users\krish\citadel-abnb\data\raw\letters\1Q26_d23351dex991.htm,ok,183,0,9,10,0,0,0,0,6,0,0,1,4,7,0,0
"letter 2Q26 (8-K Ex99.1, 2026-08-06)",True,C:\Users\krish\citadel-abnb\data\raw\letters\2Q26_d70413dex991.htm,ok,189,0,8,8,0,1,0,0,10,1,0,1,2,7,0,0
10-K FY2025 (2026-02-12),True,C:\Users\krish\citadel-abnb\data\raw\filings\abnb_10k_FY2025.htm,ok,1765,0,2,2,5,1,0,2,14,2,0,0,5,20,0,2
10-Q 3Q25 (2025-11-06) [fetched],True,C:\Users\krish\citadel-abnb-adraudit\data\processed\pitch_model_v2\receipts\ADR_AUDIT\C5_fetched_abnb_2025q3_10q.html,ok,514,0,0,0,1,0,0,0,4,0,0,0,0,3,0,0
10-Q 1Q26 (2026-05-07),True,C:\Users\krish\citadel-abnb-adraudit\data\raw\regulatory\quantification\abnb_2026q1_10q.html,ok,524,0,0,0,0,0,3,3,6,0,0,0,0,2,0,0
10-Q 2Q26 (2026-08-06),True,C:\Users\krish\citadel-abnb\data\raw\regulatory\quantification\abnb_2026q2_10q.html,ok,540,8,1,1,0,4,0,0,6,0,0,0,0,2,0,0
DEF 14A 2026 (2026-04-24) [fetched],True,C:\Users\krish\citadel-abnb-adraudit\data\processed\pitch_model_v2\receipts\ADR_AUDIT\C5_fetched_abnb_2026_def14a.html,ok,1164,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0
transcript 3Q25 call (NOT a filing),False,C:\Users\krish\citadel-abnb\data\raw\transcripts\web\3Q25.html,ok,742,0,7,7,0,0,0,0,7,0,0,0,0,0,1,0
transcript 4Q25 call (NOT a filing),False,C:\Users\krish\citadel-abnb\data\raw\transcripts\web\4Q25.html,ok,621,0,8,8,0,0,0,0,12,0,0,3,5,4,1,1
transcript 1Q26 call (NOT a filing),False,C:\Users\krish\citadel-abnb\data\raw\transcripts\web\1Q26.html,ok,691,1,15,15,0,0,0,0,8,1,0,3,4,3,0,0
transcript 2Q26 call (NOT a filing),False,C:\Users\krish\citadel-abnb\data\raw\transcripts\web\2Q26.html,ok,675,1,9,9,0,1,0,0,2,1,0,2,1,7,1,1
