quarter,gbv_musd_regional_sum,gbv_musd,dev_pct
2021Q1,10300.0,10300.0,0.0
2021Q2,13400.0,13400.0,0.0
2021Q3,11900.0,11900.0,0.0
2021Q4,11300.0,11300.0,0.0
2022Q1,17200.0,17200.0,0.0
2022Q2,17000.0,17000.0,0.0
2022Q3,15600.0,15600.0,0.0
2022Q4,13500.0,13500.0,0.0
2023Q1,20400.0,20400.0,0.0
2023Q2,19100.0,19100.0,0.0
2023Q3,18300.0,18300.0,0.0
2023Q4,15500.0,15500.0,0.0
2024Q1,22900.0,22900.0,0.0
2024Q2,21200.0,21200.0,0.0
2024Q3,20100.0,20100.0,0.0
2024Q4,17600.0,17600.0,0.0
2025Q1,24500.0,24500.0,0.0
2025Q2,23500.0,23500.0,0.0
2025Q3,22900.0,22900.0,0.0
2025Q4,20400.0,20400.0,0.0
2026Q1,29200.0,29200.0,0.0
2026Q2,27200.0,27200.0,0.0
