object,revenue_musd,take_rate_at_decided_gbv_pct,bp_vs_3q25_17_88
D7 mechanism line (short),4640.17278539429,17.931271937531204,4.917586766220694
D7 mechanism line (base),4671.91937391577,18.053952005320788,17.185593545179145
D7 mechanism line (breaker),4688.907030002772,18.119598328198272,23.75022583292754
guide low 3Q26,4690.0,18.123821951573145,24.172588170414855
guide mid 3Q26,4730.0,18.27839612600021,39.630005613121355
Street LSEG 3Q26,4744.9,18.335975005974287,45.38789361052906
guide high 3Q26,4770.0,18.43297030042727,55.0874230558275
kernel (R1) 3Q26,4804.035502546225,18.564495543109594,68.23994732405971
B1 optimal-mix combined,4816.1,18.611117036454466,72.90209665854697
guide mid x cushion 1.857 pct,4817.8360999999995,18.61782594206003,73.57298721910333
kernel x central-theta fee step,4838.447308063177,18.697474953817785,81.53788839487888
