row,col,head,new,diff
0,phi_0,0.3633126282679239,0.3633129013627827,2.730948588380855e-07
1,phi_0,0.5321039049120169,0.5321041500775159,2.451654990132113e-07
2,phi_0,0.3301183003751384,0.3301191113275062,8.109523678134778e-07
3,phi_0,0.0552540828175303,0.055233968110633,2.011470689730621e-05
4,phi_0,0.4166574728308277,0.4166547451388089,2.7276920188112896e-06
5,phi_0,0.4568149391759358,0.456815312655269,3.7347933318221394e-07
6,phi_0,0.0552531102673756,0.0552425424890365,1.0567778339104494e-05
9,phi_0,0.365051665133579,0.3650526282568067,9.631232276707813e-07
10,phi_0,0.3517741465236668,0.3517736460627787,5.004608880643246e-07
11,phi_0,0.3301191294389485,0.330118642973923,4.864650254843284e-07
12,phi_0,0.3847808552048882,0.3847807799468435,7.525804468500041e-08
13,phi_0,0.0123880277861333,0.0123914397959935,3.412009860198975e-06
14,phi_0,0.3894181387961631,0.3894173399607638,7.988353993293451e-07
15,phi_0,0.384781059397727,0.3847810473619694,1.2035757612771647e-08
18,phi_0,0.3899036794454623,0.3899038158412521,1.3639578982926892e-07
19,phi_0,0.3517739849390905,0.3517736806659935,3.0427309699598837e-07
20,phi_0,0.6259055706898602,0.6259053117229011,2.5896695909910505e-07
21,phi_0,0.3847807586641922,0.3847804144931407,3.4417105149175953e-07
22,phi_0,0.00702088500794,0.0070209703457871,8.533784709961745e-08
23,phi_0,0.3960992724580738,0.3960989628981385,3.095599352964662e-07
24,phi_0,0.3847807091718698,0.3847810995079073,3.903360374923892e-07
0,phi_1,0.5020622073917425,0.5020619520605033,2.5533123915177924e-07
1,phi_1,0.0520575204061447,0.0520570716980994,4.4870804529612007e-07
2,phi_1,0.1228676017935138,0.1228659626609867,1.6391325270981305e-06
3,phi_1,0.7608999421631547,0.7609142659547408,1.4323791586057233e-05
4,phi_1,0.305955595336432,0.3059604016570246,4.806320592576352e-06
5,phi_1,0.1038675412835941,0.1038671943059219,3.46977672205373e-07
6,phi_1,0.7609006297691164,0.7609081556176424,7.525848525924417e-06
9,phi_1,0.1194329699014316,0.1194322886530058,6.812484257961993e-07
10,phi_1,2.2466532344483593e-08,1.0775062967564082e-08,1.1691469376919511e-08
11,phi_1,0.1228660630754682,0.1228670049351449,9.418596766952447e-07
12,phi_1,5.451382470355682e-07,4.414438100770477e-07,1.0369443695852048e-07
13,phi_1,0.2985715561938341,0.2985715647327281,8.538894036291822e-09
14,phi_1,0.0963434777083633,0.0963441485370726,6.708287093037946e-07
15,phi_1,2.588541973530638e-07,1.0191299394847123e-09,2.578350674135791e-07
18,phi_1,0.0412386238615645,0.0412383979222747,2.2593928980518818e-07
19,phi_1,1.4652574397042918e-08,1.7680496943901673e-08,3.027922546858755e-09
20,phi_1,2.470726782303948e-08,2.1389800710591187e-08,3.317467112448295e-09
21,phi_1,7.930520877201452e-07,1.014469762478446e-06,2.214176747583007e-07
22,phi_1,0.1433751278454703,0.1433744730269422,6.548185280952357e-07
23,phi_1,0.0438052302471487,0.0438062346339708,1.0043868221010221e-06
24,phi_1,1.3973889244192997e-07,1.483435694946532e-07,8.604677052723231e-09
0,phi_2,0.134625161666248,0.1346251445290816,1.7137166408165427e-08
1,phi_2,0.4158385618293886,0.4158387710727869,2.0924339827477212e-07
2,phi_2,0.5067986248387759,0.5067995013940904,8.76555314444083e-07
3,phi_2,0.0291420003676252,0.0291432090364261,1.208668800902618e-06
4,phi_2,0.2673779104774565,0.2673771037247491,8.067527074162584e-07
5,phi_2,0.3821115232926955,0.3821114578526192,6.544007630227e-08
6,phi_2,0.0291423413092393,0.0291426171276631,2.7581842380192123e-07
9,phi_2,0.4643690616053246,0.4643674722237737,1.5893815508705167e-06
10,phi_2,0.6482257867256801,0.6482263280380917,5.413124115616341e-07
11,phi_2,0.5067990505408062,0.5067983516890184,6.988517877726252e-07
12,phi_2,0.6152185665967929,0.6152187531937171,1.8659692424538576e-07
13,phi_2,0.2425942780810984,0.2425924661481892,1.8119329092125547e-06
14,phi_2,0.4023499398399695,0.4023503469814953,4.0714152582665974e-07
15,phi_2,0.61521864130229,0.6152189505862199,3.0928392991125264e-07
18,phi_2,0.5688576776522882,0.5688577620754646,8.442317633861052e-08
19,phi_2,0.6482259743414802,0.648226283464144,3.091226637996769e-07
20,phi_2,0.374094378655795,0.3740946439938358,2.6533804081685375e-07
21,phi_2,0.615218417066164,0.6152185031546288,8.608846480129273e-08
22,phi_2,0.5205316685225306,0.5205327843555609,1.1158330303073782e-06
23,phi_2,0.5600954953713372,0.5600948006923933,6.946789439243872e-07
24,phi_2,0.6152191420657768,0.6152187420575304,4.000082464150623e-07
0,phi_3,8.80849387417286e-10,5.001109388727259e-10,3.807384485445601e-10
1,phi_3,5.469079486183214e-09,4.181841942935283e-09,1.2872375432479313e-09
2,phi_3,3.8447015386238343e-08,8.27741912840788e-09,3.0169596257830465e-08
3,phi_3,5.664741500595071e-09,6.369218124645331e-09,7.044766240502595e-10
4,phi_3,0.0100090087888479,0.0100077458029876,1.262985860299784e-06
5,phi_3,0.057205995473992,0.0572060344582001,3.8984208097780915e-08
6,phi_3,2.946753469865391e-09,1.169719147245271e-08,8.75043800258732e-09
9,phi_3,0.0021625272890398,0.0021646643622704,2.137073230600115e-06
10,phi_3,5.14392206768485e-09,3.5324468980741643e-09,1.6114751696106855e-09
11,phi_3,3.477221336440782e-08,1.1128692151358084e-08,2.3643521213049736e-08
12,phi_3,1.5267135402222344e-08,2.1020116831867133e-08,5.752981429644789e-09
13,phi_3,0.1219225710988686,0.121924303991668,1.7328927993942589e-06
14,phi_3,0.0341737745991713,0.0341724683548122,1.3062443591019268e-06
15,phi_3,2.7096384641317463e-08,3.54179271412809e-10,2.6742205369904653e-08
18,phi_3,7.836054645875083e-09,5.347824199568025e-09,2.4882304463070583e-09
19,phi_3,1.291509728079132e-08,5.358887877951565e-09,7.556209402839756e-09
20,phi_3,1.0192763302166162e-08,1.2641863779284909e-08,2.4491004771187465e-09
21,phi_3,1.7577627646923545e-08,3.3861007707094846e-08,1.62833800601713e-08
22,phi_3,0.0067234989724207,0.0067230675610498,4.314113709004072e-07
23,phi_3,6.389789069173996e-10,1.1035306235520456e-09,4.64551716634646e-10
24,phi_3,5.545384169055638e-09,7.029091546495927e-09,1.4837073774402887e-09
0,phi_4,1.7932363239074056e-09,1.5475213448531872e-09,2.4571497905421847e-10
1,phi_4,7.383370269445681e-09,2.9697559560407104e-09,4.41361431340497e-09
2,phi_4,0.0402154345455564,0.0402154163399975,1.820555890069686e-08
3,phi_4,0.1547039689869479,0.154708550528982,4.581542034087782e-06
4,phi_4,1.2566435774425493e-08,3.676429534388667e-09,8.890006240036826e-09
5,phi_4,7.737825135264733e-10,7.279897116020321e-10,4.5792801924441245e-11
6,phi_4,0.1547039157075149,0.1547066730684665,2.757360951594068e-06
9,phi_4,0.048983776070625,0.048982946504143,8.295664820009985e-07
10,phi_4,3.9140198700244336e-08,1.15916197118818e-08,2.7548578988362537e-08
11,phi_4,0.0402157221725637,0.0402159892732214,2.671006576956958e-07
12,phi_4,1.7792936567557618e-08,4.39551245597424e-09,1.3397424111583378e-08
