item,scenario,period,point,unit,note
revenue_kernel_musd,base,3Q26,4804.0,musd,lambda_Q3 x (2/3 GBV_2Q26 + 1/3 GBV_1Q26); SCENARIO-INVARIANT (both GBV are printed)
revenue_guide_cushion_musd,base,3Q26,4817.8,musd,guide mid 4730 x (1 + 1.857%); SCENARIO-INVARIANT
revenue_bridge_musd,base,3Q26,4804.0,musd,h2_bridge_v3 3Q26; IDENTICAL to the kernel by construction; SCENARIO-INVARIANT
revenue_street_musd,base,3Q26,4744.0,musd,"LSEG-family as-of 2026-09-11 (V1, DEC-0013); SCENARIO-INVARIANT"
revenue_card_musd,base,3Q26,4804.0,musd,nights x ADR x implied take rate 18.5645% (held fixed so base ties to the kernel)
revenue_kernel_musd,short,3Q26,4804.0,musd,lambda_Q3 x (2/3 GBV_2Q26 + 1/3 GBV_1Q26); SCENARIO-INVARIANT (both GBV are printed)
revenue_guide_cushion_musd,short,3Q26,4817.8,musd,guide mid 4730 x (1 + 1.857%); SCENARIO-INVARIANT
revenue_bridge_musd,short,3Q26,4804.0,musd,h2_bridge_v3 3Q26; IDENTICAL to the kernel by construction; SCENARIO-INVARIANT
revenue_street_musd,short,3Q26,4744.0,musd,"LSEG-family as-of 2026-09-11 (V1, DEC-0013); SCENARIO-INVARIANT"
revenue_card_musd,short,3Q26,4678.4,musd,nights x ADR x implied take rate 18.5645% (held fixed so base ties to the kernel)
revenue_kernel_musd,breaker,3Q26,4804.0,musd,lambda_Q3 x (2/3 GBV_2Q26 + 1/3 GBV_1Q26); SCENARIO-INVARIANT (both GBV are printed)
revenue_guide_cushion_musd,breaker,3Q26,4817.8,musd,guide mid 4730 x (1 + 1.857%); SCENARIO-INVARIANT
revenue_bridge_musd,breaker,3Q26,4804.0,musd,h2_bridge_v3 3Q26; IDENTICAL to the kernel by construction; SCENARIO-INVARIANT
revenue_street_musd,breaker,3Q26,4744.0,musd,"LSEG-family as-of 2026-09-11 (V1, DEC-0013); SCENARIO-INVARIANT"
revenue_card_musd,breaker,3Q26,4870.4,musd,nights x ADR x implied take rate 18.5645% (held fixed so base ties to the kernel)
