quarter,ticker,metric,report_date,accession,exhibit_url,extracted_text
2020Q4,BKNG,adj_ebitda,2021-02-24,0001075531-21-000016,https://www.sec.gov/Archives/edgar/data/1075531/000107553121000016/ex991123120.htm,Adjusted EBITDA | | $ | (38)
2020Q4,BKNG,adj_ebitda_margin,2021-02-24,0001075531-21-000016,https://www.sec.gov/Archives/edgar/data/1075531/000107553121000016/ex991123120.htm,Adjusted EBITDA as a % of Total Revenues | | (3.1) | %
2020Q4,BKNG,gross_bookings,2021-02-24,0001075531-21-000016,https://www.sec.gov/Archives/edgar/data/1075531/000107553121000016/ex991123120.htm,"gross travel bookings for Booking Holdings Inc. (the ""Company,"" ""Booking Holdings,"" ""we,"" ""our"" or ""us""), which refers to the total dollar value, generally inclusive of taxes and fees, of all travel services booked by it"
2020Q4,BKNG,revenue,2021-02-24,0001075531-21-000016,https://www.sec.gov/Archives/edgar/data/1075531/000107553121000016/ex991123120.htm,"total revenues for the 4th quarter of 2020 were $1.2 billion, a 63% decrease from the prior year on both an as-reported and constant-currency basis"
2020Q4,BKNG,room_nights,2021-02-24,0001075531-21-000016,https://www.sec.gov/Archives/edgar/data/1075531/000107553121000016/ex991123120.htm,Room nights booked in the 4th quarter decreased 60%
2021Q1,BKNG,adj_ebitda,2021-05-05,0001075531-21-000028,https://www.sec.gov/Archives/edgar/data/1075531/000107553121000028/ex99133121.htm,Adjusted EBITDA | | | | | | $ | (195)
2021Q1,BKNG,adj_ebitda_margin,2021-05-05,0001075531-21-000028,https://www.sec.gov/Archives/edgar/data/1075531/000107553121000028/ex99133121.htm,Adjusted EBITDA as a % of Total Revenues | | | | | | (17.1) | %
2021Q1,BKNG,gross_bookings,2021-05-05,0001075531-21-000028,https://www.sec.gov/Archives/edgar/data/1075531/000107553121000028/ex99133121.htm,"gross travel bookings for Booking Holdings Inc. (the ""Company,"" ""Booking Holdings,"" ""we,"" ""our"" or ""us""), which refers to the total dollar value, generally inclusive of taxes and fees, of all travel services booked by it"
2021Q1,BKNG,revenue,2021-05-05,0001075531-21-000028,https://www.sec.gov/Archives/edgar/data/1075531/000107553121000028/ex99133121.htm,"total revenues for the 1st quarter of 2021 were $1.1 billion, a 50% decrease from the prior year (approximately a 51% decrease on a constant-currency basis)"
2021Q1,BKNG,room_nights,2021-05-05,0001075531-21-000028,https://www.sec.gov/Archives/edgar/data/1075531/000107553121000028/ex99133121.htm,Room nights booked in the 1st quarter decreased 20%
2021Q2,BKNG,adj_ebitda,2021-08-04,0001075531-21-000042,https://www.sec.gov/Archives/edgar/data/1075531/000107553121000042/ex99163021.htm,Adjusted EBITDA | | $ | 48
2021Q2,BKNG,adj_ebitda_margin,2021-08-04,0001075531-21-000042,https://www.sec.gov/Archives/edgar/data/1075531/000107553121000042/ex99163021.htm,Adjusted EBITDA as a % of Total Revenues | | 2.2 | %
