family,series,transform,lag,target,available_before_print,n,first_q,last_q,pearson_r,pearson_p,spearman_rho,spearman_p,perm_p,rmse_loo_ols,rmse_loo_mean,rmse_naive_last,rmse_seasonal_naive,rmse_zero,r_half1,r_half2,sign_stable,n_ex2021,first_q_ex2021,last_q_ex2021,pearson_r_ex2021,pearson_p_ex2021,spearman_rho_ex2021,spearman_p_ex2021,perm_p_ex2021,rmse_loo_ols_ex2021,rmse_loo_mean_ex2021,rmse_naive_last_ex2021,rmse_seasonal_naive_ex2021,rmse_zero_ex2021,r_half1_ex2021,r_half2_ex2021,sign_stable_ex2021,n_post2022,first_q_post2022,last_q_post2022,pearson_r_post2022,pearson_p_post2022,spearman_rho_post2022,spearman_p_post2022,perm_p_post2022,rmse_loo_ols_post2022,rmse_loo_mean_post2022,rmse_naive_last_post2022,rmse_seasonal_naive_post2022,rmse_zero_post2022,r_half1_post2022,r_half2_post2022,sign_stable_post2022,flag_r_gt_0.5_perm_lt_0.05,bh_q,bonferroni_sig,ols_beats_naive_last,ols_beats_seasonal,ols_beats_loo_mean,flag_r_gt_0.5_perm_lt_0.05_ex2021,bh_q_ex2021,bonferroni_sig_ex2021,ols_beats_naive_last_ex2021,ols_beats_seasonal_ex2021,ols_beats_loo_mean_ex2021,flag_r_gt_0.5_perm_lt_0.05_post2022,bh_q_post2022,bonferroni_sig_post2022,ols_beats_naive_last_post2022,ols_beats_seasonal_post2022,ols_beats_loo_mean_post2022,bh_q_within_target,survives_all_windows,note
macro,cpi_lodging_sa,level,0,nights_yoy,yes: month-3 CPI out ~2 weeks after quarter end (4Q25 uses Nov-Dec only; Oct 2025 CPI not published),22,2021Q1,2026Q2,0.4432,0.0389,0.7831,0.0000,0.0589,38.6866,41.8582,55.3297,44.3333,,0.2826,0.4496,True,18.0000,2022Q1,2026Q2,0.8945,0.0000,0.7932,0.0001,0.0010,8.2106,12.6420,8.5277,44.3333,,0.8770,0.4678,True,14.0000,2023Q1,2026Q2,0.8029,0.0005,0.6980,0.0055,0.0010,2.3163,3.1986,3.0237,12.3664,,0.9024,0.4456,True,False,0.1105,False,True,True,True,True,0.0000,True,True,True,True,True,0.0317,False,True,True,True,0.0909,False,
macro,cpi_lodging_sa,level,0,nights_accel,yes: month-3 CPI out ~2 weeks after quarter end (4Q25 uses Nov-Dec only; Oct 2025 CPI not published),21,2021Q2,2026Q2,-0.1238,0.5930,-0.0170,0.9418,0.4755,63.0621,58.0960,91.2916,67.6587,,-0.1908,0.1600,False,18.0000,2022Q1,2026Q2,-0.4408,0.0671,-0.1758,0.4854,0.0749,11.5134,8.5570,14.0929,67.6587,,-0.3468,0.1771,False,14.0000,2023Q1,2026Q2,-0.0172,0.9535,-0.0556,0.8502,0.9560,3.3942,3.1641,4.9135,7.7828,,0.0785,0.1486,True,False,0.7741,False,True,True,False,False,0.1883,False,True,True,False,False,0.9754,False,True,True,False,0.7077,False,
macro,cpi_lodging_sa,level,0,gbv_yoy,yes: month-3 CPI out ~2 weeks after quarter end (4Q25 uses Nov-Dec only; Oct 2025 CPI not published),22,2021Q1,2026Q2,0.3481,0.1124,0.5992,0.0032,0.1738,65.8166,67.8646,84.5520,72.4377,,0.1724,0.1914,True,18.0000,2022Q1,2026Q2,0.8489,0.0000,0.6494,0.0035,0.0020,10.6406,13.7808,11.7213,72.4377,,0.8476,0.1682,True,14.0000,2023Q1,2026Q2,0.4817,0.0811,0.4172,0.1377,0.0829,3.3045,3.5990,3.3806,14.7503,,0.8882,0.0809,True,False,0.2422,False,True,True,True,True,0.0002,True,True,True,True,False,0.4213,False,True,True,True,0.2208,False,
macro,cpi_lodging_sa,level,0,adr_yoy,yes: month-3 CPI out ~2 weeks after quarter end (4Q25 uses Nov-Dec only; Oct 2025 CPI not published),18,2022Q1,2026Q2,-0.0135,0.9577,-0.1945,0.4393,0.9630,2.9315,2.6109,2.5209,3.8025,,0.2812,-0.0322,False,18.0000,2022Q1,2026Q2,-0.0135,0.9577,-0.1945,0.4393,0.9690,2.9315,2.6109,2.5209,3.8025,,0.2812,-0.0322,False,14.0000,2023Q1,2026Q2,-0.2601,0.3691,-0.3480,0.2227,0.3816,2.7271,2.6740,1.9306,3.8025,,-0.3366,-0.1235,True,False,0.9842,False,False,True,False,False,0.9899,False,False,True,False,False,0.6703,False,False,True,False,0.9932,False,
macro,cpi_lodging_sa,level,0,adr_exfx_yoy,yes: month-3 CPI out ~2 weeks after quarter end (4Q25 uses Nov-Dec only; Oct 2025 CPI not published),17,2022Q2,2026Q2,0.3889,0.1229,0.2767,0.2824,0.0919,2.7249,2.9151,2.3651,4.0000,,0.2801,0.3746,True,17.0000,2022Q2,2026Q2,0.3889,0.1229,0.2767,0.2824,0.1029,2.7249,2.9151,2.3651,4.0000,,0.2801,0.3746,True,14.0000,2023Q1,2026Q2,0.0592,0.8406,-0.0567,0.8475,0.8342,1.3119,1.1942,1.0522,4.0000,,-0.0603,0.4111,False,False,0.2592,False,False,True,True,False,0.2917,False,False,True,True,False,0.9229,False,False,True,False,0.1743,False,
macro,cpi_lodging_sa,level,0,adr_fx_effect,yes: month-3 CPI out ~2 weeks after quarter end (4Q25 uses Nov-Dec only; Oct 2025 CPI not published),17,2022Q2,2026Q2,-0.5396,0.0254,-0.5104,0.0363,0.0230,2.9783,3.4714,2.0447,4.8081,,-0.4284,-0.2264,True,17.0000,2022Q2,2026Q2,-0.5396,0.0254,-0.5104,0.0363,0.0260,2.9783,3.4714,2.0447,4.8081,,-0.4284,-0.2264,True,14.0000,2023Q1,2026Q2,-0.3351,0.2415,-0.3745,0.1872,0.2527,2.3862,2.2868,2.1058,4.8081,,-0.1467,-0.3904,True,True,0.0810,False,False,True,True,True,0.0899,False,False,True,True,False,0.5778,False,False,True,False,0.0498,False,
macro,cpi_lodging_sa,level,0,rev_beat_pct,yes: month-3 CPI out ~2 weeks after quarter end (4Q25 uses Nov-Dec only; Oct 2025 CPI not published),19,2021Q4,2026Q2,0.4962,0.0307,0.2529,0.2963,0.0390,1.5794,1.5940,1.8683,1.9051,2.9659,0.5432,-0.1936,False,18.0000,2022Q1,2026Q2,0.1912,0.4472,0.1250,0.6212,0.4885,1.4529,1.2299,1.8683,1.9051,2.5915,-0.0300,-0.1920,True,14.0000,2023Q1,2026Q2,-0.1342,0.6475,0.0507,0.8634,0.6454,1.2453,1.1923,1.7746,1.7501,2.4629,-0.1325,-0.3330,True,False,0.0929,False,True,True,True,False,0.6958,False,True,True,False,False,0.8291,False,True,True,False,0.1058,False,
macro,cpi_lodging_sa,level,0,excess_1d_pct,yes: month-3 CPI out ~2 weeks after quarter end (4Q25 uses Nov-Dec only; Oct 2025 CPI not published),22,2021Q1,2026Q2,0.2573,0.2477,0.2479,0.2660,0.2488,8.5405,8.6157,11.8178,11.7731,,0.2588,0.7244,True,18.0000,2022Q1,2026Q2,0.1483,0.5569,0.1290,0.6099,0.5754,9.0288,8.9334,12.2433,11.7731,,0.2427,0.7466,True,14.0000,2023Q1,2026Q2,0.1286,0.6613,0.0549,0.8520,0.6633,10.2875,8.9779,12.1966,11.5384,,0.1093,0.7824,True,False,0.4356,False,True,True,True,False,0.7830,False,True,True,False,False,0.8373,False,True,True,False,0.6711,False,
macro,cpi_lodging_sa,level,1,nights_yoy,yes (prior quarter),22,2021Q1,2026Q2,-0.0817,0.7178,0.4718,0.0266,0.6553,47.8390,41.8582,55.3297,44.3333,,-0.3251,0.2970,False,18.0000,2022Q1,2026Q2,0.8213,0.0000,0.7027,0.0011,0.0010,9.9987,12.6420,8.5277,44.3333,,0.7600,-0.4104,False,14.0000,2023Q1,2026Q2,0.5115,0.0615,0.4214,0.1334,0.0639,3.0529,3.1986,3.0237,12.3664,,0.5225,-0.4807,False,False,0.8656,False,True,False,False,True,0.0005,True,False,True,True,False,0.3750,False,False,True,True,0.8945,False,
macro,cpi_lodging_sa,level,1,nights_accel,yes (prior quarter),21,2021Q2,2026Q2,-0.4126,0.0631,-0.4026,0.0704,0.0729,59.3416,58.0960,91.2916,67.6587,,-0.5072,-0.5305,True,18.0000,2022Q1,2026Q2,-0.5811,0.0114,-0.4431,0.0655,0.0300,9.8518,8.5570,14.0929,67.6587,,-0.4951,-0.5816,True,14.0000,2023Q1,2026Q2,-0.5617,0.0366,-0.5095,0.0627,0.0320,3.0261,3.1641,4.9135,7.7828,,-0.4424,-0.6282,True,False,0.1591,False,True,True,False,True,0.0492,False,True,True,False,True,0.3043,False,True,True,True,0.1119,False,
