block,kind,target,predictor,n,pearson_r,pearson_p,spearman_rho,spearman_p,perm_p,loo_rmse,naive_last_rmse,loo_mean_rmse,loo_r2_vs_mean,beats_naive_last,beats_loo_mean,mean_surprise,median_surprise,share_positive,r2_full,loo_r2,rmse_model_loo,rmse_sqpy_naive,rmse_model_loo_on_bound_rows,rmse_guide_bound,rmse_sqpy_on_bound_rows,n_bound_rows,coefs,quarters,nowcast_surprise_vs_bound_pts,nowcast_margin_pct,guide_bound_pct,sqpy_margin_pct,nowcast_margin_yoy_pts
univariate,lagged (pre-print),surprise_vs_bound_pts,sm_cash_yoy_lag1,14,-0.5448,0.0440,-0.3319,0.2464,0.0417,2.7916,3.0304,2.9710,0.1171,1.0000,1.0000,,,,,,,,,,,,,,,,,,
univariate,lagged (pre-print),surprise_vs_bound_pts,sm_delev_pts_lag1,14,-0.6225,0.0174,-0.5165,0.0586,0.0173,2.6140,3.0304,2.9710,0.2258,1.0000,1.0000,,,,,,,,,,,,,,,,,,
univariate,lagged (pre-print),surprise_vs_bound_pts,sm_delev_trail2,14,-0.3914,0.1664,-0.3055,0.2882,0.1691,3.0277,3.0304,2.9710,-0.0386,1.0000,0.0000,,,,,,,,,,,,,,,,,,
univariate,lagged (pre-print),surprise_vs_bound_pts,ops_per_night_yoy_lag1,14,0.1644,0.5744,0.3363,0.2398,0.5827,3.1388,3.0304,2.9710,-0.1162,0.0000,0.0000,,,,,,,,,,,,,,,,,,
univariate,lagged (pre-print),surprise_vs_bound_pts,take_rate_chg_bps_lag1,14,0.2673,0.3555,0.3187,0.2668,0.3471,2.9867,3.0304,2.9710,-0.0106,1.0000,0.0000,,,,,,,,,,,,,,,,,,
univariate,lagged (pre-print),surprise_vs_bound_pts,sbc_pct_rev_chg_pts_lag1,14,-0.3050,0.2890,-0.1956,0.5028,0.2906,2.9326,3.0304,2.9710,0.0257,1.0000,1.0000,,,,,,,,,,,,,,,,,,
univariate,lagged (pre-print),surprise_vs_bound_pts,adr_exfx_yoy_lag1,14,-0.1774,0.5441,-0.1868,0.5225,0.5454,3.0337,3.0304,2.9710,-0.0426,0.0000,0.0000,,,,,,,,,,,,,,,,,,
univariate,lagged (pre-print),surprise_vs_bound_pts,fx_pts,14,0.0362,0.9022,0.1379,0.6384,0.8979,3.0625,3.0304,2.9710,-0.0626,0.0000,0.0000,,,,,,,,,,,,,,,,,,
univariate,lagged (pre-print),surprise_vs_bound_pts,hotel_cpi_q_yoy,14,0.1268,0.6658,0.3758,0.1854,0.6717,3.1020,3.0304,2.9710,-0.0901,0.0000,0.0000,,,,,,,,,,,,,,,,,,
univariate,lagged (pre-print),surprise_vs_bound_pts,pre_this_guide_mid_yoy,14,0.4627,0.0957,0.6791,0.0076,0.0968,2.8162,3.0304,2.9710,0.1015,1.0000,1.0000,,,,,,,,,,,,,,,,,,
