year,q,quarter,region,measure,n_markets,w_equal,w_reviews,w_median,reviews,reviews_lag12,regions_weight_covered
2016,1,1Q16,APAC,yoy_all,17.0,1.6503812973620204,1.806832901554404,1.5882352941176472,34670.0,12352.0,
2016,1,1Q16,EMEA,yoy_all,56.0,1.485244788426094,1.197541212629226,1.3987951807228916,110110.0,50106.0,
2016,1,1Q16,LatAm,yoy_all,7.0,1.661058572649002,1.1113478955780502,1.9542857142857144,11889.0,5631.0,
2016,1,1Q16,NAM,yoy_all,39.0,1.5173982761027105,1.039405021161195,1.291845493562232,49633.0,24337.0,
2016,1,1Q16,GLOBAL,yoy_all,119.0,1.5297154032232294,1.23207755393504,1.4,206302.0,92426.0,
2016,2,2Q16,APAC,yoy_all,17.0,1.5280390732414126,1.5452940137736184,1.4078651685393258,28828.0,11326.0,
2016,2,2Q16,EMEA,yoy_all,57.0,1.0430410449797136,0.7992203707421535,0.8987341772151898,215086.0,119544.0,
2016,2,2Q16,LatAm,yoy_all,7.0,1.4675531152830656,1.003801558639042,1.6741214057507987,10542.0,5261.0,
2016,2,2Q16,NAM,yoy_all,41.0,1.1502890609119842,0.929276073619632,0.958025650991061,78618.0,40750.0,
2016,2,2Q16,GLOBAL,yoy_all,122.0,1.171022353387873,0.8830400099501925,1.032558395576171,333074.0,176881.0,
2016,3,3Q16,APAC,yoy_all,17.0,1.4636988387711485,1.5089968829696798,1.3413231064237774,35417.0,14116.0,
2016,3,3Q16,EMEA,yoy_all,57.0,0.9128271000116692,0.7605217475751727,0.8706489041684573,290053.0,164754.0,
2016,3,3Q16,LatAm,yoy_all,7.0,1.3873777408692298,1.1445766071934296,1.288640595903166,15145.0,7062.0,
2016,3,3Q16,NAM,yoy_all,42.0,1.1970581293692235,0.8615615669306824,0.9662343331046954,104119.0,55931.0,
2016,3,3Q16,GLOBAL,yoy_all,123.0,1.1130252892631436,0.8387847665827348,0.9814814814814814,444734.0,241863.0,
2016,4,4Q16,APAC,yoy_all,17.0,1.3168304389765624,1.3736330235573804,1.143478260869565,54914.0,23135.0,
2016,4,4Q16,EMEA,yoy_all,57.0,0.9609542982688224,0.780614132445431,0.9046084885838352,211772.0,118932.0,
2016,4,4Q16,LatAm,yoy_all,7.0,1.1060803362460976,0.9140991868056352,1.2846034214618975,16712.0,8731.0,
