period,region,n_markets,w_equal,w_reviews,w_median,n_cur,n_prior,regions_weight_covered
2026-06,APAC,17,0.22145092193895294,0.21533567652988927,0.2181977936151518,178421.0,146808.0,
2026-06,EMEA,57,0.17698524454971137,0.16492975866054138,0.16807228915662642,926337.0,795187.0,
2026-06,LatAm,7,0.34295442206377647,0.39838269611748367,0.43365129835718075,198348.0,141841.0,
2026-06,NAM,42,0.30192611325037333,0.31160752735947717,0.25030463810111525,383758.0,292586.0,
2026-07,APAC,14,0.219250559971594,0.2642020701913359,0.19849827989469293,145095.0,114772.0,
2026-07,EMEA,55,0.2145106718707921,0.20705979909915007,0.19320533866247946,960717.0,795915.0,
2026-07,LatAm,7,0.46819814240406543,0.5239922980624416,0.4716103304215724,239820.0,157363.0,
2026-07,NAM,36,0.26804719845384534,0.28066512235590224,0.23518978219090325,319549.0,249518.0,
2026-08_to_date,APAC,14,0.2662569767711411,0.26595865129865714,0.25019510651761234,55906.0,44161.0,
2026-08_to_date,EMEA,55,0.19141178307816692,0.1630388176395965,0.1942182410423452,393306.0,338171.0,
2026-08_to_date,LatAm,7,0.5723375265330163,0.6390232412060302,0.5570819112627987,104373.0,63680.0,
2026-08_to_date,NAM,36,0.27456567877635346,0.27453819365584065,0.2251321674395378,134683.0,105672.0,
2026-06,GLOBAL,123,0.23523904327851922,0.2255427477910117,0.2060928235534656,1686864.0,1376422.0,
2026-07,GLOBAL,112,0.2481667940505605,0.2638292672560354,0.21646807336724172,1665181.0,1317568.0,
2026-08_to_date,GLOBAL,112,0.2513033291587053,0.24757651119118917,0.22193065993787364,688268.0,551684.0,
2026-06,GLOBAL_NW,123,0.2474508059245182,,,,,100.1
2026-07,GLOBAL_NW,112,0.2755934895379835,,,,,100.1
2026-08_to_date,GLOBAL_NW,112,0.2922351790674183,,,,,100.1
