years_back,region,n_markets,w_equal,w_reviews,w_median,n_cur,n_prior,regions_weight_covered
0,APAC,17,0.22790240654163507,0.28259810989821443,0.2181835347432024,271299.0,211523.0,
0,EMEA,57,0.20793628082200152,0.19370217657625743,0.2004234872546624,1374862.0,1151763.0,
0,LatAm,7,0.5027859139135755,0.5571314178689215,0.5203657522859517,344193.0,221043.0,
0,NAM,42,0.2717258575707264,0.2958986731001205,0.23879309492436762,537150.0,414500.0,
1,APAC,17,0.2716368157669671,0.2527643696881756,0.273575247412126,211523.0,168845.0,
1,EMEA,57,0.22533279124147257,0.1873355737907716,0.1919853539462979,1151763.0,970040.0,
1,LatAm,7,0.4178384209197802,0.4530353327855383,0.42277618364418945,221043.0,152125.0,
1,NAM,42,0.19970509428191807,0.19313880421297447,0.16270023639953313,414500.0,347403.0,
2,APAC,17,0.27274816636944077,0.24425202652910838,0.3111024693758506,168845.0,135700.0,
2,EMEA,57,0.2150883565665021,0.19207023339035367,0.2009444814433614,970040.0,813744.0,
2,LatAm,7,0.48428329810421983,0.4467565074323103,0.42184368737474953,152125.0,105149.0,
2,NAM,42,0.2261170189523069,0.18913766015054057,0.22351245701080025,347403.0,292147.0,
3,APAC,17,0.7936970386138041,0.4512748117727583,0.17211328976034856,135700.0,93504.0,
3,EMEA,57,0.27741661478285,0.24782864713675834,0.2576151560178306,813744.0,652128.0,
3,LatAm,7,0.5684795406886584,0.6046912675884382,0.6422740524781341,105149.0,65526.0,
3,NAM,42,0.266426077841334,0.21766476050749395,0.2392060668146705,292147.0,239924.0,
4,APAC,17,1.9484441600879232,0.6648386867032263,0.7446808510638299,93504.0,56164.0,
4,EMEA,57,0.8128725772078381,0.7314036750591402,0.7086438152011922,652128.0,376647.0,
4,LatAm,7,1.5031252030457039,1.1498736835198007,0.9684341195247383,65526.0,30479.0,
4,NAM,42,0.4748798426397404,0.3701487082257806,0.3947748244590201,239924.0,175108.0,
0,GLOBAL,123,0.24925769376770263,0.26449236027694223,0.21915197713196766,2527504.0,1998829.0,
1,GLOBAL,123,0.2339372184965967,0.21997872331335255,0.1902901785714286,1998829.0,1638413.0,
2,GLOBAL,123,0.24214352061217514,0.2165770675854286,0.2146867480616701,1638413.0,1346740.0,
3,GLOBAL,123,0.36158413620498986,0.2812891858104316,0.25317439751230886,1346740.0,1051082.0,
4,GLOBAL,123,0.8936920116628495,0.6464368622708718,0.5922032413491021,1051082.0,638398.0,
0,GLOBAL_NW,123,0.2811494356739454,,,,,100.1
1,GLOBAL_NW,123,0.2582011873348781,,,,,100.1
2,GLOBAL_NW,123,0.27342917834092334,,,,,100.1
3,GLOBAL_NW,123,0.389796668642888,,,,,100.1
4,GLOBAL_NW,123,0.980283746874628,,,,,100.1
