market,region,snapshot_date,listing_nights,blocked_nights,horizon,blocked_share,max_listings_any_night,theo_listing_nights,theo_listings,theo_blocked_rate,diff_pp,night_ratio
austin,na,2026-06-22,333278,156514,h000_030,0.4696199569128475,11320,333278,11320,0.46962,-4.30871524570442e-06,1.0
austin,na,2026-06-22,339600,111237,h031_060,0.3275530035335689,11320,339600,11320,0.32755,0.00030035335689126974,1.0
austin,na,2026-06-22,339600,93054,h061_090,0.2740106007067138,11320,339600,11320,0.27401,6.007067138158462e-05,1.0
austin,na,2026-06-22,1018800,333747,h091_180,0.3275883392226148,11320,1018800,11320,0.32759,-0.00016607773851706753,1.0
austin,na,2026-06-22,2098160,868800,h181_372,0.4140770961223167,11320,2098160,11320,0.41408,-0.00029038776833134605,1.0
bangkok,apac,2026-06-29,909789,281192,h000_030,0.309073862181231,31069,909789,31069,0.30907,0.0003862181230995798,1.0
bangkok,apac,2026-06-29,932070,168884,h031_060,0.18119239971246795,31069,932070,31069,0.18119,0.00023997124679597803,1.0
bangkok,apac,2026-06-29,932070,113496,h061_090,0.12176767839325373,31069,932070,31069,0.12177,-0.00023216067462777934,1.0
bangkok,apac,2026-06-29,2796210,505112,h091_180,0.1806416542391308,31069,2796210,31069,0.18064,0.0001654239130816082,1.0
bangkok,apac,2026-06-29,5770016,1668554,h181_372,0.28917666779433543,31069,5770016,31069,0.28918,-0.00033322056645634923,1.0
barcelona,emea,2026-06-24,446078,294135,h000_030,0.6593801980819498,15406,446078,15406,0.65938,1.9808194984261007e-05,1.0
barcelona,emea,2026-06-24,462180,224003,h031_060,0.48466614738846336,15406,462180,15406,0.48467,-0.00038526115366255276,1.0
barcelona,emea,2026-06-24,462180,180015,h061_090,0.38949110736076853,15406,462180,15406,0.38949,0.00011073607685263553,1.0
barcelona,emea,2026-06-24,1386540,441878,h091_180,0.3186911304397998,15406,1386540,15406,0.31869,0.00011304397998235238,1.0
barcelona,emea,2026-06-24,2864366,1200592,h181_372,0.419147553071081,15406,2864366,15406,0.41915,-0.00024469289190420795,1.0
barossa-valley,apac,2026-06-29,11049,4577,h000_030,0.41424563308896734,360,11049,360,0.41425,-0.00043669110326716165,1.0
