region,month,arrivals
AFRICA,2000-01,18716.0
AFRICA,2000-02,14145.0
AFRICA,2000-03,23550.0
AFRICA,2000-04,23253.0
AFRICA,2000-05,25682.0
AFRICA,2000-06,27996.0
AFRICA,2000-07,31685.0
AFRICA,2000-08,32371.0
AFRICA,2000-09,26994.0
AFRICA,2000-10,23147.0
AFRICA,2000-11,18949.0
AFRICA,2000-12,28899.0
AFRICA,2001-01,21763.0
AFRICA,2001-02,15079.0
AFRICA,2001-03,21895.0
AFRICA,2001-04,23060.0
AFRICA,2001-05,27551.0
AFRICA,2001-06,30425.0
AFRICA,2001-07,32642.0
AFRICA,2001-08,37520.0
AFRICA,2001-09,21880.0
AFRICA,2001-10,18317.0
AFRICA,2001-11,15082.0
AFRICA,2001-12,21852.0
AFRICA,2002-01,16277.0
AFRICA,2002-02,12094.0
AFRICA,2002-03,16361.0
AFRICA,2002-04,18854.0
AFRICA,2002-05,23724.0
AFRICA,2002-06,22298.0
AFRICA,2002-07,25055.0
AFRICA,2002-08,30186.0
AFRICA,2002-09,21004.0
AFRICA,2002-10,17865.0
AFRICA,2002-11,15778.0
AFRICA,2002-12,21727.0
AFRICA,2003-01,16456.0
AFRICA,2003-02,11353.0
AFRICA,2003-03,14467.0
AFRICA,2003-04,14526.0
AFRICA,2003-05,21802.0
AFRICA,2003-06,22620.0
AFRICA,2003-07,25165.0
AFRICA,2003-08,29510.0
AFRICA,2003-09,23106.0
AFRICA,2003-10,18326.0
AFRICA,2003-11,16009.0
AFRICA,2003-12,22926.0
AFRICA,2004-01,15756.0
AFRICA,2004-02,11825.0
AFRICA,2004-03,15672.0
AFRICA,2004-04,18110.0
AFRICA,2004-05,23478.0
AFRICA,2004-06,23821.0
AFRICA,2004-07,25263.0
AFRICA,2004-08,28730.0
AFRICA,2004-09,22541.0
AFRICA,2004-10,17695.0
AFRICA,2004-11,15027.0
AFRICA,2004-12,22834.0
AFRICA,2005-01,15626.0
AFRICA,2005-02,12116.0
AFRICA,2005-03,16517.0
AFRICA,2005-04,18593.0
AFRICA,2005-05,24125.0
AFRICA,2005-06,27528.0
AFRICA,2005-07,26912.0
AFRICA,2005-08,30778.0
AFRICA,2005-09,23070.0
AFRICA,2005-10,17545.0
AFRICA,2005-11,14551.0
AFRICA,2005-12,24835.0
AFRICA,2006-01,16399.0
AFRICA,2006-02,11636.0
AFRICA,2006-03,15819.0
AFRICA,2006-04,20349.0
AFRICA,2006-05,23662.0
AFRICA,2006-06,24047.0
AFRICA,2006-07,26755.0
AFRICA,2006-08,30261.0
AFRICA,2006-09,22423.0
AFRICA,2006-10,18196.0
AFRICA,2006-11,16701.0
AFRICA,2006-12,26312.0
AFRICA,2007-01,17505.0
AFRICA,2007-02,13858.0
AFRICA,2007-03,18609.0
AFRICA,2007-04,21478.0
AFRICA,2007-05,24914.0
AFRICA,2007-06,26548.0
AFRICA,2007-07,30296.0
AFRICA,2007-08,32608.0
AFRICA,2007-09,23598.0
AFRICA,2007-10,20621.0
AFRICA,2007-11,18678.0
AFRICA,2007-12,29063.0
AFRICA,2008-01,19026.0
AFRICA,2008-02,15275.0
AFRICA,2008-03,20680.0
AFRICA,2008-04,23906.0
AFRICA,2008-05,29913.0
AFRICA,2008-06,31256.0
AFRICA,2008-07,37166.0
AFRICA,2008-08,39870.0
AFRICA,2008-09,25747.0
AFRICA,2008-10,23285.0
AFRICA,2008-11,19917.0
AFRICA,2008-12,29194.0
AFRICA,2009-01,19111.0
AFRICA,2009-02,13746.0
AFRICA,2009-03,18143.0
AFRICA,2009-04,20823.0
AFRICA,2009-05,27271.0
AFRICA,2009-06,26898.0
AFRICA,2009-07,35570.0
AFRICA,2009-08,36648.0
AFRICA,2009-09,24763.0
AFRICA,2009-10,22753.0
AFRICA,2009-11,18652.0
AFRICA,2009-12,29387.0
AFRICA,2010-01,19614.0
AFRICA,2010-02,14835.0
AFRICA,2010-03,21201.0
AFRICA,2010-04,22961.0
AFRICA,2010-05,29555.0
AFRICA,2010-06,30660.0
AFRICA,2010-07,35435.0
AFRICA,2010-08,38864.0
AFRICA,2010-09,27492.0
AFRICA,2010-10,25350.0
AFRICA,2010-11,19861.0
AFRICA,2010-12,29817.0
AFRICA,2011-01,22888.0
AFRICA,2011-02,15804.0
AFRICA,2011-03,20603.0
AFRICA,2011-04,25702.0
AFRICA,2011-05,31934.0
AFRICA,2011-06,32951.0
AFRICA,2011-07,39941.0
AFRICA,2011-08,42992.0
AFRICA,2011-09,30571.0
AFRICA,2011-10,26601.0
AFRICA,2011-11,21655.0
AFRICA,2011-12,33581.0
AFRICA,2012-01,22959.0
AFRICA,2012-02,17598.0
AFRICA,2012-03,23917.0
AFRICA,2012-04,31203.0
AFRICA,2012-05,34564.0
AFRICA,2012-06,37735.0
AFRICA,2012-07,36731.0
AFRICA,2012-08,50745.0
AFRICA,2012-09,35649.0
AFRICA,2012-10,27991.0
AFRICA,2012-11,25032.0
AFRICA,2012-12,39513.0
AFRICA,2013-01,26688.0
AFRICA,2013-02,19136.0
AFRICA,2013-03,29368.0
AFRICA,2013-04,31545.0
AFRICA,2013-05,42178.0
AFRICA,2013-06,44513.0
AFRICA,2013-07,52477.0
AFRICA,2013-08,65793.0
AFRICA,2013-09,43971.0
AFRICA,2013-10,36841.0
AFRICA,2013-11,31134.0
AFRICA,2013-12,47026.0
AFRICA,2014-01,30248.0
AFRICA,2014-02,23072.0
AFRICA,2014-03,32785.0
AFRICA,2014-04,40257.0
AFRICA,2014-05,48843.0
AFRICA,2014-06,47234.0
AFRICA,2014-07,62020.0
AFRICA,2014-08,75823.0
AFRICA,2014-09,48449.0
AFRICA,2014-10,41002.0
AFRICA,2014-11,32597.0
AFRICA,2014-12,50745.0
AFRICA,2015-01,33756.0
AFRICA,2015-02,24403.0
AFRICA,2015-03,36758.0
AFRICA,2015-04,41567.0
AFRICA,2015-05,52882.0
AFRICA,2015-06,48678.0
AFRICA,2015-07,69085.0
AFRICA,2015-08,76943.0
AFRICA,2015-09,50809.0
AFRICA,2015-10,46763.0
AFRICA,2015-11,36143.0
AFRICA,2015-12,54790.0
AFRICA,2016-01,36178.0
AFRICA,2016-02,26598.0
AFRICA,2016-03,40345.0
AFRICA,2016-04,41528.0
AFRICA,2016-05,52898.0
AFRICA,2016-06,49234.0
AFRICA,2016-07,72063.0
AFRICA,2016-08,75675.0
AFRICA,2016-09,51061.0
AFRICA,2016-10,44261.0
AFRICA,2016-11,33261.0
AFRICA,2016-12,52513.0
AFRICA,2017-01,37195.0
AFRICA,2017-02,26696.0
AFRICA,2017-03,37165.0
AFRICA,2017-04,45805.0
AFRICA,2017-05,50196.0
AFRICA,2017-06,51952.0
AFRICA,2017-07,69843.0
AFRICA,2017-08,74924.0
AFRICA,2017-09,49844.0
AFRICA,2017-10,43274.0
AFRICA,2017-11,37563.0
AFRICA,2017-12,61627.0
AFRICA,2018-01,37118.0
AFRICA,2018-02,27520.0
AFRICA,2018-03,45062.0
AFRICA,2018-04,50181.0
AFRICA,2018-05,52434.0
AFRICA,2018-06,55715.0
AFRICA,2018-07,71013.0
AFRICA,2018-08,72239.0
AFRICA,2018-09,51119.0
AFRICA,2018-10,43911.0
AFRICA,2018-11,34672.0
AFRICA,2018-12,56836.0
AFRICA,2019-01,33810.0
AFRICA,2019-02,25825.0
AFRICA,2019-03,38563.0
AFRICA,2019-04,45586.0
AFRICA,2019-05,49576.0
AFRICA,2019-06,54049.0
AFRICA,2019-07,65846.0
AFRICA,2019-08,70559.0
AFRICA,2019-09,48470.0
AFRICA,2019-10,41978.0
AFRICA,2019-11,36203.0
AFRICA,2019-12,56212.0
AFRICA,2020-01,35599.0
AFRICA,2020-02,27236.0
AFRICA,2020-03,15095.0
AFRICA,2020-04,357.0
AFRICA,2020-05,498.0
AFRICA,2020-06,794.0
AFRICA,2020-07,1543.0
AFRICA,2020-08,3042.0
AFRICA,2020-09,3870.0
AFRICA,2020-10,5025.0
AFRICA,2020-11,5339.0
AFRICA,2020-12,8766.0
AFRICA,2021-01,11073.0
AFRICA,2021-02,4811.0
AFRICA,2021-03,6119.0
AFRICA,2021-04,7626.0
AFRICA,2021-05,10008.0
AFRICA,2021-06,11067.0
AFRICA,2021-07,18056.0
AFRICA,2021-08,25415.0
AFRICA,2021-09,15313.0
AFRICA,2021-10,12466.0
AFRICA,2021-11,14621.0
AFRICA,2021-12,17266.0
AFRICA,2022-10,33208.0
AFRICA,2022-11,26260.0
AFRICA,2022-12,46146.0
AFRICA,2023-01,31461.0
AFRICA,2023-02,23049.0
AFRICA,2023-03,32501.0
AFRICA,2023-04,36591.0
AFRICA,2023-05,45646.0
AFRICA,2023-06,45351.0
AFRICA,2023-07,59358.0
AFRICA,2023-08,68908.0
AFRICA,2023-09,50999.0
AFRICA,2023-10,43938.0
AFRICA,2023-11,35173.0
AFRICA,2023-12,57538.0
