market_key,region,dump_2023,dump_2025,ymi,ym,n23,n23_lag,n25,n25_lag,yoy23,yoy25
argentina_ciudad-autónoma-de-buenos-aires_buenos-aires,LatAm,2023-03-29,2025-08-29,24266,2022-03,10096,2268,6272,1324,3.451499118165785,3.737160120845921
argentina_ciudad-autónoma-de-buenos-aires_buenos-aires,LatAm,2023-03-29,2025-08-29,24267,2022-04,11430,2074,7063,1266,4.511089681774349,4.578988941548183
argentina_ciudad-autónoma-de-buenos-aires_buenos-aires,LatAm,2023-03-29,2025-08-29,24268,2022-05,12042,1397,7225,792,7.619899785254116,8.122474747474747
argentina_ciudad-autónoma-de-buenos-aires_buenos-aires,LatAm,2023-03-29,2025-08-29,24269,2022-06,10816,1404,6488,861,6.703703703703703,6.535423925667828
argentina_ciudad-autónoma-de-buenos-aires_buenos-aires,LatAm,2023-03-29,2025-08-29,24270,2022-07,16116,2119,9483,1325,6.605474280320906,6.1569811320754715
argentina_ciudad-autónoma-de-buenos-aires_buenos-aires,LatAm,2023-03-29,2025-08-29,24271,2022-08,14051,2228,8253,1460,5.306552962298025,4.652739726027397
argentina_ciudad-autónoma-de-buenos-aires_buenos-aires,LatAm,2023-03-29,2025-08-29,24272,2022-09,15733,2523,9075,1592,5.235830360681728,4.700376884422111
argentina_ciudad-autónoma-de-buenos-aires_buenos-aires,LatAm,2023-03-29,2025-08-29,24273,2022-10,23009,3887,12887,2410,4.919475173655775,4.347302904564315
argentina_ciudad-autónoma-de-buenos-aires_buenos-aires,LatAm,2023-03-29,2025-08-29,24274,2022-11,26457,4979,14381,3193,4.313717613978711,3.5039148136548697
argentina_ciudad-autónoma-de-buenos-aires_buenos-aires,LatAm,2023-03-29,2025-08-29,24275,2022-12,18891,6891,10490,4374,1.7414018284719197,1.398262459990855
argentina_ciudad-autónoma-de-buenos-aires_buenos-aires,LatAm,2023-03-29,2025-08-29,24276,2023-01,20941,7680,11645,4858,1.7266927083333332,1.3970769864141621
argentina_ciudad-autónoma-de-buenos-aires_buenos-aires,LatAm,2023-03-29,2025-08-29,24277,2023-02,19870,6930,10726,4382,1.8672438672438672,1.4477407576449108
australia_nsw_mid-north-coast,APAC,2023-05-13,2025-08-08,24266,2022-03,2912,3005,2132,2220,-0.030948419301164765,-0.03963963963963968
australia_nsw_mid-north-coast,APAC,2023-05-13,2025-08-08,24267,2022-04,5064,4264,3611,3107,0.18761726078799246,0.16221435468297396
australia_nsw_mid-north-coast,APAC,2023-05-13,2025-08-08,24268,2022-05,3422,3214,2439,2413,0.06471686372121965,0.01077496891835894
australia_nsw_mid-north-coast,APAC,2023-05-13,2025-08-08,24269,2022-06,3460,3314,2480,2483,0.044055522027760974,-0.001208215867901763
australia_nsw_mid-north-coast,APAC,2023-05-13,2025-08-08,24270,2022-07,3860,1799,2818,1387,1.1456364647026125,1.0317231434751264
