market_key,cdn_path_v1,dump_date,ymi,n_reviews_v1,n_listings_v1,n_reviews_mature12_v1,n_reviews_mature24_v1,n_new_listing_cohort_v1,ym_v1,cdn_path_v2,n_reviews_v2,n_listings_v2,n_reviews_mature12_v2,n_reviews_mature24_v2,n_new_listing_cohort_v2,ym_v2,_merge
japan_kanto_tokyo,,2025-08-30,24180,,,,,,,japan/kanto/tokyo,94,47,33,4,5,2015-01,right_only
japan_kanto_tokyo,,2025-08-30,24181,,,,,,,japan/kanto/tokyo,112,52,39,3,11,2015-02,right_only
japan_kanto_tokyo,,2025-08-30,24182,,,,,,,japan/kanto/tokyo,169,63,54,1,8,2015-03,right_only
japan_kanto_tokyo,,2025-08-30,24183,,,,,,,japan/kanto/tokyo,237,82,72,12,10,2015-04,right_only
japan_kanto_tokyo,,2025-08-30,24184,,,,,,,japan/kanto/tokyo,244,80,78,14,8,2015-05,right_only
japan_kanto_tokyo,,2025-08-30,24185,,,,,,,japan/kanto/tokyo,223,79,70,10,8,2015-06,right_only
japan_kanto_tokyo,,2025-08-30,24186,,,,,,,japan/kanto/tokyo,285,106,86,19,19,2015-07,right_only
japan_kanto_tokyo,,2025-08-30,24187,,,,,,,japan/kanto/tokyo,338,111,98,40,14,2015-08,right_only
japan_kanto_tokyo,,2025-08-30,24188,,,,,,,japan/kanto/tokyo,330,130,95,32,19,2015-09,right_only
japan_kanto_tokyo,,2025-08-30,24189,,,,,,,japan/kanto/tokyo,361,122,115,47,6,2015-10,right_only
japan_kanto_tokyo,,2025-08-30,24190,,,,,,,japan/kanto/tokyo,391,135,128,53,11,2015-11,right_only
japan_kanto_tokyo,,2025-08-30,24191,,,,,,,japan/kanto/tokyo,393,136,133,51,12,2015-12,right_only
japan_kanto_tokyo,,2025-08-30,24192,,,,,,,japan/kanto/tokyo,387,158,116,38,20,2016-01,right_only
japan_kanto_tokyo,,2025-08-30,24193,,,,,,,japan/kanto/tokyo,402,147,112,41,16,2016-02,right_only
japan_kanto_tokyo,,2025-08-30,24194,,,,,,,japan/kanto/tokyo,541,203,141,53,32,2016-03,right_only
japan_kanto_tokyo,,2025-08-30,24195,,,,,,,japan/kanto/tokyo,877,261,257,91,41,2016-04,right_only
japan_kanto_tokyo,,2025-08-30,24196,,,,,,,japan/kanto/tokyo,813,252,197,79,26,2016-05,right_only
japan_kanto_tokyo,,2025-08-30,24197,,,,,,,japan/kanto/tokyo,741,230,157,53,11,2016-06,right_only
japan_kanto_tokyo,,2025-08-30,24198,,,,,,,japan/kanto/tokyo,980,286,274,87,27,2016-07,right_only
japan_kanto_tokyo,,2025-08-30,24199,,,,,,,japan/kanto/tokyo,996,299,293,85,17,2016-08,right_only
japan_kanto_tokyo,,2025-08-30,24200,,,,,,,japan/kanto/tokyo,980,326,288,97,30,2016-09,right_only
japan_kanto_tokyo,,2025-08-30,24201,,,,,,,japan/kanto/tokyo,1247,351,345,112,29,2016-10,right_only
japan_kanto_tokyo,,2025-08-30,24202,,,,,,,japan/kanto/tokyo,1337,379,385,124,35,2016-11,right_only
japan_kanto_tokyo,,2025-08-30,24203,,,,,,,japan/kanto/tokyo,1411,439,422,132,47,2016-12,right_only
