ymi,2023-03-06,2025-09-01,2026-08-10,ym
24228,8682,5457,4640,2019-01
24229,6796,4202,3580,2019-02
24230,11140,6858,5782,2019-03
24231,13900,8518,7269,2019-04
24232,16319,10032,8575,2019-05
24233,15717,9635,8270,2019-06
24234,14977,9117,7836,2019-07
24235,15693,9484,8100,2019-08
24236,18743,11376,9719,2019-09
24237,18295,11146,9406,2019-10
24238,14989,9008,7702,2019-11
24239,16138,9705,8151,2019-12
24240,11518,6881,5877,2020-01
24241,9904,5834,5021,2020-02
24242,7409,4295,3715,2020-03
24243,1406,726,657,2020-04
24244,2061,1101,998,2020-05
24245,3227,1703,1523,2020-06
24246,5151,2795,2514,2020-07
24247,6403,3563,3232,2020-08
24248,6124,3352,3027,2020-09
24249,6697,3734,3419,2020-10
24250,6398,3434,3156,2020-11
24251,5736,3074,2801,2020-12
24252,6846,3807,3516,2021-01
24253,6255,3430,3139,2021-02
24254,7805,4213,3810,2021-03
24255,9218,4931,4466,2021-04
24256,12286,6457,5804,2021-05
24257,13355,6774,6154,2021-06
24258,15199,7711,7044,2021-07
24259,16838,8478,7735,2021-08
24260,17088,8595,7857,2021-09
24261,18395,9206,8350,2021-10
24262,18645,9192,8212,2021-11
24263,20865,10069,9069,2021-12
24264,14270,6780,6167,2022-01
24265,13030,6116,5483,2022-02
24266,18823,8893,7941,2022-03
24267,23304,10775,9681,2022-04
24268,28688,13221,11762,2022-05
24269,27280,12196,10852,2022-06
24270,27832,12454,11089,2022-07
24271,29511,13317,11707,2022-08
24272,34017,15076,13262,2022-09
24273,35771,15719,13926,2022-10
24274,31080,13550,11979,2022-11
24275,32922,14041,12415,2022-12
24276,24957,10485,9185,2023-01
24277,18475,8747,7799,2023-02
24278,1558,12677,11281,2023-03
24279,0,16184,14303,2023-04
24280,0,19185,17053,2023-05
24281,0,17404,15477,2023-06
24282,0,17055,15113,2023-07
24283,0,17744,15844,2023-08
24284,0,15550,13774,2023-09
24285,0,12110,10827,2023-10
24286,0,8550,7531,2023-11
24287,0,7379,6481,2023-12
24288,0,6045,5217,2024-01
24289,0,5989,5213,2024-02
24290,0,8128,7020,2024-03
24291,0,8982,7793,2024-04
24292,0,11241,9817,2024-05
24293,0,11883,10236,2024-06
24294,0,12122,10243,2024-07
24295,0,12525,10714,2024-08
24296,0,13685,11563,2024-09
24297,0,13828,11615,2024-10
24298,0,12103,9995,2024-11
24299,0,13104,10921,2024-12
24300,0,10073,8196,2025-01
24301,0,8290,6710,2025-02
24302,0,11068,9210,2025-03
24303,0,11527,9637,2025-04
24304,0,13901,11870,2025-05
24305,0,13638,11833,2025-06
24306,0,12880,11075,2025-07
24307,0,11468,12157,2025-08
24308,0,116,12623,2025-09
24309,0,0,12553,2025-10
24310,0,0,11670,2025-11
24311,0,0,12941,2025-12
24312,0,0,9662,2026-01
24313,0,0,7809,2026-02
24314,0,0,10672,2026-03
24315,0,0,11100,2026-04
24316,0,0,14029,2026-05
24317,0,0,15517,2026-06
24318,0,0,15086,2026-07
24319,0,0,3100,2026-08
