spec,scheme,window_end,n,b_growth,t_growth,r2,implied_fy27_growth_at_170_pct,implied_ntm_growth_at_170_pct
levels: growth only,rolling 24 months,2024-12-31,24,0.3899,2.66,0.283,8.3,9.73
levels: growth only,rolling 24 months,2025-01-31,24,0.5495,4.63,0.43,9.51,10.93
levels: growth only,rolling 24 months,2025-02-28,24,0.5092,5.69,0.404,9.08,10.51
levels: growth only,rolling 24 months,2025-03-31,24,0.5429,6.94,0.438,9.31,10.73
levels: growth only,rolling 24 months,2025-04-30,24,0.595,7.15,0.48,9.46,10.88
levels: growth only,rolling 24 months,2025-05-31,24,0.6356,6.73,0.511,9.6,11.03
levels: growth only,rolling 24 months,2025-06-30,24,0.6345,6.81,0.503,9.76,11.18
levels: growth only,rolling 24 months,2025-07-31,24,0.5718,6.13,0.549,10.02,11.45
levels: growth only,rolling 24 months,2025-08-31,24,0.6032,5.03,0.533,10.15,11.58
levels: growth only,rolling 24 months,2025-09-30,24,0.6178,3.52,0.474,10.35,11.77
levels: growth only,rolling 24 months,2025-10-31,24,0.7833,3.6,0.555,10.37,11.79
levels: growth only,rolling 24 months,2025-11-30,24,0.8865,3.31,0.58,10.43,11.85
levels: growth only,rolling 24 months,2025-12-31,24,0.9285,2.99,0.577,10.41,11.83
levels: growth only,rolling 24 months,2026-01-31,24,0.9377,2.53,0.537,10.47,11.89
levels: growth only,rolling 24 months,2026-02-28,24,0.5262,1.35,0.219,11.26,12.68
levels: growth only,rolling 24 months,2026-03-31,24,0.1349,0.43,0.021,14.31,15.73
levels: growth only,rolling 24 months,2026-04-30,24,-0.0831,-0.57,0.013,,
levels: growth only,rolling 24 months,2026-05-31,24,-0.1629,-1.65,0.068,,
levels: growth only,rolling 24 months,2026-06-30,24,-0.1771,-2.98,0.142,,
levels: growth only,rolling 24 months,2026-07-31,24,-0.1553,-3.1,0.162,,
levels: growth only,rolling 24 months,2026-08-31,24,-0.0927,-1.25,0.055,,
levels: growth only,rolling 24 months,2026-09-04,24,-0.0439,-0.47,0.012,31.22,32.64
levels: growth only,expanding from Jan 2023,2024-06-30,18,0.0477,0.75,0.006,-5.4,-3.97
levels: growth only,expanding from Jan 2023,2024-07-31,19,0.1044,1.3,0.028,-1.12,0.3
levels: growth only,expanding from Jan 2023,2024-08-31,20,0.234,1.67,0.108,4.68,6.11
levels: growth only,expanding from Jan 2023,2024-09-30,21,0.2986,1.91,0.167,6.47,7.89
levels: growth only,expanding from Jan 2023,2024-10-31,22,0.3266,2.15,0.204,7.1,8.53
levels: growth only,expanding from Jan 2023,2024-11-30,23,0.3567,2.41,0.243,7.71,9.13
levels: growth only,expanding from Jan 2023,2024-12-31,24,0.3899,2.66,0.283,8.3,9.73
levels: growth only,expanding from Jan 2023,2025-01-31,25,0.4173,2.89,0.317,8.74,10.17
levels: growth only,expanding from Jan 2023,2025-02-28,26,0.3913,3.54,0.326,8.4,9.82
levels: growth only,expanding from Jan 2023,2025-03-31,27,0.4206,4.29,0.387,8.79,10.21
levels: growth only,expanding from Jan 2023,2025-04-30,28,0.4365,4.89,0.431,8.98,10.4
levels: growth only,expanding from Jan 2023,2025-05-31,29,0.4523,5.18,0.443,9.24,10.66
levels: growth only,expanding from Jan 2023,2025-06-30,30,0.4636,5.4,0.454,9.42,10.84
levels: growth only,expanding from Jan 2023,2025-07-31,31,0.4738,5.57,0.463,9.57,10.99
levels: growth only,expanding from Jan 2023,2025-08-31,32,0.4885,5.67,0.478,9.76,11.18
levels: growth only,expanding from Jan 2023,2025-09-30,33,0.5093,5.59,0.488,10.01,11.43
levels: growth only,expanding from Jan 2023,2025-10-31,34,0.5239,5.53,0.499,10.17,11.6
levels: growth only,expanding from Jan 2023,2025-11-30,35,0.5479,5.3,0.507,10.42,11.84
levels: growth only,expanding from Jan 2023,2025-12-31,36,0.5551,5.33,0.517,10.49,11.91
levels: growth only,expanding from Jan 2023,2026-01-31,37,0.5662,5.33,0.527,10.6,12.02
levels: growth only,expanding from Jan 2023,2026-02-28,38,0.5389,6.0,0.464,10.74,12.16
levels: growth only,expanding from Jan 2023,2026-03-31,39,0.5091,5.84,0.394,10.91,12.34
levels: growth only,expanding from Jan 2023,2026-04-30,40,0.4886,5.28,0.358,11.04,12.46
levels: growth only,expanding from Jan 2023,2026-05-31,41,0.4534,4.14,0.3,11.2,12.62
levels: growth only,expanding from Jan 2023,2026-06-30,42,0.4269,3.46,0.264,11.33,12.75
levels: growth only,expanding from Jan 2023,2026-07-31,43,0.4074,3.1,0.242,11.43,12.86
levels: growth only,expanding from Jan 2023,2026-08-31,44,0.4015,3.07,0.238,11.47,12.89
levels: growth only,expanding from Jan 2023,2026-09-04,45,0.3955,3.06,0.234,11.51,12.93
levels: growth + margin,rolling 24 months,2024-12-31,24,0.309,1.15,0.29,8.0,9.42
levels: growth + margin,rolling 24 months,2025-01-31,24,0.563,1.76,0.43,9.53,10.95
levels: growth + margin,rolling 24 months,2025-02-28,24,0.4702,2.07,0.405,8.93,10.35
levels: growth + margin,rolling 24 months,2025-03-31,24,0.5345,2.63,0.438,9.29,10.71
levels: growth + margin,rolling 24 months,2025-04-30,24,0.6108,3.4,0.48,9.49,10.91
levels: growth + margin,rolling 24 months,2025-05-31,24,0.6284,3.32,0.511,9.58,11.0
levels: growth + margin,rolling 24 months,2025-06-30,24,0.6659,3.49,0.504,9.87,11.3
levels: growth + margin,rolling 24 months,2025-07-31,24,0.7502,3.77,0.62,10.61,12.04
levels: growth + margin,rolling 24 months,2025-08-31,24,0.7667,3.75,0.613,10.56,11.98
levels: growth + margin,rolling 24 months,2025-09-30,24,0.7734,3.43,0.608,10.87,12.29
levels: growth + margin,rolling 24 months,2025-10-31,24,0.8057,3.37,0.618,10.88,12.3
levels: growth + margin,rolling 24 months,2025-11-30,24,0.8698,3.15,0.64,11.32,12.75
levels: growth + margin,rolling 24 months,2025-12-31,24,0.8601,2.78,0.635,11.35,12.77
levels: growth + margin,rolling 24 months,2026-01-31,24,0.7467,2.14,0.635,12.02,13.44
levels: growth + margin,rolling 24 months,2026-02-28,24,0.4811,1.8,0.562,16.74,18.16
levels: growth + margin,rolling 24 months,2026-03-31,24,0.2624,1.43,0.555,21.17,22.59
levels: growth + margin,rolling 24 months,2026-04-30,24,0.1404,1.3,0.571,24.88,26.31
levels: growth + margin,rolling 24 months,2026-05-31,24,0.1071,1.04,0.561,29.22,30.64
