print_quarter,print_date,reaction_date,implied_event_sd_crush_pct,implied_exp_abs_move_crush_pct,kink_date,implied_event_sd_kink45_pct,realised_raw_cc_1d_pct,realised_excess_cc_1d_pct,realised_raw_over_implied_sd_crush,skew_90_110_print_close_volpts
2020Q4,2021-02-25,2021-02-26,14.03,11.2,2021-01-11,5.36,13.34,12.92,0.95,-5.59
2021Q1,2021-05-13,2021-05-14,13.38,10.68,2021-03-29,7.78,4.01,1.81,0.3,1.34
2021Q2,2021-08-12,2021-08-13,7.86,6.28,2021-06-28,8.06,1.07,0.71,0.14,1.05
2021Q3,2021-11-04,2021-11-05,5.47,4.36,2021-09-20,7.12,12.98,12.89,2.38,-0.15
2021Q4,2022-02-15,2022-02-16,10.7,8.53,2021-12-31,7.0,3.65,3.67,0.34,5.08
2022Q1,2022-05-03,2022-05-04,14.58,11.63,2022-03-18,5.74,7.71,4.33,0.53,8.05
2022Q2,2022-08-02,2022-08-03,12.01,9.58,2022-06-17,7.93,-1.13,-3.86,0.09,4.66
2022Q3,2022-11-01,2022-11-02,11.59,9.25,2022-09-16,7.3,-13.43,-10.0,1.16,8.3
2022Q4,2023-02-14,2023-02-15,9.88,7.88,2022-12-30,10.82,13.35,12.59,1.35,5.59
2023Q1,2023-05-09,2023-05-10,10.82,8.63,2023-03-24,10.18,-10.92,-12.01,1.01,6.25
2023Q2,2023-08-03,2023-08-04,10.22,8.15,2023-06-20,9.94,-0.5,-0.04,0.05,4.27
2023Q3,2023-11-01,2023-11-02,9.56,7.62,2023-09-18,9.21,-3.32,-5.14,0.35,6.01
2023Q4,2024-02-13,2024-02-14,10.48,8.36,2023-12-29,8.19,-1.74,-2.83,0.17,2.42
2024Q1,2024-05-08,2024-05-09,10.19,8.13,2024-03-25,9.83,-6.87,-7.09,0.67,2.54
2024Q2,2024-08-06,2024-08-07,9.71,7.75,2024-06-21,8.05,-13.38,-12.3,1.38,5.48
2024Q3,2024-11-07,2024-11-08,11.95,9.53,2024-09-23,8.89,-8.66,-8.78,0.72,4.56
2024Q4,2025-02-13,2025-02-14,12.38,9.88,2024-12-30,9.62,14.45,14.03,1.17,-0.64
2025Q1,2025-05-01,2025-05-02,8.76,6.99,2025-03-17,10.01,1.01,-0.48,0.12,7.02
2025Q2,2025-08-06,2025-08-07,9.38,7.48,2025-06-23,11.12,-8.02,-8.36,0.86,3.31
2025Q3,2025-11-06,2025-11-07,10.56,8.43,2025-09-22,9.21,0.29,0.61,0.03,6.74
2025Q4,2026-02-12,2026-02-13,10.42,8.31,2025-12-29,8.83,4.65,4.44,0.45,8.96
2026Q1,2026-05-07,2026-05-08,8.46,6.75,2026-03-23,6.85,0.73,-1.61,0.09,-0.02
2026Q2,2026-08-06,2026-08-07,8.33,6.65,2026-06-22,8.73,17.43,16.26,2.09,0.67
