stat,value
n_prints_with_crush_estimate,23.0
mean_implied_event_sd_crush_pct,10.47
median_implied_event_sd_crush_pct,10.42
mean_implied_exp_abs_move_crush_pct,8.35
last8_mean_implied_event_sd_crush_pct,10.03
mean_implied_event_sd_kink45_pct,8.51
n_kink45_positive,23.0
mean_realised_abs_raw_pct,7.07
rms_realised_raw_pct,8.92
rms_realised_raw_over_mean_implied_sd_crush,0.853
rms_realised_raw_over_mean_implied_sd_kink45,1.048
share_prints_realised_abs_raw_gt_implied_exp_abs,0.391
share_prints_realised_abs_raw_gt_implied_sd,0.304
last8_rms_realised_raw_pct,9.19
corr_implied_crush_vs_realised_abs_raw,0.052
mean_realised_abs_excess_pct,6.82
rms_realised_excess_pct,8.48
rms_realised_excess_over_mean_implied_sd_crush,0.81
rms_realised_excess_over_mean_implied_sd_kink45,0.996
share_prints_realised_abs_excess_gt_implied_exp_abs,0.391
share_prints_realised_abs_excess_gt_implied_sd,0.261
last8_rms_realised_excess_pct,8.88
corr_implied_crush_vs_realised_abs_excess,-0.026
